,samples_num,input_text average length (words),input_text average length (tokens),summary average length (words),summary average length (tokens)
en_XX-en_XX-sampled_validation,3000,379.81933333333336,510.941,32.64233333333333,47.24133333333333
en_XX-en_XX-train,95517,379.678308573343,510.72253106776805,32.23367568076887,46.763665106734926
en_XX-tr_TR-sampled_validation,438,349.99771689497715,476.2191780821918,27.833333333333332,55.91552511415525
en_XX-tr_TR-test,874,329.941647597254,448.9382151029748,27.210526315789473,54.58123569794051
en_XX-tr_TR-train,3052,350.6726736566186,478.4954128440367,27.50786369593709,54.983289646133684
es_XX-en_XX-sampled_validation,3000,404.9533333333333,565.2006666666666,31.599,45.89233333333333
es_XX-en_XX-test,21726,406.75982693546905,567.6372549019608,32.30792598729633,46.99562735892479
es_XX-en_XX-train,76295,406.9554885641261,567.3758044432793,31.74336457172816,46.226423749918084
es_XX-es_XX-sampled_validation,3000,404.9533333333333,565.2006666666666,36.62166666666667,55.844
es_XX-es_XX-train,76295,406.9554885641261,567.3758044432793,36.72165934858116,56.04625466937545
es_XX-ru_RU-sampled_validation,3000,428.639,597.153,28.352333333333334,59.56333333333333
es_XX-ru_RU-test,8737,415.5626645301591,579.9892411582923,28.199267483117776,59.1933157834497
es_XX-ru_RU-train,32458,418.2597510629121,583.7135683036539,27.758395464908496,58.49587158789821
ru_RU-en_XX-sampled_validation,3000,326.38466666666665,571.1583333333333,31.747666666666667,46.10733333333334
ru_RU-en_XX-test,9962,318.7023690022084,560.901826942381,31.068460148564544,45.36247741417386
ru_RU-en_XX-train,35313,322.08297227649877,566.4484467476567,30.56868575312208,44.774728853396766
ru_RU-ru_RU-sampled_validation,3000,326.38466666666665,571.1583333333333,28.579333333333334,59.89966666666667
ru_RU-ru_RU-train,35313,322.08297227649877,566.4484467476567,27.7907286268513,58.56605216209328
tr_TR-en_XX-sampled_validation,438,263.41552511415523,483.08447488584477,32.60045662100457,47.705479452054796
tr_TR-en_XX-test,874,249.35469107551486,456.720823798627,32.32608695652174,47.36727688787185
tr_TR-en_XX-train,3052,265.2083879423329,485.372870249017,32.647116644823065,47.89547837483617
tr_TR-tr_TR-sampled_validation,438,263.41552511415523,483.08447488584477,27.833333333333332,55.91552511415525
tr_TR-tr_TR-test,874,249.35469107551486,456.720823798627,27.210526315789473,54.58123569794051
tr_TR-tr_TR-train,3052,265.2083879423329,485.372870249017,27.50786369593709,54.983289646133684
