,samples_num,input_text average length (words),input_text average length (tokens),summary average length (words),summary average length (tokens)
en_XX-train,302627,459.92234995555583,639.2320909898984,22.310352347939872,31.00344318253163
en_XX-validation,11535,440.3889900303424,612.1661898569571,21.15023840485479,29.41569137407889
en_XX-test,11535,437.2934547030776,607.9664499349805,21.236584308625922,29.510446467273514
es_XX-train,35633,823.5348974265428,1150.66738697275,29.36718771924901,40.571184014817725
es_XX-validation,4763,766.4677724123452,1069.2494226327944,27.422632794457275,37.74973756036112
es_XX-test,4763,764.75330673945,1066.6770942683183,27.41465462943523,37.659458324585344
ru_RU-train,60044,564.0360568916128,1000.8988908134035,26.09264872426887,47.83263939777496
ru_RU-validation,7780,466.26182519280206,828.5338046272493,24.21362467866324,44.59473007712082
ru_RU-test,7780,465.28084832904887,826.6404884318766,24.168894601542416,44.58907455012854
gu_IN-train,8790,769.0159271899886,1508.5960182025028,23.96382252559727,48.72229806598407
gu_IN-validation,1139,542.6014047410009,1062.412642669008,21.230904302019315,43.6865671641791
gu_IN-test,1139,529.899034240562,1039.0026338893767,21.693590869183495,44.274802458296755
