,rouge1,rouge2,rougeL,rougeLsum,bert_score_precision,bert_score_recall,bert_score_f1,gen_len
en_benchmark,37.601,15.1536,29.8817,,,,,
en_XX,37.7326,15.1771,30.532,30.5435,79.3179,76.7283,77.9592,16.7129
en_XX_multilingual,37.9329,14.9614,30.5186,30.5461,79.2838,76.8372,77.9999,16.8627
es_benchmark,31.5071,11.8767,24.0746,,,,,
es_XX,30.2099,10.6106,23.0438,23.1047,74.7543,71.6036,73.0892,18.6801
es_XX_zero,21.6219,5.804,16.8295,16.8558,71.6866,68.7627,70.1389,17.3165
es_XX_tuned_10,21.6219,5.804,16.8295,16.8558,71.6866,68.7627,70.1389,17.3165
es_XX_tuned_100,29.3263,9.0578,22.2941,22.341,73.8394,70.8102,72.231,19.3906
es_XX_tuned_1000,30.4591,10.2093,23.2651,23.3039,74.6529,71.5475,73.0088,19.1886
es_XX_tuned_10000,30.0546,10.7696,23.5059,23.5266,74.5929,71.4943,72.9359,19.4074
es_XX_tuned_all,31.2954,11.4828,24.2772,24.3087,75.0958,71.7079,73.2952,18.3973
es_XX_multilingual,32.3613,12.3285,25.0088,24.9735,75.5403,72.3581,73.8444,18.9731
ru_benchmark,32.2164,13.6386,26.1689,,,,,
ru_RU,30.5933,12.5617,24.6067,24.5712,75.8892,72.2024,73.9385,16.528
ru_RU_tuned_10,28.9922,10.9671,22.8441,22.7939,75.4836,71.1747,73.2164,15.0062
ru_RU_tuned_100,29.1288,10.6536,22.6462,22.622,74.5481,71.4943,72.9356,18.2671
ru_RU_tuned_1000,29.1175,11.5115,23.1262,23.1397,75.3998,71.6435,73.4131,16.3313
ru_RU_tuned_10000,29.9302,11.9143,23.7051,23.7237,74.6391,72.2446,73.3674,18.53
ru_RU_zero,25.4318,9.1257,19.9378,19.939,74.1489,70.1298,72.0263,15.0683
ru_RU_tuned_all,31.76,13.6746,25.8768,25.8195,76.5335,72.661,74.4893,16.6439
ru_RU_multilingual,32.6504,13.8931,25.8627,25.8668,76.552,73.0066,74.6811,16.8592
