,rouge1,rouge2,rougeL,rougeLsum,bert_score_precision,bert_score_recall,bert_score_f1,gen_len
es_XX-en_XX_benchmark,38.30,15.37,32.40,,,,,
es_XX-en_XX,38.8822,15.606,32.794,32.8059,79.2224,76.8991,77.977,25.327
es_XX-en_XX_tuned_10,28.7172,8.4327,24.4262,24.4358,74.0351,72.7653,73.3322,31.2908
es_XX-en_XX_tuned_100,31.9407,9.8153,26.284,26.2986,76.0358,75.1385,75.5238,29.2961
es_XX-en_XX_tuned_1000,33.8701,10.9465,27.5436,27.5484,76.8734,75.9885,76.3686,29.7064
es_XX-en_XX_tuned_10000,35.6359,12.2171,28.4946,28.5043,77.3298,76.5044,76.8586,30.233
es_XX-en_XX_tuned_all,38.569,15.3958,32.6106,32.6171,78.6866,76.7872,77.6596,27.7285
es_XX-en_XX_tuned_all_together,37.8586,14.9996,32.1304,32.1389,78.8058,76.4139,77.5247,25.5934
es_XX-en_XX_zero,2.5868,0.138,2.472,2.4735,70.3661,70.448,70.3695,27.7533
ru_RU-en_XX_benchmark,32.91,11.83,27.69,,,,,
ru_RU-en_XX,35.1441,13.0538,29.6694,29.6604,77.7226,75.7453,76.654,25.3572
ru_RU-en_XX_tuned_10,25.4422,7.3436,22.1426,22.1402,72.8345,70.8543,71.7642,28.6119
ru_RU-en_XX_tuned_100,30.0523,8.8976,24.7809,24.776,75.3089,74.2767,74.7281,26.9984
ru_RU-en_XX_tuned_1000,31.6667,9.8718,25.8653,25.8578,76.2082,75.206,75.6443,27.6099
ru_RU-en_XX_tuned_10000,34.6731,12.1448,28.6901,28.6721,77.5192,76.0972,76.7402,26.5043
ru_RU-en_XX_tuned_all,35.0651,13.1252,29.855,29.8478,77.6658,75.58,76.544,26.0353
ru_RU-en_XX_tuned_all_together,35.2607,13.3268,30.0467,30.0362,78.1474,75.6657,76.8212,23.994
ru_RU-en_XX_zero,0.6892,0.1311,0.6731,0.6716,65.025,66.8853,65.9107,19.6251
