,rouge1,rouge2,rougeL,rougeLsum,bert_score_precision,bert_score_recall,bert_score_f1,gen_len
es_XX-en_XX_benchmark,38.30,15.37,32.40,,,,,
es_XX-en_XX,38.6331,15.4615,32.675,32.6702,79.0104,76.7229,77.7824,26.0728
es_XX-en_XX_tuned_10,28.5434,8.1914,24.2135,24.2138,73.8982,72.7683,73.2673,31.434
es_XX-en_XX_tuned_100,31.5056,9.5322,25.9028,25.9038,75.9523,74.9195,75.3689,28.7052
es_XX-en_XX_tuned_1000,33.7507,10.8545,27.4829,27.4867,76.8496,75.7972,76.2572,29.289
es_XX-en_XX_tuned_10000,36.5311,13.1207,30.1166,30.1223,78.0166,76.5201,77.1976,28.0436
es_XX-en_XX_tuned_all,38.3108,15.2398,32.5192,32.5176,78.8561,76.5315,77.6091,26.2563
es_XX-en_XX_tuned_all_together,38.6769,15.4738,32.6167,32.6225,78.6827,76.913,77.722,28.3921
es_XX-en_XX_zero,2.1413,0.103,2.0249,2.0244,60.7877,67.7846,64.0251,52.7906
ru_RU-en_XX_benchmark,32.91,11.83,27.69,,,,,
ru_RU-en_XX,34.4048,12.6116,29.2311,29.2329,77.6344,75.2253,76.3434,24.5043
ru_RU-en_XX_tuned_10,25.6593,7.3114,22.236,22.2397,73.1903,71.071,72.0495,27.2957
ru_RU-en_XX_tuned_100,30.0039,8.7195,24.7071,24.7112,75.3528,74.2224,74.7214,26.7475
ru_RU-en_XX_tuned_1000,31.4802,9.6139,25.7362,25.7407,76.1994,75.0453,75.5557,27.6294
ru_RU-en_XX_tuned_10000,34.2516,11.8668,28.4015,28.4063,77.4288,75.8162,76.5517,26.3304
ru_RU-en_XX_tuned_all,35.0008,12.9555,29.8152,29.8187,78.0024,75.4404,76.6371,24.313
ru_RU-en_XX_tuned_all_together,35.8675,13.6991,30.3234,30.3282,77.8277,76.0709,76.8727,27.1037
ru_RU-en_XX_zero,0.601,0.1089,0.5813,0.5847,56.8762,64.2256,60.2721,37.2314
