,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,gen_len
en_benchmark,37.601,15.1536,29.8817,,,,,,,,,
en_XX,39.4019,16.449,31.4423,31.4094,37.8321,15.9555,30.5466,30.5057,79.4981,77.0639,78.2241,17.1328
en_XX_multilingual,39.5823,16.5936,31.6351,31.5854,37.9959,16.0973,30.7298,30.6745,79.5925,77.1761,78.3271,17.1873
es_benchmark,31.5071,11.8767,24.0746,,,,,,,,,
es_XX,32.9859,12.0619,24.9833,24.9788,31.5716,11.6736,24.2373,24.2325,75.0078,71.8006,73.3092,19.2784
es_XX_multilingual,34.2752,13.0629,26.0855,26.0803,32.7803,12.6604,25.2655,25.2599,75.5645,72.432,73.9061,19.5002
es_XX_tuned_10,20.4061,4.9219,16.0118,16.0209,19.4472,4.6578,15.4718,15.481,63.1237,66.2264,64.5335,41.7067
es_XX_tuned_100,29.4458,8.2528,21.6275,21.6277,28.1729,7.9358,20.993,20.9915,72.417,70.4882,71.3756,22.1334
es_XX_tuned_1000,31.4315,10.2864,23.2938,23.29,30.0,9.9017,22.5218,22.517,73.6413,71.7025,72.6024,22.1225
es_XX_tuned_10000,32.9873,11.4551,24.3601,24.3547,31.4452,11.0841,23.5596,23.5539,74.1702,72.3786,73.1998,22.9977
es_XX_tuned_all,33.5385,12.095,24.8383,24.8349,32.1617,11.7164,24.146,24.1422,74.6492,71.8318,73.1566,20.5191
es_XX_zero,7.6953,1.2422,6.8872,6.8827,7.0243,1.1843,6.3744,6.3693,58.5367,63.3011,60.7847,59.6046
es_translated,22.989,4.5225,16.9738,16.9701,21.9158,4.3077,16.4137,16.4097,68.8184,67.8608,68.2943,26.2947
my_MM_benchmark,15.9626,5.1477,14.1819,,,,,,,,,
my_MM,41.6861,21.6261,30.6346,10.0381,41.6861,21.6261,30.6346,10.0381,74.4967,73.6583,74.0277,16.6197
my_MM_multilingual,20.1006,8.2595,14.4591,2.7813,20.1006,8.2595,14.4591,2.7813,62.1896,63.8497,62.7634,16.8627
my_MM_multilingual_tuned_burmese,44.2087,24.1807,32.9158,12.2663,44.2087,24.1807,32.9158,12.2663,75.3747,74.3005,74.7858,16.4067
my_MM_tuned_10,24.7862,12.052,17.4478,4.8139,24.7862,12.052,17.4478,4.8139,66.728,67.4949,67.0519,25.294
my_MM_tuned_100,40.3769,20.9728,29.693,9.6082,40.3769,20.9728,29.693,9.6082,74.0037,72.6894,73.1338,15.0669
my_MM_tuned_1000,43.7991,23.5714,31.7176,11.2595,43.7991,23.5714,31.7176,11.2595,74.5889,74.5482,74.5267,17.9754
my_MM_tuned_all,43.9804,24.334,33.0275,12.1152,43.9804,24.334,33.0275,12.1152,75.5148,74.1787,74.7936,15.7236
my_MM_zero,17.7086,7.8835,13.0248,2.318,17.7086,7.8835,13.0248,2.318,62.9464,65.0294,63.8966,28.4648
my_translated,27.7945,11.3508,19.4951,4.8661,27.7945,11.3508,19.4951,4.8661,70.8669,68.2554,69.5146,27.294
ru_benchmark,32.2164,13.6386,26.1689,,,,,,,,,
ru_RU,33.3118,14.0759,26.8936,26.8865,26.0825,11.0651,22.1459,22.1375,76.2678,72.5832,74.3173,16.7396
ru_RU_multilingual,34.2899,14.814,27.6858,27.6761,26.9897,11.7452,22.8974,22.8855,76.5954,73.1182,74.7541,17.4282
ru_RU_tuned_10,4.2673,1.2835,4.0005,3.9826,3.009,0.8819,2.8798,2.8605,58.1722,61.1361,59.5836,57.3245
ru_RU_tuned_100,27.2463,9.3402,21.3209,21.3179,20.6476,6.9305,17.0924,17.087,72.8228,70.7566,71.7213,19.3385
ru_RU_tuned_1000,29.8064,10.7701,22.9189,22.911,22.9832,8.2406,18.6754,18.6643,72.7868,72.4809,72.5784,24.1876
ru_RU_tuned_10000,30.773,11.6493,23.5859,23.5802,23.994,9.0709,19.4144,19.4043,72.3984,73.2318,72.7536,27.5746
ru_RU_tuned_all,33.9022,14.4706,27.3096,27.3014,26.6012,11.3865,22.5439,22.5314,76.3791,72.8649,74.5194,17.2046
ru_RU_zero,3.8929,1.0908,3.5746,3.5553,2.6152,0.7175,2.4806,2.4602,57.1417,60.8504,58.8898,58.7126
ru_translated,26.0917,8.3905,21.0878,21.0887,19.1951,6.1378,16.459,16.4546,74.7533,69.9889,72.2387,14.2144
