,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len
en_XX_tr_TR_baseline,23.7596,8.0929,20.725,20.6656,23.6907,8.0685,20.6777,20.6149,74.2092,72.3162,73.1987,0.0,0.0001,0.0,0.0,99.9999,20.2179
en_XX_tr_TR_en,11.2742,3.0365,9.7133,9.6346,11.1772,3.0158,9.6232,9.5404,67.8821,66.5494,67.1595,49.6989,0.1524,0.0097,0.0004,50.1385,29.3899
en_XX_tr_TR_multi,18.5638,5.158,15.6765,15.6073,18.4644,5.1399,15.5923,15.523,71.1966,70.5553,70.8143,5.9763,0.0001,0.0,0.0,94.0236,26.3681
en_tr_translated,12.9562,2.7169,11.7736,11.7183,12.8448,2.7025,11.6795,11.6141,71.0797,70.2313,70.6182,0.1692,0.0744,0.0,0.0,99.7565,19.7007
es_Benchmark,38.3,15.37,32.4,,,,,,,,,,,,,,
es_XX_en_XX_baseline,38.4252,14.7611,31.4139,31.4158,36.4931,14.0558,30.0128,30.0143,79.3214,77.1136,78.1382,99.7636,0.1877,0.0165,0.0061,0.0261,24.2768
es_XX_en_XX_en,35.2044,12.1165,28.356,28.362,33.4171,11.548,27.0914,27.0979,77.9774,76.0007,76.9116,99.6464,0.3164,0.016,0.0002,0.021,24.7635
es_XX_en_XX_multi,33.4178,11.1044,27.0442,27.0532,31.7326,10.595,25.8362,25.8431,77.4257,75.3277,76.2979,97.2268,2.7058,0.0381,0.0004,0.029,23.5482
es_XX_ru_RU_baseline,21.0419,6.1531,18.0109,18.0026,21.0394,6.1524,18.0097,18.002,76.4812,74.0105,75.1662,0.0,0.0,100.0,0.0,0.0,19.6103
es_XX_ru_RU_en,15.72,4.0509,13.0173,12.9907,15.7136,4.0504,13.0126,12.9862,72.8378,71.9947,72.3581,4.8235,9.346,85.8297,0.0,0.0007,26.8488
es_XX_ru_RU_multi,16.5678,4.3936,14.1646,14.1508,16.5617,4.3931,14.1603,14.1469,74.2049,72.0368,73.0442,0.0038,3.3933,96.603,0.0,0.0,19.8832
es_en_translated,36.3903,13.3873,29.7236,29.7185,34.5879,12.7671,28.4286,28.4196,78.7329,76.6652,77.6223,99.685,0.2752,0.0187,0.0049,0.0162,24.5874
es_ru_translated,16.1245,3.4797,13.873,13.8474,16.1205,3.4786,13.8712,13.8457,74.4561,72.3628,73.3423,0.0,0.0,100.0,0.0,0.0,20.0259
ru_Benchmark,32.91,11.83,27.69,,,,,,,,,,,,,,
ru_RU_en_XX_baseline,36.0242,13.1629,29.427,29.4369,34.192,12.5393,28.1011,28.1059,78.5533,76.5144,77.4582,99.6605,0.2775,0.0247,0.0198,0.0176,23.6002
ru_RU_en_XX_en,33.2055,10.8769,26.6232,26.6091,31.4691,10.3648,25.4089,25.3949,77.3436,75.58,76.3859,99.6121,0.3075,0.0201,0.0002,0.06,24.7456
ru_RU_en_XX_multi,32.001,10.3813,25.8944,25.9012,30.382,9.913,24.7538,24.7654,77.1925,75.0737,76.0507,99.3955,0.3638,0.2099,0.0005,0.0303,22.593
ru_en_translated,34.4771,12.0525,28.4152,28.4199,32.6525,11.457,27.0617,27.0606,78.6423,76.13,77.3035,99.6673,0.2867,0.0221,0.0005,0.0234,21.9327
tr_Benchmark,33.68,12.74,27.62,,,,,,,,,,,,,,
tr_TR_en_XX_baseline,41.5345,18.1693,34.5302,34.5417,39.9485,17.5384,33.3877,33.4012,79.8214,77.999,78.8374,99.4486,0.2706,0.1143,0.1127,0.0538,25.1812
tr_TR_en_XX_en,37.0732,13.7612,29.7349,29.7495,35.3687,13.2066,28.6433,28.6705,77.9775,76.4587,77.137,99.5236,0.3027,0.1138,0.0006,0.0593,25.1055
tr_TR_en_XX_multi,36.5423,13.5205,29.479,29.4842,34.9403,12.956,28.3409,28.3382,77.9145,76.3019,77.0292,99.6373,0.134,0.2229,0.0008,0.0051,25.195
tr_TR_tr_TR_baseline,30.3768,12.3571,26.3065,26.2906,30.2839,12.3082,26.234,26.2136,76.409,74.6503,75.4506,0.0281,0.2744,0.0,0.0,99.6975,21.1227
tr_TR_tr_TR_en,10.1335,2.4281,7.9644,7.9456,9.9991,2.4227,7.8532,7.8382,64.3051,66.643,65.3837,45.9949,0.106,0.1147,0.0,53.7844,47.7603
tr_TR_tr_TR_multi,22.4617,6.6988,17.9981,17.9716,22.3119,6.6561,17.904,17.8825,70.7022,73.2536,71.8848,0.1009,0.0,0.0,0.0,99.8991,35.0287
tr_en_translated,36.0859,12.9694,29.5209,29.4705,34.5791,12.4572,28.4656,28.4357,77.9647,76.443,77.1364,99.9621,0.0378,0.0,0.0,0.0001,26.2913
tr_tr_translated,12.5058,2.69,11.2516,11.153,12.4255,2.6791,11.1678,11.0779,70.766,70.1341,70.4084,0.0398,0.0016,0.0,0.0,99.9586,20.3739
