,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len
en_XX_tr_TR_baseline,23.7596,8.0929,20.725,20.6656,23.6907,8.0685,20.6777,20.6149,74.2092,72.3162,73.1987,0.0,0.0001,0.0,0.0,99.9999,20.2179
en_XX_tr_TR_en,10.5397,2.8539,9.1491,9.0741,10.4095,2.8343,9.0224,8.9546,66.6117,66.0251,66.2666,57.0953,0.1286,0.0008,0.0,42.7752,37.1651
en_XX_tr_TR_multi,17.8576,5.1427,15.1996,15.0846,17.7754,5.1383,15.1551,15.0346,70.6864,69.931,70.2482,14.1428,0.1718,0.0097,0.0004,85.6753,26.7053
en_tr_translated,12.9562,2.7169,11.7736,11.7183,12.8448,2.7025,11.6795,11.6141,71.0797,70.2313,70.6182,0.1692,0.0744,0.0,0.0,99.7565,19.7007
es_Benchmark,38.3,15.37,32.4,,,,,,,,,,,,,,
es_XX_en_XX_baseline,38.4252,14.7611,31.4139,31.4158,36.4931,14.0558,30.0128,30.0143,79.3214,77.1136,78.1382,99.7636,0.1877,0.0165,0.0061,0.0261,24.2768
es_XX_en_XX_en,35.0857,11.9748,28.0797,28.0847,33.2777,11.4037,26.824,26.8245,77.6494,76.0499,76.7754,99.6773,0.2807,0.0166,0.0002,0.0252,26.1732
es_XX_en_XX_multi,23.5211,7.3134,19.4318,19.4262,22.2708,6.9914,18.5302,18.5252,74.3932,73.4159,73.8334,61.3499,38.5785,0.042,0.0005,0.0291,26.2437
es_XX_ru_RU_baseline,21.0419,6.1531,18.0109,18.0026,21.0394,6.1524,18.0097,18.002,76.4812,74.0105,75.1662,0.0,0.0,100.0,0.0,0.0,19.6103
es_XX_ru_RU_en,16.2017,4.0789,13.3281,13.316,16.1955,4.0783,13.3252,13.3127,72.7465,72.3742,72.506,2.8293,8.0543,89.1159,0.0001,0.0005,28.2985
es_XX_ru_RU_multi,14.2374,3.7175,12.2068,12.182,14.2327,3.7173,12.2036,12.179,73.1594,71.1209,72.0696,0.0,14.7464,85.2536,0.0,0.0,21.9832
es_en_translated,36.3903,13.3873,29.7236,29.7185,34.5879,12.7671,28.4286,28.4196,78.7329,76.6652,77.6223,99.685,0.2752,0.0187,0.0049,0.0162,24.5874
es_ru_translated,16.1245,3.4797,13.873,13.8474,16.1205,3.4786,13.8712,13.8457,74.4561,72.3628,73.3423,0.0,0.0,100.0,0.0,0.0,20.0259
ru_Benchmark,32.91,11.83,27.69,,,,,,,,,,,,,,
ru_RU_en_XX_baseline,36.0242,13.1629,29.427,29.4369,34.192,12.5393,28.1011,28.1059,78.5533,76.5144,77.4582,99.6605,0.2775,0.0247,0.0198,0.0176,23.6002
ru_RU_en_XX_en,32.8619,10.5816,26.2122,26.2146,31.1036,10.0702,25.007,25.0087,77.0278,75.5218,76.2012,99.6575,0.3083,0.0043,0.0002,0.0297,25.8489
ru_RU_en_XX_multi,31.8413,10.2802,25.7905,25.7934,30.2197,9.8152,24.6345,24.636,77.1587,74.9563,75.9725,99.307,0.3124,0.3343,0.0014,0.045,22.4185
ru_en_translated,34.4771,12.0525,28.4152,28.4199,32.6525,11.457,27.0617,27.0606,78.6423,76.13,77.3035,99.6673,0.2867,0.0221,0.0005,0.0234,21.9327
tr_Benchmark,33.68,12.74,27.62,,,,,,,,,,,,,,
tr_TR_en_XX_baseline,41.5345,18.1693,34.5302,34.5417,39.9485,17.5384,33.3877,33.4012,79.8214,77.999,78.8374,99.4486,0.2706,0.1143,0.1127,0.0538,25.1812
tr_TR_en_XX_en,36.274,13.1026,29.0088,28.9849,34.7318,12.5997,27.942,27.9107,77.6142,76.3516,76.9061,99.4735,0.2452,0.122,0.0006,0.1586,25.9289
tr_TR_en_XX_multi,35.4519,12.7397,28.4143,28.4218,33.9326,12.3041,27.3883,27.3834,77.4453,76.06,76.6793,99.3765,0.1891,0.3368,0.0014,0.0962,24.9966
tr_TR_tr_TR_baseline,30.3768,12.3571,26.3065,26.2906,30.2839,12.3082,26.234,26.2136,76.409,74.6503,75.4506,0.0281,0.2744,0.0,0.0,99.6975,21.1227
tr_TR_tr_TR_en,17.3471,4.1958,13.3502,13.3191,17.2804,4.1889,13.2847,13.2595,66.8123,71.1966,68.884,0.3416,0.0,0.0,0.0,99.6584,46.1548
tr_TR_tr_TR_multi,21.5904,6.311,17.1584,17.166,21.4872,6.2988,17.0843,17.0964,69.696,72.9333,71.2108,0.0,0.0,0.0,0.0,100.0,38.0103
tr_en_translated,36.0859,12.9694,29.5209,29.4705,34.5791,12.4572,28.4656,28.4357,77.9647,76.443,77.1364,99.9621,0.0378,0.0,0.0,0.0001,26.2913
tr_tr_translated,12.5058,2.69,11.2516,11.153,12.4255,2.6791,11.1678,11.0779,70.766,70.1341,70.4084,0.0398,0.0016,0.0,0.0,99.9586,20.3739
