,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len
en_XX_tr_TR_baseline,23.7596,8.0929,20.725,20.6656,23.6907,8.0685,20.6777,20.6149,74.2092,72.3162,73.1987,0.0,0.0001,0.0,0.0,99.9999,20.2179
en_XX_tr_TR_en,11.0238,2.9543,9.3348,9.2634,10.9241,2.9389,9.2521,9.1786,66.5908,66.504,66.4974,51.4121,0.0067,0.0,0.0,48.5812,36.5183
en_XX_tr_TR_multi,17.6286,5.0326,14.8172,14.7582,17.5432,5.0153,14.737,14.6856,70.1207,70.3027,70.1545,11.8964,0.0441,0.0097,0.0004,88.0494,29.3096
en_tr_translated,12.9562,2.7169,11.7736,11.7183,12.8448,2.7025,11.6795,11.6141,71.0797,70.2313,70.6182,0.1692,0.0744,0.0,0.0,99.7565,19.7007
es_Benchmark,38.3,15.37,32.4,,,,,,,,,,,,,,
es_XX_en_XX_baseline,38.4252,14.7611,31.4139,31.4158,36.4931,14.0558,30.0128,30.0143,79.3214,77.1136,78.1382,99.7636,0.1877,0.0165,0.0061,0.0261,24.2768
es_XX_en_XX_en,34.5414,11.7597,27.7349,27.734,32.7711,11.2037,26.4963,26.496,77.7152,75.7275,76.6413,99.6056,0.3667,0.0078,0.0002,0.0197,24.742
es_XX_en_XX_multi,28.5374,9.1244,23.2572,23.257,27.0496,8.7163,22.2035,22.2061,75.6744,74.3331,74.93,80.146,19.7573,0.0616,0.0006,0.0345,25.6283
es_XX_ru_RU_baseline,21.0419,6.1531,18.0109,18.0026,21.0394,6.1524,18.0097,18.002,76.4812,74.0105,75.1662,0.0,0.0,100.0,0.0,0.0,19.6103
es_XX_ru_RU_en,16.1014,4.0069,13.2603,13.2393,16.0955,4.0067,13.2559,13.2352,72.9887,72.3736,72.6257,0.4261,10.9292,88.6447,0.0,0.0,27.6124
es_XX_ru_RU_multi,16.9503,4.5315,14.3727,14.3501,16.9425,4.5305,14.369,14.3463,74.1016,72.2898,73.1281,0.0,4.2786,95.7214,0.0,0.0,21.3602
es_en_translated,36.3903,13.3873,29.7236,29.7185,34.5879,12.7671,28.4286,28.4196,78.7329,76.6652,77.6223,99.685,0.2752,0.0187,0.0049,0.0162,24.5874
es_ru_translated,16.1245,3.4797,13.873,13.8474,16.1205,3.4786,13.8712,13.8457,74.4561,72.3628,73.3423,0.0,0.0,100.0,0.0,0.0,20.0259
ru_Benchmark,32.91,11.83,27.69,,,,,,,,,,,,,,
ru_RU_en_XX_baseline,36.0242,13.1629,29.427,29.4369,34.192,12.5393,28.1011,28.1059,78.5533,76.5144,77.4582,99.6605,0.2775,0.0247,0.0198,0.0176,23.6002
ru_RU_en_XX_en,32.5528,10.3701,25.9301,25.9153,30.8222,9.8401,24.7032,24.6887,76.8231,75.3969,76.0361,99.731,0.2159,0.0151,0.0003,0.0376,25.8923
ru_RU_en_XX_multi,32.3669,10.5581,26.0616,26.0596,30.7123,10.0604,24.8929,24.893,77.105,75.1629,76.0538,99.5073,0.3452,0.1078,0.0006,0.0391,23.5934
ru_en_translated,34.4771,12.0525,28.4152,28.4199,32.6525,11.457,27.0617,27.0606,78.6423,76.13,77.3035,99.6673,0.2867,0.0221,0.0005,0.0234,21.9327
tr_Benchmark,33.68,12.74,27.62,,,,,,,,,,,,,,
tr_TR_en_XX_baseline,41.5345,18.1693,34.5302,34.5417,39.9485,17.5384,33.3877,33.4012,79.8214,77.999,78.8374,99.4486,0.2706,0.1143,0.1127,0.0538,25.1812
tr_TR_en_XX_en,36.0626,12.8357,28.6162,28.556,34.5762,12.3431,27.5593,27.5168,77.1508,76.4759,76.7352,99.4858,0.1507,0.2066,0.0011,0.1558,28.055
tr_TR_en_XX_multi,36.4484,13.353,29.164,29.1301,34.7556,12.8504,27.9551,27.9218,77.1891,76.5325,76.7893,99.142,0.2601,0.4752,0.0053,0.1174,28.3291
tr_TR_tr_TR_baseline,30.3768,12.3571,26.3065,26.2906,30.2839,12.3082,26.234,26.2136,76.409,74.6503,75.4506,0.0281,0.2744,0.0,0.0,99.6975,21.1227
tr_TR_tr_TR_en,15.8774,3.5173,11.9091,11.8818,15.7999,3.5079,11.8463,11.8203,65.8473,70.66,68.1155,0.0,0.0,0.0,0.0,100.0,48.7362
tr_TR_tr_TR_multi,17.9851,4.5907,14.138,14.104,17.8891,4.5832,14.0649,14.0396,67.4002,71.6292,69.3903,0.0,0.0,0.0,0.0,100.0,44.2408
tr_en_translated,36.0859,12.9694,29.5209,29.4705,34.5791,12.4572,28.4656,28.4357,77.9647,76.443,77.1364,99.9621,0.0378,0.0,0.0,0.0001,26.2913
tr_tr_translated,12.5058,2.69,11.2516,11.153,12.4255,2.6791,11.1678,11.0779,70.766,70.1341,70.4084,0.0398,0.0016,0.0,0.0,99.9586,20.3739
