,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len
en_XX_tr_TR_baseline,23.7596,8.0929,20.725,20.6656,23.6907,8.0685,20.6777,20.6149,74.2092,72.3162,73.1987,0.0,0.0001,0.0,0.0,99.9999,20.2179
en_XX_tr_TR_en,15.3511,3.3854,12.3088,12.3103,15.2254,3.348,12.208,12.2144,68.8883,70.213,69.4898,8.2331,0.0,0.0,0.0,91.7668,32.7282
en_XX_tr_TR_multi,16.6209,3.7646,13.2448,13.2195,16.5419,3.7522,13.2011,13.1761,69.3408,70.9044,70.06,1.0346,0.0,0.0,0.0,98.9654,32.2913
en_tr_translated,12.9562,2.7169,11.7736,11.7183,12.8448,2.7025,11.6795,11.6141,71.0797,70.2313,70.6182,0.1692,0.0744,0.0,0.0,99.7565,19.7007
es_Benchmark,38.3,15.37,32.4,,,,,,,,,,,,,,
es_XX_en_XX_baseline,38.4252,14.7611,31.4139,31.4158,36.4931,14.0558,30.0128,30.0143,79.3214,77.1136,78.1382,99.7636,0.1877,0.0165,0.0061,0.0261,24.2768
es_XX_en_XX_en,33.5903,11.0234,26.4677,26.4754,31.8762,10.508,25.2712,25.281,76.8607,75.5465,76.1294,99.764,0.2097,0.0065,0.0002,0.0197,27.1373
es_XX_en_XX_multi,32.7168,10.5875,25.9456,25.9525,31.0472,10.1055,24.8153,24.8193,77.0336,75.0258,75.9475,99.6521,0.302,0.0188,0.0003,0.0268,24.0888
es_XX_ru_RU_baseline,21.0419,6.1531,18.0109,18.0026,21.0394,6.1524,18.0097,18.002,76.4812,74.0105,75.1662,0.0,0.0,100.0,0.0,0.0,19.6103
es_XX_ru_RU_en,15.9499,3.7862,12.9359,12.9269,15.9469,3.7855,12.9351,12.9264,72.7281,72.3117,72.464,0.1844,8.229,91.5865,0.0,0.0,27.6215
es_XX_ru_RU_multi,16.8671,4.3827,14.1675,14.1474,16.8618,4.3825,14.1659,14.1454,74.5039,72.1286,73.2351,0.0,0.0114,99.9886,0.0,0.0,19.2106
es_en_translated,36.3903,13.3873,29.7236,29.7185,34.5879,12.7671,28.4286,28.4196,78.7329,76.6652,77.6223,99.685,0.2752,0.0187,0.0049,0.0162,24.5874
es_ru_translated,16.1245,3.4797,13.873,13.8474,16.1205,3.4786,13.8712,13.8457,74.4561,72.3628,73.3423,0.0,0.0,100.0,0.0,0.0,20.0259
ru_Benchmark,32.91,11.83,27.69,,,,,,,,,,,,,,
ru_RU_en_XX_baseline,36.0242,13.1629,29.427,29.4369,34.192,12.5393,28.1011,28.1059,78.5533,76.5144,77.4582,99.6605,0.2775,0.0247,0.0198,0.0176,23.6002
ru_RU_en_XX_en,31.7041,9.8889,24.9629,24.9629,30.0251,9.392,23.8071,23.8054,76.2091,75.1559,75.6094,99.6433,0.3127,0.0143,0.0003,0.0294,27.1675
ru_RU_en_XX_multi,31.111,9.5844,24.574,24.5792,29.4797,9.1199,23.4675,23.473,76.3543,74.7812,75.4889,99.5952,0.3464,0.0347,0.0004,0.0233,24.5361
ru_en_translated,34.4771,12.0525,28.4152,28.4199,32.6525,11.457,27.0617,27.0606,78.6423,76.13,77.3035,99.6673,0.2867,0.0221,0.0005,0.0234,21.9327
tr_Benchmark,33.68,12.74,27.62,,,,,,,,,,,,,,
tr_TR_en_XX_baseline,41.5345,18.1693,34.5302,34.5417,39.9485,17.5384,33.3877,33.4012,79.8214,77.999,78.8374,99.4486,0.2706,0.1143,0.1127,0.0538,25.1812
tr_TR_en_XX_en,35.5936,12.784,28.1514,28.1646,33.9552,12.2638,27.0546,27.0416,77.1283,76.0724,76.5245,99.803,0.122,0.0199,0.0005,0.0546,26.4897
tr_TR_en_XX_multi,34.6659,12.1268,27.5442,27.5346,33.0969,11.5911,26.377,26.3616,76.9945,75.6314,76.2326,99.6333,0.2049,0.0929,0.0005,0.0683,25.2362
tr_TR_tr_TR_baseline,30.3768,12.3571,26.3065,26.2906,30.2839,12.3082,26.234,26.2136,76.409,74.6503,75.4506,0.0281,0.2744,0.0,0.0,99.6975,21.1227
tr_TR_tr_TR_en,16.007,3.575,12.081,12.0698,15.9028,3.5565,12.0065,11.9974,66.0013,70.7597,68.2456,0.0,0.0,0.0,0.0,100.0,47.797
tr_TR_tr_TR_multi,17.6634,4.3117,13.6841,13.6737,17.5782,4.3007,13.6238,13.6188,67.3135,71.5537,69.3132,0.0,0.0,0.0,0.0,100.0,43.5803
tr_en_translated,36.0859,12.9694,29.5209,29.4705,34.5791,12.4572,28.4656,28.4357,77.9647,76.443,77.1364,99.9621,0.0378,0.0,0.0,0.0001,26.2913
tr_tr_translated,12.5058,2.69,11.2516,11.153,12.4255,2.6791,11.1678,11.0779,70.766,70.1341,70.4084,0.0398,0.0016,0.0,0.0,99.9586,20.3739
