,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len
en_XX_tr_TR_baseline,23.7596,8.0929,20.725,20.6656,23.6907,8.0685,20.6777,20.6149,74.2092,72.3162,73.1987,0.0,0.0001,0.0,0.0,99.9999,20.2179
en_XX_tr_TR_en,18.2241,4.5735,14.8971,14.8798,18.1236,4.5618,14.8454,14.8267,70.5086,70.834,70.6029,2.4763,0.149,0.0097,0.0004,97.3646,27.1835
en_XX_tr_TR_multi,18.2306,4.4968,14.9331,14.8904,18.1116,4.4742,14.8497,14.8116,70.2895,71.0964,70.626,0.1268,0.0032,0.0,0.0,99.87,28.6892
en_tr_translated,12.9562,2.7169,11.7736,11.7183,12.8448,2.7025,11.6795,11.6141,71.0797,70.2313,70.6182,0.1692,0.0744,0.0,0.0,99.7565,19.7007
es_Benchmark,38.3,15.37,32.4,,,,,,,,,,,,,,
es_XX_en_XX_baseline,38.4252,14.7611,31.4139,31.4158,36.4931,14.0558,30.0128,30.0143,79.3214,77.1136,78.1382,99.7636,0.1877,0.0165,0.0061,0.0261,24.2768
es_XX_en_XX_en,34.8175,11.7673,27.5768,27.5818,33.0602,11.1932,26.3625,26.3648,77.2943,75.9529,76.5516,99.6968,0.2732,0.0086,0.0002,0.0213,26.9392
es_XX_en_XX_multi,34.5855,11.5748,27.4205,27.4241,32.8586,11.0347,26.2374,26.2412,77.2969,75.7399,76.4439,99.5979,0.351,0.0222,0.0003,0.0287,26.4738
es_XX_ru_RU_baseline,21.0419,6.1531,18.0109,18.0026,21.0394,6.1524,18.0097,18.002,76.4812,74.0105,75.1662,0.0,0.0,100.0,0.0,0.0,19.6103
es_XX_ru_RU_en,17.1938,4.2264,14.1207,14.1028,17.1927,4.2262,14.1197,14.1013,73.909,72.8228,73.3024,0.8809,0.1493,98.9698,0.0,0.0,23.9306
es_XX_ru_RU_multi,17.8485,4.762,15.032,15.0133,17.8453,4.7618,15.0298,15.0117,74.7628,72.6121,73.6129,0.0,0.0343,99.9657,0.0,0.0,20.124
es_en_translated,36.3903,13.3873,29.7236,29.7185,34.5879,12.7671,28.4286,28.4196,78.7329,76.6652,77.6223,99.685,0.2752,0.0187,0.0049,0.0162,24.5874
es_ru_translated,16.1245,3.4797,13.873,13.8474,16.1205,3.4786,13.8712,13.8457,74.4561,72.3628,73.3423,0.0,0.0,100.0,0.0,0.0,20.0259
ru_Benchmark,32.91,11.83,27.69,,,,,,,,,,,,,,
ru_RU_en_XX_baseline,36.0242,13.1629,29.427,29.4369,34.192,12.5393,28.1011,28.1059,78.5533,76.5144,77.4582,99.6605,0.2775,0.0247,0.0198,0.0176,23.6002
ru_RU_en_XX_en,32.7153,10.4388,25.8001,25.8046,30.9864,9.9154,24.5864,24.5913,76.4199,75.4397,75.8586,99.7237,0.2439,0.0206,0.0003,0.0114,27.3386
ru_RU_en_XX_multi,32.5902,10.4768,25.8049,25.8138,30.9247,9.9658,24.6351,24.6456,76.509,75.3472,75.8555,99.6658,0.2824,0.0205,0.001,0.0303,26.974
ru_en_translated,34.4771,12.0525,28.4152,28.4199,32.6525,11.457,27.0617,27.0606,78.6423,76.13,77.3035,99.6673,0.2867,0.0221,0.0005,0.0234,21.9327
tr_Benchmark,33.68,12.74,27.62,,,,,,,,,,,,,,
tr_TR_en_XX_baseline,41.5345,18.1693,34.5302,34.5417,39.9485,17.5384,33.3877,33.4012,79.8214,77.999,78.8374,99.4486,0.2706,0.1143,0.1127,0.0538,25.1812
tr_TR_en_XX_en,37.503,13.8341,29.6385,29.6229,35.9127,13.3486,28.6172,28.5991,77.3634,76.5935,76.9089,99.7359,0.1509,0.0,0.0,0.1132,27.6399
tr_TR_en_XX_multi,37.9322,13.8812,29.9028,29.9078,36.3102,13.3395,28.799,28.8061,77.4403,76.7287,77.0125,99.8205,0.1591,0.0,0.0,0.0204,27.8589
tr_TR_tr_TR_baseline,30.3768,12.3571,26.3065,26.2906,30.2839,12.3082,26.234,26.2136,76.409,74.6503,75.4506,0.0281,0.2744,0.0,0.0,99.6975,21.1227
tr_TR_tr_TR_en,17.0559,4.7934,14.0241,13.9965,16.9564,4.7828,13.9438,13.9228,68.9303,69.564,69.1694,25.4587,0.0,0.0,0.0,74.5413,33.6984
tr_TR_tr_TR_multi,22.6088,6.9545,18.3445,18.3562,22.5159,6.9291,18.2827,18.2939,71.1702,73.1565,72.0741,0.083,0.0004,0.0,0.0,99.9166,32.4381
tr_en_translated,36.0859,12.9694,29.5209,29.4705,34.5791,12.4572,28.4656,28.4357,77.9647,76.443,77.1364,99.9621,0.0378,0.0,0.0,0.0001,26.2913
tr_tr_translated,12.5058,2.69,11.2516,11.153,12.4255,2.6791,11.1678,11.0779,70.766,70.1341,70.4084,0.0398,0.0016,0.0,0.0,99.9586,20.3739
