,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len
en_XX_tr_TR_baseline,23.7596,8.0929,20.725,20.6656,23.6907,8.0685,20.6777,20.6149,74.2092,72.3162,73.1987,0.0,0.0001,0.0,0.0,99.9999,20.2179
en_XX_tr_TR_en,14.7361,4.0862,12.465,12.3507,14.6275,4.0752,12.369,12.2523,69.332,68.4746,68.8483,33.3489,0.0302,0.0,0.0,66.6209,27.906
en_XX_tr_TR_multi,20.3837,5.7608,16.7351,16.7285,20.2665,5.7342,16.6474,16.6414,71.1809,71.5775,71.3219,1.2619,0.0,0.0,0.0,98.7381,28.3933
en_tr_translated,12.9562,2.7169,11.7736,11.7183,12.8448,2.7025,11.6795,11.6141,71.0797,70.2313,70.6182,0.1692,0.0744,0.0,0.0,99.7565,19.7007
es_Benchmark,38.3,15.37,32.4,,,,,,,,,,,,,,
es_XX_en_XX_baseline,38.4252,14.7611,31.4139,31.4158,36.4931,14.0558,30.0128,30.0143,79.3214,77.1136,78.1382,99.7636,0.1877,0.0165,0.0061,0.0261,24.2768
es_XX_en_XX_en,35.3695,12.1829,28.3829,28.3882,33.6207,11.6332,27.1597,27.1631,77.7335,76.1638,76.8764,99.6487,0.327,0.005,0.0002,0.0191,26.5065
es_XX_en_XX_multi,34.4411,11.5164,27.6637,27.666,32.6985,10.9869,26.4424,26.44,77.3432,75.7451,76.4712,98.4218,1.5209,0.0316,0.0006,0.0251,26.1295
es_XX_ru_RU_baseline,21.0419,6.1531,18.0109,18.0026,21.0394,6.1524,18.0097,18.002,76.4812,74.0105,75.1662,0.0,0.0,100.0,0.0,0.0,19.6103
es_XX_ru_RU_en,17.9249,4.5733,14.8448,14.8298,17.9212,4.5733,14.842,14.8274,74.2044,73.1855,73.6334,0.1098,0.3927,99.4973,0.0,0.0002,24.3281
es_XX_ru_RU_multi,17.6433,4.6346,14.8153,14.7942,17.6372,4.6341,14.8125,14.7904,74.1799,72.6866,73.3675,0.0,1.6139,98.3861,0.0,0.0,22.3267
es_en_translated,36.3903,13.3873,29.7236,29.7185,34.5879,12.7671,28.4286,28.4196,78.7329,76.6652,77.6223,99.685,0.2752,0.0187,0.0049,0.0162,24.5874
es_ru_translated,16.1245,3.4797,13.873,13.8474,16.1205,3.4786,13.8712,13.8457,74.4561,72.3628,73.3423,0.0,0.0,100.0,0.0,0.0,20.0259
ru_Benchmark,32.91,11.83,27.69,,,,,,,,,,,,,,
ru_RU_en_XX_baseline,36.0242,13.1629,29.427,29.4369,34.192,12.5393,28.1011,28.1059,78.5533,76.5144,77.4582,99.6605,0.2775,0.0247,0.0198,0.0176,23.6002
ru_RU_en_XX_en,33.7083,10.9971,26.6776,26.6803,31.9378,10.4378,25.4326,25.4333,76.6307,75.9221,76.2096,99.8017,0.1411,0.0413,0.0006,0.0153,28.8611
ru_RU_en_XX_multi,32.7941,10.6952,26.3146,26.323,31.1214,10.1893,25.1194,25.1293,77.0304,75.3618,76.1183,99.5782,0.3005,0.0865,0.0014,0.0334,25.3056
ru_en_translated,34.4771,12.0525,28.4152,28.4199,32.6525,11.457,27.0617,27.0606,78.6423,76.13,77.3035,99.6673,0.2867,0.0221,0.0005,0.0234,21.9327
tr_Benchmark,33.68,12.74,27.62,,,,,,,,,,,,,,
tr_TR_en_XX_baseline,41.5345,18.1693,34.5302,34.5417,39.9485,17.5384,33.3877,33.4012,79.8214,77.999,78.8374,99.4486,0.2706,0.1143,0.1127,0.0538,25.1812
tr_TR_en_XX_en,39.0917,15.0752,31.1333,31.1021,37.386,14.5365,30.0228,29.994,77.5061,77.3625,77.3598,99.7928,0.1783,0.02,0.0,0.0089,30.4404
tr_TR_en_XX_multi,38.6086,14.6375,30.7224,30.7038,36.9137,14.0905,29.591,29.5566,77.7212,77.155,77.3646,99.6696,0.2587,0.0101,0.0,0.0616,29.6101
tr_TR_tr_TR_baseline,30.3768,12.3571,26.3065,26.2906,30.2839,12.3082,26.234,26.2136,76.409,74.6503,75.4506,0.0281,0.2744,0.0,0.0,99.6975,21.1227
tr_TR_tr_TR_en,20.4198,6.0592,16.2589,16.215,20.297,6.051,16.167,16.1308,69.4927,72.0117,70.6538,7.4664,0.113,0.0,0.0,92.4206,36.6158
tr_TR_tr_TR_multi,23.1306,6.9797,18.3588,18.3404,23.0298,6.9683,18.2937,18.282,70.5756,73.6442,72.0121,0.0,0.0,0.0,0.0,100.0,37.336
tr_en_translated,36.0859,12.9694,29.5209,29.4705,34.5791,12.4572,28.4656,28.4357,77.9647,76.443,77.1364,99.9621,0.0378,0.0,0.0,0.0001,26.2913
tr_tr_translated,12.5058,2.69,11.2516,11.153,12.4255,2.6791,11.1678,11.0779,70.766,70.1341,70.4084,0.0398,0.0016,0.0,0.0,99.9586,20.3739
