,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len
en_XX_tr_TR_baseline,23.7596,8.0929,20.725,20.6656,23.6907,8.0685,20.6777,20.6149,74.2092,72.3162,73.1987,0.0,0.0001,0.0,0.0,99.9999,20.2179
en_XX_tr_TR_en,2.8469,0.4512,2.5981,2.5478,2.7497,0.4463,2.4989,2.4494,60.5545,61.6069,61.0373,99.3119,0.0001,0.0,0.0,0.6881,65.7729
en_tr_translated,12.9562,2.7169,11.7736,11.7183,12.8448,2.7025,11.6795,11.6141,71.0797,70.2313,70.6182,0.1692,0.0744,0.0,0.0,99.7565,19.7007
es_Benchmark,38.3,15.37,32.4,,,,,,,,,,,,,,
es_XX_en_XX_baseline,38.4252,14.7611,31.4139,31.4158,36.4931,14.0558,30.0128,30.0143,79.3214,77.1136,78.1382,99.7636,0.1877,0.0165,0.0061,0.0261,24.2768
es_XX_en_XX_en,32.613,10.2177,26.1281,26.1316,30.9286,9.7481,24.9477,24.9518,77.0922,75.1971,76.0717,99.3754,0.5861,0.024,0.0003,0.0142,24.959
es_XX_en_XX_multi,2.6118,0.208,2.394,2.3639,2.3653,0.2033,2.179,2.1478,65.6494,70.5131,67.9572,0.8037,99.1829,0.0004,0.0,0.0131,60.1514
es_XX_ru_RU_baseline,21.0419,6.1531,18.0109,18.0026,21.0394,6.1524,18.0097,18.002,76.4812,74.0105,75.1662,0.0,0.0,100.0,0.0,0.0,19.6103
es_XX_ru_RU_en,13.1817,2.9214,11.0138,10.9982,13.1797,2.9207,11.012,10.9962,72.3213,70.8701,71.5354,11.4566,0.6755,87.8673,0.0,0.0005,26.1601
es_en_translated,36.3903,13.3873,29.7236,29.7185,34.5879,12.7671,28.4286,28.4196,78.7329,76.6652,77.6223,99.685,0.2752,0.0187,0.0049,0.0162,24.5874
es_ru_translated,16.1245,3.4797,13.873,13.8474,16.1205,3.4786,13.8712,13.8457,74.4561,72.3628,73.3423,0.0,0.0,100.0,0.0,0.0,20.0259
ru_Benchmark,32.91,11.83,27.69,,,,,,,,,,,,,,
ru_RU_en_XX_baseline,36.0242,13.1629,29.427,29.4369,34.192,12.5393,28.1011,28.1059,78.5533,76.5144,77.4582,99.6605,0.2775,0.0247,0.0198,0.0176,23.6002
ru_RU_en_XX_en,30.2133,9.0439,24.1474,24.1567,28.681,8.6135,23.087,23.0907,76.4963,74.4972,75.416,99.5424,0.3861,0.05,0.0004,0.021,23.7115
ru_en_translated,34.4771,12.0525,28.4152,28.4199,32.6525,11.457,27.0617,27.0606,78.6423,76.13,77.3035,99.6673,0.2867,0.0221,0.0005,0.0234,21.9327
tr_Benchmark,33.68,12.74,27.62,,,,,,,,,,,,,,
tr_TR_en_XX_baseline,41.5345,18.1693,34.5302,34.5417,39.9485,17.5384,33.3877,33.4012,79.8214,77.999,78.8374,99.4486,0.2706,0.1143,0.1127,0.0538,25.1812
tr_TR_en_XX_en,34.3796,11.8295,27.5301,27.4836,32.9399,11.4332,26.6267,26.5767,77.0821,75.4548,76.1873,99.7983,0.0454,0.1091,0.0002,0.047,24.8544
tr_TR_tr_TR_baseline,30.3768,12.3571,26.3065,26.2906,30.2839,12.3082,26.234,26.2136,76.409,74.6503,75.4506,0.0281,0.2744,0.0,0.0,99.6975,21.1227
tr_TR_tr_TR_en,10.6741,2.8095,8.7675,8.7364,10.5758,2.8023,8.6957,8.6647,64.5024,66.214,65.2934,49.5414,0.0,0.0,0.0,50.4586,48.0573
tr_en_translated,36.0859,12.9694,29.5209,29.4705,34.5791,12.4572,28.4656,28.4357,77.9647,76.443,77.1364,99.9621,0.0378,0.0,0.0,0.0001,26.2913
tr_tr_translated,12.5058,2.69,11.2516,11.153,12.4255,2.6791,11.1678,11.0779,70.766,70.1341,70.4084,0.0398,0.0016,0.0,0.0,99.9586,20.3739
