,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len
en_XX_tr_TR_baseline,23.7596,8.0929,20.725,20.6656,23.6907,8.0685,20.6777,20.6149,74.2092,72.3162,73.1987,0.0,0.0001,0.0,0.0,99.9999,20.2179
en_XX_tr_TR_en,3.3327,0.5597,3.0975,3.0242,3.1762,0.5566,2.9459,2.8761,64.9648,61.7619,63.2902,99.8156,0.1569,0.0,0.0,0.0275,26.9094
en_XX_tr_TR_multi,3.293,0.5545,3.0797,3.0264,3.1435,0.53,2.931,2.8777,65.1317,61.4289,63.193,99.6644,0.3219,0.0098,0.0004,0.0036,23.6904
en_tr_translated,12.9562,2.7169,11.7736,11.7183,12.8448,2.7025,11.6795,11.6141,71.0797,70.2313,70.6182,0.1692,0.0744,0.0,0.0,99.7565,19.7007
es_Benchmark,38.3,15.37,32.4,,,,,,,,,,,,,,
es_XX_en_XX_baseline,38.4252,14.7611,31.4139,31.4158,36.4931,14.0558,30.0128,30.0143,79.3214,77.1136,78.1382,99.7636,0.1877,0.0165,0.0061,0.0261,24.2768
es_XX_en_XX_en,24.5346,6.628,19.9922,19.9977,23.0913,6.2202,18.9737,18.9792,75.6598,71.3663,73.3812,99.298,0.6653,0.0067,0.0003,0.0297,15.9505
es_XX_en_XX_multi,2.2343,0.1282,2.0922,2.0715,1.9788,0.1259,1.86,1.8398,67.5246,70.3592,68.8833,0.0276,99.9708,0.0,0.0,0.0016,36.6637
es_XX_ru_RU_baseline,21.0419,6.1531,18.0109,18.0026,21.0394,6.1524,18.0097,18.002,76.4812,74.0105,75.1662,0.0,0.0,100.0,0.0,0.0,19.6103
es_XX_ru_RU_en,0.6162,0.1124,0.5922,0.5698,0.5994,0.1105,0.5783,0.5545,67.3091,62.4187,64.7368,99.4896,0.4716,0.014,0.0001,0.0247,19.4408
es_XX_ru_RU_multi,12.1111,2.1178,10.1625,10.142,12.1031,2.1172,10.1572,10.1378,72.3485,70.3033,71.2597,0.0869,0.0607,99.8522,0.0,0.0002,19.155
es_en_translated,36.3903,13.3873,29.7236,29.7185,34.5879,12.7671,28.4286,28.4196,78.7329,76.6652,77.6223,99.685,0.2752,0.0187,0.0049,0.0162,24.5874
es_ru_translated,16.1245,3.4797,13.873,13.8474,16.1205,3.4786,13.8712,13.8457,74.4561,72.3628,73.3423,0.0,0.0,100.0,0.0,0.0,20.0259
ru_Benchmark,32.91,11.83,27.69,,,,,,,,,,,,,,
ru_RU_en_XX_baseline,36.0242,13.1629,29.427,29.4369,34.192,12.5393,28.1011,28.1059,78.5533,76.5144,77.4582,99.6605,0.2775,0.0247,0.0198,0.0176,23.6002
ru_RU_en_XX_en,24.4139,6.5355,19.991,19.9755,22.9283,6.1745,18.922,18.9091,76.0299,71.5832,73.6673,99.2747,0.5732,0.109,0.0004,0.0427,15.7186
ru_RU_en_XX_multi,0.7292,0.1316,0.6983,0.6749,0.7093,0.129,0.6816,0.6583,63.0938,66.8381,64.8865,0.0402,0.01,99.9398,0.0,0.01,24.8675
ru_en_translated,34.4771,12.0525,28.4152,28.4199,32.6525,11.457,27.0617,27.0606,78.6423,76.13,77.3035,99.6673,0.2867,0.0221,0.0005,0.0234,21.9327
tr_Benchmark,33.68,12.74,27.62,,,,,,,,,,,,,,
tr_TR_en_XX_baseline,41.5345,18.1693,34.5302,34.5417,39.9485,17.5384,33.3877,33.4012,79.8214,77.999,78.8374,99.4486,0.2706,0.1143,0.1127,0.0538,25.1812
tr_TR_en_XX_en,24.9406,6.2633,20.04,20.0588,23.4138,5.8518,18.887,18.8952,74.7387,71.7918,73.1662,99.8576,0.0531,0.0,0.0,0.0893,20.922
tr_TR_en_XX_multi,17.4353,4.0827,13.7508,13.6898,16.285,3.8223,12.9457,12.8735,68.5494,69.9957,69.1987,63.4641,2.5351,14.5762,0.1151,19.3094,31.8544
tr_TR_tr_TR_baseline,30.3768,12.3571,26.3065,26.2906,30.2839,12.3082,26.234,26.2136,76.409,74.6503,75.4506,0.0281,0.2744,0.0,0.0,99.6975,21.1227
tr_TR_tr_TR_en,3.4717,0.4755,3.2399,3.2081,3.2694,0.4657,3.0679,3.0324,64.7236,61.0691,62.8033,99.6121,0.0436,0.0001,0.0,0.3441,25.8532
tr_TR_tr_TR_multi,12.8168,2.4176,10.6704,10.6597,12.7286,2.414,10.6245,10.6105,67.4074,69.1034,68.1965,0.1818,0.0348,0.0097,0.0004,99.7733,32.5378
tr_en_translated,36.0859,12.9694,29.5209,29.4705,34.5791,12.4572,28.4656,28.4357,77.9647,76.443,77.1364,99.9621,0.0378,0.0,0.0,0.0001,26.2913
tr_tr_translated,12.5058,2.69,11.2516,11.153,12.4255,2.6791,11.1678,11.0779,70.766,70.1341,70.4084,0.0398,0.0016,0.0,0.0,99.9586,20.3739
