,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len
en_XX_tr_TR_baseline,23.7596,8.0929,20.725,20.6656,23.6907,8.0685,20.6777,20.6149,74.2092,72.3162,73.1987,0.0,0.0001,0.0,0.0,99.9999,20.2179
en_XX_tr_TR_en,13.9696,5.7448,13.6105,13.5737,13.8447,5.7367,13.5144,13.4797,69.1082,64.1476,66.4629,64.2655,1.6715,0.0103,0.0005,34.0521,17.5493
en_XX_tr_TR_multi,14.3256,5.1907,13.7313,13.7101,14.226,5.1784,13.6396,13.6198,67.9167,67.0361,67.4062,8.8752,0.2401,0.0,0.0,90.8847,24.4874
en_tr_translated,12.9562,2.7169,11.7736,11.7183,12.8448,2.7025,11.6795,11.6141,71.0797,70.2313,70.6182,0.1692,0.0744,0.0,0.0,99.7565,19.7007
es_Benchmark,38.3,15.37,32.4,,,,,,,,,,,,,,
es_XX_en_XX_baseline,38.4252,14.7611,31.4139,31.4158,36.4931,14.0558,30.0128,30.0143,79.3214,77.1136,78.1382,99.7636,0.1877,0.0165,0.0061,0.0261,24.2768
es_XX_en_XX_en,26.3289,8.6491,23.1562,23.1687,25.3774,8.4239,22.4873,22.501,78.3145,72.5182,75.2163,99.678,0.2867,0.0035,0.0002,0.0317,16.4049
es_XX_en_XX_multi,8.3742,3.5801,8.282,8.2748,8.1888,3.5768,8.1122,8.1042,71.434,71.3209,71.3333,0.1569,99.8191,0.0234,0.0001,0.0005,31.5361
es_XX_ru_RU_baseline,21.0419,6.1531,18.0109,18.0026,21.0394,6.1524,18.0097,18.002,76.4812,74.0105,75.1662,0.0,0.0,100.0,0.0,0.0,19.6103
es_XX_ru_RU_en,9.4602,4.8646,9.4488,9.4489,9.4467,4.8639,9.436,9.4357,72.0318,64.324,67.872,99.4649,0.38,0.1151,0.0138,0.0262,19.6817
es_XX_ru_RU_multi,18.3349,6.6303,16.7705,16.7692,18.3304,6.6297,16.7675,16.7662,75.0693,71.9326,73.3964,0.0343,0.0,99.9657,0.0,0.0,19.0264
es_en_translated,36.3903,13.3873,29.7236,29.7185,34.5879,12.7671,28.4286,28.4196,78.7329,76.6652,77.6223,99.685,0.2752,0.0187,0.0049,0.0162,24.5874
es_ru_translated,16.1245,3.4797,13.873,13.8474,16.1205,3.4786,13.8712,13.8457,74.4561,72.3628,73.3423,0.0,0.0,100.0,0.0,0.0,20.0259
ru_Benchmark,32.91,11.83,27.69,,,,,,,,,,,,,,
ru_RU_en_XX_baseline,36.0242,13.1629,29.427,29.4369,34.192,12.5393,28.1011,28.1059,78.5533,76.5144,77.4582,99.6605,0.2775,0.0247,0.0198,0.0176,23.6002
ru_RU_en_XX_en,25.971,8.7317,23.0302,23.0241,25.0129,8.5177,22.3247,22.3186,78.0875,72.4177,75.054,99.7143,0.2721,0.0066,0.0002,0.0068,15.975
ru_RU_en_XX_multi,8.7711,4.3647,8.7306,8.7198,8.7381,4.3602,8.7025,8.6914,67.9152,69.2729,68.5409,0.1355,0.0039,99.8603,0.0,0.0002,20.5037
ru_en_translated,34.4771,12.0525,28.4152,28.4199,32.6525,11.457,27.0617,27.0606,78.6423,76.13,77.3035,99.6673,0.2867,0.0221,0.0005,0.0234,21.9327
tr_Benchmark,33.68,12.74,27.62,,,,,,,,,,,,,,
tr_TR_en_XX_baseline,41.5345,18.1693,34.5302,34.5417,39.9485,17.5384,33.3877,33.4012,79.8214,77.999,78.8374,99.4486,0.2706,0.1143,0.1127,0.0538,25.1812
tr_TR_en_XX_en,26.4652,7.9459,22.848,22.8646,25.5601,7.7221,22.2102,22.2189,75.7127,72.7518,74.112,99.7271,0.2726,0.0,0.0,0.0003,24.0057
tr_TR_en_XX_multi,18.0763,5.3543,15.3238,15.2851,17.3933,5.2293,14.8285,14.7915,68.8836,70.5597,69.6615,46.5586,1.6055,49.5424,0.1147,2.1789,35.9346
tr_TR_tr_TR_baseline,30.3768,12.3571,26.3065,26.2906,30.2839,12.3082,26.234,26.2136,76.409,74.6503,75.4506,0.0281,0.2744,0.0,0.0,99.6975,21.1227
tr_TR_tr_TR_en,9.6188,4.3544,9.5124,9.5023,9.5185,4.3484,9.432,9.4157,67.2434,63.0866,65.0271,99.8318,0.0403,0.0097,0.0004,0.1178,28.0573
tr_TR_tr_TR_multi,15.9657,5.7427,14.9964,14.9867,15.8472,5.7427,14.9043,14.8898,69.4855,68.5933,68.9704,2.3594,0.1159,0.0,0.0,97.5246,22.3727
tr_en_translated,36.0859,12.9694,29.5209,29.4705,34.5791,12.4572,28.4656,28.4357,77.9647,76.443,77.1364,99.9621,0.0378,0.0,0.0,0.0001,26.2913
tr_tr_translated,12.5058,2.69,11.2516,11.153,12.4255,2.6791,11.1678,11.0779,70.766,70.1341,70.4084,0.0398,0.0016,0.0,0.0,99.9586,20.3739
