,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len
en_XX_tr_TR_baseline,23.7596,8.0929,20.725,20.6656,23.6907,8.0685,20.6777,20.6149,74.2092,72.3162,73.1987,0.0,0.0001,0.0,0.0,99.9999,20.2179
en_XX_tr_TR_en,11.193,4.7496,10.9491,10.8888,11.0549,4.7467,10.8211,10.7589,68.6175,64.908,66.6618,99.8942,0.0756,0.0001,0.0,0.0301,28.2615
en_XX_tr_TR_multi,11.5153,4.9763,11.3152,11.2741,11.3774,4.9573,11.1799,11.1434,69.0748,64.544,66.6784,99.6644,0.3219,0.0098,0.0004,0.0036,24.6904
en_tr_translated,12.9562,2.7169,11.7736,11.7183,12.8448,2.7025,11.6795,11.6141,71.0797,70.2313,70.6182,0.1692,0.0744,0.0,0.0,99.7565,19.7007
es_Benchmark,38.3,15.37,32.4,,,,,,,,,,,,,,
es_XX_en_XX_baseline,38.4252,14.7611,31.4139,31.4158,36.4931,14.0558,30.0128,30.0143,79.3214,77.1136,78.1382,99.7636,0.1877,0.0165,0.0061,0.0261,24.2768
es_XX_en_XX_en,32.1978,11.7707,27.7276,27.7409,30.8335,11.3875,26.7635,26.7755,80.3934,75.4194,77.7395,99.3274,0.6393,0.0055,0.0003,0.0275,18.2176
es_XX_en_XX_multi,8.4183,3.4154,8.284,8.2696,8.1808,3.4131,8.0686,8.053,71.6965,72.5019,72.0553,0.0276,99.9708,0.0,0.0,0.0016,36.6639
es_XX_ru_RU_baseline,21.0419,6.1531,18.0109,18.0026,21.0394,6.1524,18.0097,18.002,76.4812,74.0105,75.1662,0.0,0.0,100.0,0.0,0.0,19.6103
es_XX_ru_RU_en,9.4125,4.7657,9.3868,9.3771,9.3966,4.7634,9.3733,9.3633,72.8516,66.2132,69.3105,99.5596,0.42,0.0115,0.0,0.0089,22.2545
es_XX_ru_RU_multi,20.264,7.2794,18.4588,18.4476,20.2559,7.2784,18.4545,18.4434,75.7398,73.1898,74.3758,0.0869,0.0607,99.8522,0.0,0.0002,20.155
es_en_translated,36.3903,13.3873,29.7236,29.7185,34.5879,12.7671,28.4286,28.4196,78.7329,76.6652,77.6223,99.685,0.2752,0.0187,0.0049,0.0162,24.5874
es_ru_translated,16.1245,3.4797,13.873,13.8474,16.1205,3.4786,13.8712,13.8457,74.4561,72.3628,73.3423,0.0,0.0,100.0,0.0,0.0,20.0259
ru_Benchmark,32.91,11.83,27.69,,,,,,,,,,,,,,
ru_RU_en_XX_baseline,36.0242,13.1629,29.427,29.4369,34.192,12.5393,28.1011,28.1059,78.5533,76.5144,77.4582,99.6605,0.2775,0.0247,0.0198,0.0176,23.6002
ru_RU_en_XX_en,32.1064,11.8244,27.7922,27.7913,30.6782,11.4421,26.7717,26.7658,80.5813,75.624,77.9354,99.3171,0.5233,0.1278,0.0005,0.0313,17.8809
ru_RU_en_XX_multi,8.281,4.1103,8.2518,8.236,8.2619,4.1078,8.2359,8.221,67.4685,69.958,68.6462,0.0402,0.01,99.9398,0.0,0.01,24.8678
ru_en_translated,34.4771,12.0525,28.4152,28.4199,32.6525,11.457,27.0617,27.0606,78.6423,76.13,77.3035,99.6673,0.2867,0.0221,0.0005,0.0234,21.9327
tr_Benchmark,33.68,12.74,27.62,,,,,,,,,,,,,,
tr_TR_en_XX_baseline,41.5345,18.1693,34.5302,34.5417,39.9485,17.5384,33.3877,33.4012,79.8214,77.999,78.8374,99.4486,0.2706,0.1143,0.1127,0.0538,25.1812
tr_TR_en_XX_en,31.7241,10.8541,27.0467,27.0725,30.2572,10.5278,25.9399,25.957,78.9498,75.488,77.0931,99.8958,0.0774,0.0,0.0,0.0268,21.9622
tr_TR_en_XX_multi,23.0385,7.5842,19.5922,19.5779,21.975,7.337,18.8481,18.8378,71.7229,73.0166,72.2873,63.4641,2.5351,14.5762,0.1151,19.3094,32.4851
tr_TR_tr_TR_baseline,30.3768,12.3571,26.3065,26.2906,30.2839,12.3082,26.234,26.2136,76.409,74.6503,75.4506,0.0281,0.2744,0.0,0.0,99.6975,21.1227
tr_TR_tr_TR_en,11.4688,4.8076,11.2988,11.2726,11.3281,4.8053,11.1575,11.1324,68.941,64.2988,66.4702,99.5215,0.2175,0.0,0.0,0.261,26.0963
tr_TR_tr_TR_multi,19.1632,6.4048,17.1594,17.1254,19.0789,6.3998,17.1133,17.0836,69.8734,71.8058,70.7621,0.1815,0.0348,0.0097,0.0004,99.7735,33.5378
tr_en_translated,36.0859,12.9694,29.5209,29.4705,34.5791,12.4572,28.4656,28.4357,77.9647,76.443,77.1364,99.9621,0.0378,0.0,0.0,0.0001,26.2913
tr_tr_translated,12.5058,2.69,11.2516,11.153,12.4255,2.6791,11.1678,11.0779,70.766,70.1341,70.4084,0.0398,0.0016,0.0,0.0,99.9586,20.3739
