,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len
en_XX_tr_TR_baseline,23.7596,8.0929,20.725,20.6656,23.6907,8.0685,20.6777,20.6149,74.2092,72.3162,73.1987,0.0,0.0001,0.0,0.0,99.9999,20.2179
en_XX_tr_TR_en,13.2638,6.3955,13.1902,13.2007,13.2241,6.3691,13.1528,13.1691,68.8379,60.2627,64.1483,30.2203,4.6268,0.1581,0.0073,64.9875,11.0229
en_XX_tr_TR_multi,13.6177,6.6886,13.5817,13.5913,13.6041,6.6886,13.5692,13.5796,69.584,60.4762,64.6037,2.9425,0.796,0.1171,0.0053,96.139,8.4186
en_tr_translated,12.9562,2.7169,11.7736,11.7183,12.8448,2.7025,11.6795,11.6141,71.0797,70.2313,70.6182,0.1692,0.0744,0.0,0.0,99.7565,19.7007
es_Benchmark,38.3,15.37,32.4,,,,,,,,,,,,,,
es_XX_en_XX_baseline,38.4252,14.7611,31.4139,31.4158,36.4931,14.0558,30.0128,30.0143,79.3214,77.1136,78.1382,99.7636,0.1877,0.0165,0.0061,0.0261,24.2768
es_XX_en_XX_en,17.8528,4.3482,16.3257,16.3379,17.681,4.3259,16.2086,16.2206,71.3556,69.3624,70.2622,99.9934,0.0065,0.0,0.0,0.0001,32.0526
es_XX_en_XX_multi,19.393,5.1196,17.9902,18.0023,19.2036,5.0904,17.852,17.8646,75.1714,69.7718,72.2885,99.9547,0.0352,0.002,0.0047,0.0035,21.1586
es_XX_ru_RU_baseline,21.0419,6.1531,18.0109,18.0026,21.0394,6.1524,18.0097,18.002,76.4812,74.0105,75.1662,0.0,0.0,100.0,0.0,0.0,19.6103
es_XX_ru_RU_en,6.3327,3.2138,6.3325,6.3312,6.3327,3.2138,6.3323,6.3309,61.8295,59.7869,60.6987,96.4883,0.0637,3.4331,0.0069,0.0079,46.1312
es_XX_ru_RU_multi,12.3437,4.9417,12.0375,12.0411,12.3437,4.9417,12.0375,12.0411,70.1679,65.7545,67.8102,0.0,0.0,100.0,0.0,0.0,20.3843
es_en_translated,36.3903,13.3873,29.7236,29.7185,34.5879,12.7671,28.4286,28.4196,78.7329,76.6652,77.6223,99.685,0.2752,0.0187,0.0049,0.0162,24.5874
es_ru_translated,16.1245,3.4797,13.873,13.8474,16.1205,3.4786,13.8712,13.8457,74.4561,72.3628,73.3423,0.0,0.0,100.0,0.0,0.0,20.0259
ru_Benchmark,32.91,11.83,27.69,,,,,,,,,,,,,,
ru_RU_en_XX_baseline,36.0242,13.1629,29.427,29.4369,34.192,12.5393,28.1011,28.1059,78.5533,76.5144,77.4582,99.6605,0.2775,0.0247,0.0198,0.0176,23.6002
ru_RU_en_XX_en,14.0322,3.671,13.2984,13.3141,13.9689,3.6621,13.2535,13.2672,63.3737,65.1993,64.1279,99.9272,0.0546,0.0152,0.0009,0.0022,44.5179
ru_RU_en_XX_multi,16.3732,4.1318,15.0412,15.0525,16.247,4.1148,14.9544,14.9647,66.6087,67.463,66.8573,99.9502,0.0159,0.0227,0.0102,0.001,37.7419
ru_en_translated,34.4771,12.0525,28.4152,28.4199,32.6525,11.457,27.0617,27.0606,78.6423,76.13,77.3035,99.6673,0.2867,0.0221,0.0005,0.0234,21.9327
tr_Benchmark,33.68,12.74,27.62,,,,,,,,,,,,,,
tr_TR_en_XX_baseline,41.5345,18.1693,34.5302,34.5417,39.9485,17.5384,33.3877,33.4012,79.8214,77.999,78.8374,99.4486,0.2706,0.1143,0.1127,0.0538,25.1812
tr_TR_en_XX_en,15.5965,4.2405,14.6873,14.7106,15.5372,4.2345,14.6482,14.6685,67.8133,65.1054,66.2953,99.999,0.0007,0.0,0.0,0.0003,32.3039
tr_TR_en_XX_multi,17.52,4.6364,16.2225,16.2504,17.4262,4.6292,16.1526,16.1892,70.4125,66.9003,68.5214,99.9494,0.0382,0.0097,0.0004,0.0023,23.9954
tr_TR_tr_TR_baseline,30.3768,12.3571,26.3065,26.2906,30.2839,12.3082,26.234,26.2136,76.409,74.6503,75.4506,0.0281,0.2744,0.0,0.0,99.6975,21.1227
tr_TR_tr_TR_en,12.6121,6.0996,12.5526,12.5605,12.5955,6.0996,12.5438,12.5487,65.3342,58.8711,61.7786,16.9446,2.685,0.1953,0.009,80.1661,13.4633
tr_TR_tr_TR_multi,13.6841,6.6031,13.6074,13.6372,13.6646,6.6031,13.5931,13.6224,68.1204,59.8171,63.5895,2.5252,0.7086,0.0984,0.0046,96.6631,9.3406
tr_en_translated,36.0859,12.9694,29.5209,29.4705,34.5791,12.4572,28.4656,28.4357,77.9647,76.443,77.1364,99.9621,0.0378,0.0,0.0,0.0001,26.2913
tr_tr_translated,12.5058,2.69,11.2516,11.153,12.4255,2.6791,11.1678,11.0779,70.766,70.1341,70.4084,0.0398,0.0016,0.0,0.0,99.9586,20.3739
