,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len
en_XX_tr_TR_baseline,23.7596,8.0929,20.725,20.6656,23.6907,8.0685,20.6777,20.6149,74.2092,72.3162,73.1987,0.0,0.0001,0.0,0.0,99.9999,20.2179
en_XX_tr_TR_en,11.4331,5.4315,11.3696,11.3603,11.3983,5.4315,11.3356,11.3216,68.9632,61.1301,64.7235,92.6,1.7191,0.0586,0.0027,5.6195,16.68
en_XX_tr_TR_multi,13.2518,6.01,13.056,13.0648,13.2089,6.01,13.0277,13.0377,69.7332,61.5177,65.2715,51.9616,2.5554,0.1722,0.1065,45.2042,13.4931
en_tr_translated,12.9562,2.7169,11.7736,11.7183,12.8448,2.7025,11.6795,11.6141,71.0797,70.2313,70.6182,0.1692,0.0744,0.0,0.0,99.7565,19.7007
es_Benchmark,38.3,15.37,32.4,,,,,,,,,,,,,,
es_XX_en_XX_baseline,38.4252,14.7611,31.4139,31.4158,36.4931,14.0558,30.0128,30.0143,79.3214,77.1136,78.1382,99.7636,0.1877,0.0165,0.0061,0.0261,24.2768
es_XX_en_XX_en,13.5473,3.9728,12.8445,12.856,13.4846,3.9666,12.7969,12.8089,62.1667,62.2803,62.0064,99.7055,0.191,0.0432,0.0476,0.0127,31.3103
es_XX_en_XX_multi,24.8477,7.4459,21.9552,21.9699,23.8856,7.1971,21.2652,21.2781,77.5855,71.6864,74.4337,99.7571,0.2205,0.0059,0.0003,0.0162,16.3448
es_XX_ru_RU_baseline,21.0419,6.1531,18.0109,18.0026,21.0394,6.1524,18.0097,18.002,76.4812,74.0105,75.1662,0.0,0.0,100.0,0.0,0.0,19.6103
es_XX_ru_RU_en,8.8572,4.6181,8.8522,8.8545,8.8572,4.6181,8.8522,8.8545,57.8495,54.8936,56.1286,86.9568,1.3727,11.2324,0.1353,0.3028,22.9586
es_XX_ru_RU_multi,14.5972,6.027,14.2033,14.2034,14.5969,6.0264,14.2028,14.2031,74.475,66.8741,70.3772,0.1256,0.2002,99.6735,0.0001,0.0006,12.0788
es_en_translated,36.3903,13.3873,29.7236,29.7185,34.5879,12.7671,28.4286,28.4196,78.7329,76.6652,77.6223,99.685,0.2752,0.0187,0.0049,0.0162,24.5874
es_ru_translated,16.1245,3.4797,13.873,13.8474,16.1205,3.4786,13.8712,13.8457,74.4561,72.3628,73.3423,0.0,0.0,100.0,0.0,0.0,20.0259
ru_Benchmark,32.91,11.83,27.69,,,,,,,,,,,,,,
ru_RU_en_XX_baseline,36.0242,13.1629,29.427,29.4369,34.192,12.5393,28.1011,28.1059,78.5533,76.5144,77.4582,99.6605,0.2775,0.0247,0.0198,0.0176,23.6002
ru_RU_en_XX_en,12.7172,3.8905,12.097,12.1042,12.6662,3.8857,12.0568,12.0658,61.3047,62.1279,61.5112,99.184,0.6199,0.1585,0.006,0.0316,32.7428
ru_RU_en_XX_multi,23.3165,6.7973,20.9354,20.9475,22.6835,6.6571,20.4759,20.484,76.7824,71.1591,73.7769,99.8491,0.056,0.0544,0.0002,0.0403,19.4014
ru_en_translated,34.4771,12.0525,28.4152,28.4199,32.6525,11.457,27.0617,27.0606,78.6423,76.13,77.3035,99.6673,0.2867,0.0221,0.0005,0.0234,21.9327
tr_Benchmark,33.68,12.74,27.62,,,,,,,,,,,,,,
tr_TR_en_XX_baseline,41.5345,18.1693,34.5302,34.5417,39.9485,17.5384,33.3877,33.4012,79.8214,77.999,78.8374,99.4486,0.2706,0.1143,0.1127,0.0538,25.1812
tr_TR_en_XX_en,10.6476,3.4192,10.2739,10.2834,10.6211,3.4192,10.2495,10.2632,57.0757,60.5857,58.6598,98.8877,0.855,0.2301,0.0,0.0272,34.3532
tr_TR_en_XX_multi,14.9561,4.2119,14.0096,14.0267,14.8184,4.2077,13.9205,13.9427,63.3792,62.0063,62.4899,99.8931,0.0819,0.0195,0.0009,0.0047,28.9817
tr_TR_tr_TR_baseline,30.3768,12.3571,26.3065,26.2906,30.2839,12.3082,26.234,26.2136,76.409,74.6503,75.4506,0.0281,0.2744,0.0,0.0,99.6975,21.1227
tr_TR_tr_TR_en,9.7848,4.4718,9.7539,9.7495,9.7848,4.4718,9.7539,9.7495,59.5834,58.4339,58.8917,8.7654,2.0846,0.1055,0.0,89.0445,22.5642
tr_TR_tr_TR_multi,11.5736,5.8489,11.5584,11.5644,11.5674,5.8489,11.5514,11.5587,64.9606,58.4328,61.3088,5.7974,3.3446,0.483,0.0066,90.3683,9.4553
tr_en_translated,36.0859,12.9694,29.5209,29.4705,34.5791,12.4572,28.4656,28.4357,77.9647,76.443,77.1364,99.9621,0.0378,0.0,0.0,0.0001,26.2913
tr_tr_translated,12.5058,2.69,11.2516,11.153,12.4255,2.6791,11.1678,11.0779,70.766,70.1341,70.4084,0.0398,0.0016,0.0,0.0,99.9586,20.3739
