,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len
en_XX_tr_TR_baseline,23.394,7.6462,20.2631,20.2115,23.3413,7.6318,20.2203,20.1641,73.7954,72.6867,73.1875,0.2959,0.0353,0.0097,0.0004,99.6587,22.5596
es_Benchmark,38.3,15.37,32.4,,,,,,,,,,,,,,
es_XX_en_XX_baseline,38.3612,14.5642,31.1387,31.147,36.4117,13.8364,29.727,29.7326,78.9613,77.2643,78.0397,99.8311,0.1494,0.0029,0.0046,0.0119,25.993
es_XX_en_XX_mono,4.502,0.6283,4.154,4.1155,4.1304,0.6135,3.823,3.7865,71.0793,70.9158,70.9598,0.9661,98.9846,0.0266,0.009,0.0137,24.7913
es_XX_en_XX_mono_10,33.8026,10.659,27.0733,27.072,32.1707,10.1879,25.9505,25.9473,77.0335,75.8527,76.3847,99.3821,0.5932,0.0066,0.0091,0.0091,27.9227
es_XX_en_XX_mono_100,34.7769,11.4584,27.9082,27.912,33.0613,10.942,26.7184,26.7176,77.4156,76.4022,76.8486,99.7476,0.2206,0.0132,0.0046,0.0139,27.5759
es_XX_en_XX_mono_1000,35.9548,12.2221,28.7937,28.7936,34.1945,11.6692,27.56,27.5596,77.8674,76.8443,77.2953,99.78,0.1988,0.0018,0.009,0.0104,28.2648
es_XX_en_XX_mono_10000,37.3566,13.5261,30.2467,30.252,35.5378,12.9089,28.9462,28.9517,78.6147,77.1295,77.8061,99.7706,0.2104,0.0081,0.0002,0.0107,26.9192
es_XX_en_XX_mono_All,39.5747,15.6349,32.4722,32.4619,37.6481,14.9002,31.0504,31.04,79.6741,77.6274,78.577,99.7844,0.1913,0.0129,0.0047,0.0068,24.4069
es_XX_ru_RU_baseline,20.9908,6.0872,17.7675,17.7547,20.9889,6.0865,17.7659,17.753,76.0531,74.2299,75.0714,0.0,0.0,100.0,0.0,0.0,21.4287
es_XX_ru_RU_mono,0.7598,0.1457,0.7318,0.7023,0.754,0.1453,0.7264,0.697,65.9545,65.7605,65.8218,0.051,99.6563,0.2652,0.0,0.0275,38.8629
es_XX_ru_RU_mono_10,16.6699,4.2024,14.1542,14.1334,16.6638,4.2006,14.1521,14.1318,74.0864,72.3414,73.1496,0.0,0.0,100.0,0.0,0.0,21.2004
es_XX_ru_RU_mono_100,17.9395,4.5473,15.0327,15.0266,17.937,4.5468,15.032,15.0259,74.1277,73.2939,73.6579,0.0,0.0,100.0,0.0,0.0,23.8963
es_XX_ru_RU_mono_1000,19.1508,5.0314,16.0166,16.0021,19.1467,5.0297,16.0147,16.0005,74.63,73.6852,74.1023,0.0,0.0,100.0,0.0,0.0,23.6212
es_XX_ru_RU_mono_10000,20.4919,5.9106,17.3437,17.3304,20.4875,5.9081,17.3411,17.3285,75.5793,74.1023,74.7771,0.0,0.0,100.0,0.0,0.0,22.1815
es_XX_ru_RU_mono_All,22.2694,6.9077,18.9758,18.9598,22.2673,6.9065,18.9744,18.9583,76.3851,74.7306,75.4912,0.0,0.0,100.0,0.0,0.0,21.8979
ru_Benchmark,32.91,11.83,27.69,,,,,,,,,,,,,,
ru_RU_en_XX_baseline,35.7939,12.9095,29.1545,29.1535,33.9866,12.3127,27.8401,27.8393,78.2855,76.6237,77.3822,99.7242,0.2418,0.011,0.0001,0.0229,24.9046
ru_RU_en_XX_mono,23.3495,6.5371,19.3708,19.381,22.0721,6.24,18.4422,18.4502,72.5245,71.429,71.8932,67.4768,0.6771,31.6989,0.0133,0.1338,18.9913
ru_RU_en_XX_mono_10,31.778,9.6456,25.4321,25.4405,30.2342,9.2112,24.342,24.3509,76.5917,75.4451,75.9585,99.8481,0.0997,0.0502,0.0,0.002,27.4785
ru_RU_en_XX_mono_100,32.9795,10.6305,26.611,26.6086,31.3416,10.1462,25.4533,25.4518,77.2183,75.8128,76.453,99.7646,0.1963,0.0299,0.0002,0.009,25.7601
ru_RU_en_XX_mono_1000,33.7515,11.1071,27.1461,27.1446,32.0212,10.6066,25.9491,25.9507,77.3534,76.2164,76.7227,99.7251,0.2113,0.0262,0.0035,0.0339,26.6052
ru_RU_en_XX_mono_10000,35.3275,12.3807,28.6536,28.6541,33.5958,11.8448,27.4054,27.4093,78.1371,76.5614,77.2826,99.6857,0.2656,0.0302,0.0013,0.0172,25.3955
ru_RU_en_XX_mono_All,36.8969,13.6019,30.0876,30.0891,34.936,12.9672,28.6715,28.6713,78.6239,76.9892,77.7381,99.7676,0.198,0.0081,0.0012,0.0251,24.9394
tr_Benchmark,33.68,12.74,27.62,,,,,,,,,,,,,,
tr_TR_en_XX_baseline,41.1351,17.3151,33.9593,33.9643,39.5631,16.8037,32.9254,32.9297,79.7403,77.9818,78.7936,99.6258,0.2502,0.1181,0.0009,0.0049,25.6479
tr_TR_en_XX_mono,19.1494,5.9273,16.2737,16.2087,18.2221,5.6807,15.5753,15.5256,70.0932,68.7622,69.3504,53.0571,1.7827,0.6322,0.0165,44.5116,17.5573
tr_TR_en_XX_mono_10,34.8108,11.9245,27.5962,27.5673,33.453,11.5614,26.771,26.7575,76.3439,76.2193,76.2288,99.8388,0.1488,0.0097,0.0004,0.0023,30.5642
tr_TR_en_XX_mono_100,37.2415,13.2374,29.8368,29.8388,35.7432,12.7334,28.8737,28.8594,77.7879,76.9402,77.3066,99.6657,0.0878,0.1788,0.0099,0.0577,27.8234
