,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len
en_XX_tr_TR_baseline,23.394,7.6462,20.2631,20.2115,23.3413,7.6318,20.2203,20.1641,73.7954,72.6867,73.1875,0.2959,0.0353,0.0097,0.0004,99.6587,22.5596
es_Benchmark,38.3,15.37,32.4,,,,,,,,,,,,,,
es_XX_en_XX_baseline,38.3612,14.5642,31.1387,31.147,36.4117,13.8364,29.727,29.7326,78.9613,77.2643,78.0397,99.8311,0.1494,0.0029,0.0046,0.0119,25.993
es_XX_en_XX_mono,33.7389,10.856,27.1476,27.1493,32.1201,10.3972,26.0057,26.0054,77.4528,75.7763,76.5473,99.7473,0.2406,0.0078,0.0001,0.0042,26.443
es_XX_en_XX_mono_10,33.9938,10.7468,26.9641,26.9674,32.3225,10.2671,25.8298,25.8291,77.1408,76.1463,76.5844,99.7824,0.2025,0.012,0.0006,0.0025,29.5004
es_XX_en_XX_mono_100,34.3935,11.2654,27.5643,27.5671,32.7722,10.7848,26.4221,26.4243,77.4925,76.2505,76.8077,99.7294,0.2157,0.0281,0.0105,0.0164,26.9865
es_XX_en_XX_mono_1000,35.2262,11.8898,28.2693,28.2654,33.5421,11.3606,27.0848,27.0802,77.8174,76.5474,77.1176,99.8176,0.1704,0.0024,0.0059,0.0037,26.9437
es_XX_en_XX_mono_10000,36.4548,13.0004,29.5009,29.5006,34.6735,12.401,28.217,28.2158,78.5261,76.7919,77.5889,99.7554,0.2099,0.0114,0.005,0.0183,25.6681
es_XX_en_XX_mono_All,38.228,14.7779,31.543,31.5409,36.3142,14.0684,30.1346,30.1311,79.7766,76.9891,78.2971,99.7188,0.2449,0.0166,0.0047,0.015,22.4938
es_XX_ru_RU_baseline,20.9908,6.0872,17.7675,17.7547,20.9889,6.0865,17.7659,17.753,76.0531,74.2299,75.0714,0.0,0.0,100.0,0.0,0.0,21.4287
es_XX_ru_RU_mono,17.3702,4.2643,14.3798,14.3574,17.3682,4.2636,14.3788,14.3565,73.6542,72.848,73.1944,0.0,0.0,100.0,0.0,0.0,24.8047
es_XX_ru_RU_mono_10,16.0752,3.8454,13.3791,13.3652,16.0733,3.8449,13.3779,13.3632,72.6921,72.627,72.6068,0.0,0.0,100.0,0.0,0.0,26.0155
es_XX_ru_RU_mono_100,17.8048,4.3592,14.8501,14.8363,17.8034,4.3591,14.8496,14.8354,74.1609,73.2414,73.648,0.0,0.0,100.0,0.0,0.0,23.5113
es_XX_ru_RU_mono_1000,18.5704,4.8239,15.6503,15.6396,18.5681,4.8234,15.6496,15.6386,74.679,73.4062,73.9824,0.0,0.0,100.0,0.0,0.0,22.3482
es_XX_ru_RU_mono_10000,19.6351,5.4551,16.6244,16.6168,19.6334,5.4541,16.6237,16.615,75.4964,73.7072,74.5361,0.0,0.0,100.0,0.0,0.0,21.0425
es_XX_ru_RU_mono_All,20.9811,6.1717,17.9177,17.9088,20.9784,6.1707,17.9159,17.9073,76.3438,74.0655,75.1287,0.0,0.0,100.0,0.0,0.0,19.8512
ru_Benchmark,32.91,11.83,27.69,,,,,,,,,,,,,,
ru_RU_en_XX_baseline,35.7939,12.9095,29.1545,29.1535,33.9866,12.3127,27.8401,27.8393,78.2855,76.6237,77.3822,99.7242,0.2418,0.011,0.0001,0.0229,24.9046
ru_RU_en_XX_mono,31.5716,10.0249,25.5005,25.5046,30.0257,9.5839,24.4112,24.4137,76.9119,75.1978,75.9829,99.7371,0.2277,0.0169,0.0013,0.0171,24.6285
ru_RU_en_XX_mono_10,31.8374,9.6522,25.1873,25.1941,30.3034,9.2348,24.1491,24.1577,76.3361,75.716,75.966,99.9068,0.0816,0.0009,0.0,0.0107,29.4033
ru_RU_en_XX_mono_100,32.6461,10.4249,26.22,26.2172,31.0744,9.958,25.1189,25.1145,77.0915,75.7371,76.3491,99.7406,0.199,0.0239,0.0005,0.0359,25.6005
ru_RU_en_XX_mono_1000,33.3834,10.8635,26.7811,26.7808,31.7392,10.3954,25.6182,25.6147,77.321,76.0318,76.6131,99.7841,0.1673,0.0201,0.0137,0.0149,25.877
ru_RU_en_XX_mono_10000,34.4398,11.9071,27.9036,27.9115,32.7416,11.3991,26.662,26.6704,77.9092,76.2004,76.9855,99.7695,0.1898,0.0142,0.0002,0.0262,24.5163
ru_RU_en_XX_mono_All,35.6673,12.7701,29.0167,29.0141,33.7602,12.1427,27.6155,27.616,78.3503,76.5743,77.3919,99.6613,0.2818,0.0254,0.0105,0.021,24.3876
tr_Benchmark,33.68,12.74,27.62,,,,,,,,,,,,,,
tr_TR_en_XX_baseline,41.1351,17.3151,33.9593,33.9643,39.5631,16.8037,32.9254,32.9297,79.7403,77.9818,78.7936,99.6258,0.2502,0.1181,0.0009,0.0049,25.6479
tr_TR_en_XX_mono,33.1934,11.3121,27.1042,27.1003,31.8563,10.9288,26.1979,26.1976,77.291,75.1663,76.1522,99.6851,0.3127,0.0001,0.0,0.0021,23.5688
tr_TR_en_XX_mono_10,34.198,11.5298,27.6306,27.6187,32.8114,11.134,26.6963,26.6779,76.7965,76.1373,76.4098,99.7426,0.2447,0.0097,0.0004,0.0026,27.3578
tr_TR_en_XX_mono_100,35.9593,13.0704,29.0922,29.0604,34.6463,12.6721,28.2695,28.227,77.7636,76.6502,77.146,99.664,0.2077,0.0107,0.1118,0.0058,26.5917
