,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len
en_XX_tr_TR_baseline,23.394,7.6462,20.2631,20.2115,23.3413,7.6318,20.2203,20.1641,73.7954,72.6867,73.1875,0.2959,0.0353,0.0097,0.0004,99.6587,22.5596
es_Benchmark,38.3,15.37,32.4,,,,,,,,,,,,,,
es_XX_en_XX_baseline,38.3612,14.5642,31.1387,31.147,36.4117,13.8364,29.727,29.7326,78.9613,77.2643,78.0397,99.8311,0.1494,0.0029,0.0046,0.0119,25.993
es_XX_en_XX_mono,32.957,10.3549,26.4851,26.4923,31.3373,9.895,25.3721,25.3751,77.2445,75.5452,76.3285,99.5388,0.4193,0.0133,0.0051,0.0236,26.0582
es_XX_en_XX_mono_10,33.1813,10.2055,26.2782,26.2784,31.5707,9.7535,25.1783,25.1765,76.9691,75.9362,76.394,99.7724,0.2092,0.0106,0.0045,0.0033,29.5021
es_XX_en_XX_mono_100,33.8254,10.8662,26.9137,26.912,32.2334,10.4051,25.8139,25.81,77.041,76.1533,76.5347,99.772,0.2111,0.004,0.0046,0.0082,27.8567
es_XX_en_XX_mono_1000,34.8755,11.609,27.941,27.9407,33.1755,11.0965,26.754,26.7542,77.8046,76.3772,77.0247,99.7527,0.2178,0.0082,0.0047,0.0167,26.3976
es_XX_en_XX_mono_10000,36.0879,12.7387,29.169,29.173,34.3398,12.1593,27.908,27.9114,78.3936,76.628,77.4396,99.7727,0.1945,0.0098,0.0047,0.0182,25.5482
es_XX_ru_RU_baseline,20.9908,6.0872,17.7675,17.7547,20.9889,6.0865,17.7659,17.753,76.0531,74.2299,75.0714,0.0,0.0,100.0,0.0,0.0,21.4287
es_XX_ru_RU_mono,16.9231,4.1256,14.051,14.0399,16.9213,4.1251,14.0496,14.0385,73.5674,72.7459,73.1006,0.0,0.0,100.0,0.0,0.0,25.0041
es_XX_ru_RU_mono_10,15.072,3.5158,12.6039,12.5821,15.0698,3.5148,12.6029,12.5812,72.6,72.2427,72.3689,0.0,0.0,100.0,0.0,0.0,24.4105
es_XX_ru_RU_mono_100,17.2452,4.2143,14.4632,14.4561,17.2438,4.2139,14.4621,14.4552,74.1109,73.0416,73.5213,0.0,0.0,100.0,0.0,0.0,22.91
es_XX_ru_RU_mono_1000,18.1633,4.5895,15.1652,15.1565,18.1617,4.5891,15.1639,15.1552,74.5218,73.2781,73.8411,0.0,0.0,100.0,0.0,0.0,22.5602
es_XX_ru_RU_mono_10000,19.3854,5.3452,16.3868,16.3796,19.3825,5.3439,16.3843,16.3777,75.3415,73.5964,74.4021,0.0,0.0,100.0,0.0,0.0,21.1684
ru_Benchmark,32.91,11.83,27.69,,,,,,,,,,,,,,
ru_RU_en_XX_baseline,35.7939,12.9095,29.1545,29.1535,33.9866,12.3127,27.8401,27.8393,78.2855,76.6237,77.3822,99.7242,0.2418,0.011,0.0001,0.0229,24.9046
ru_RU_en_XX_mono,31.0106,9.5335,24.8455,24.8503,29.4735,9.1022,23.7554,23.7633,76.4852,75.1807,75.7661,99.6856,0.2823,0.0052,0.0002,0.0267,25.9784
ru_RU_en_XX_mono_10,31.0681,9.1738,24.6926,24.7038,29.5504,8.7327,23.6399,23.6505,76.1046,75.4147,75.6991,99.8781,0.1156,0.0017,0.0001,0.0045,28.8671
ru_RU_en_XX_mono_100,32.0355,10.1021,25.7528,25.7508,30.4705,9.6446,24.6633,24.6615,77.0306,75.493,76.1948,99.7637,0.1892,0.0351,0.0005,0.0116,24.9545
ru_RU_en_XX_mono_1000,32.7539,10.5182,26.2164,26.2316,31.1425,10.0545,25.0936,25.108,77.1635,75.829,76.4314,99.7527,0.1895,0.024,0.0035,0.0302,25.4792
ru_RU_en_XX_mono_10000,33.9443,11.66,27.4676,27.4834,32.2837,11.1564,26.2799,26.2913,77.8101,76.0247,76.8474,99.6894,0.2588,0.0275,0.0004,0.0238,24.1492
tr_Benchmark,33.68,12.74,27.62,,,,,,,,,,,,,,
tr_TR_en_XX_baseline,41.1351,17.3151,33.9593,33.9643,39.5631,16.8037,32.9254,32.9297,79.7403,77.9818,78.7936,99.6258,0.2502,0.1181,0.0009,0.0049,25.6479
tr_TR_en_XX_mono,32.3406,10.8168,26.3471,26.3527,31.0122,10.4564,25.4233,25.4214,76.8913,75.1018,75.9225,99.6515,0.2361,0.0008,0.1113,0.0003,24.7317
tr_TR_en_XX_mono_10,33.4261,11.2652,26.6686,26.6709,32.2116,10.886,25.886,25.893,76.3661,75.8666,76.0569,99.904,0.0836,0.0097,0.0004,0.0023,27.7213
tr_TR_en_XX_mono_100,35.6033,12.6186,28.6181,28.6021,34.3106,12.2585,27.7789,27.7698,77.3975,76.6253,76.9489,99.8185,0.0107,0.0411,0.1118,0.0179,28.1938
tr_TR_en_XX_mono_1000,37.1881,14.6771,30.4923,30.5112,35.8242,14.1929,29.4945,29.5128,78.4052,77.0423,77.6573,99.5862,0.172,0.1251,0.1119,0.0048,25.992
tr_TR_tr_TR_baseline,29.9756,11.8443,25.7618,25.7821,29.9086,11.817,25.7034,25.7285,75.9805,75.1649,75.5045,0.0292,0.1942,0.0,0.0,99.7765,23.1422
