,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len
en_XX_tr_TR_baseline,23.394,7.6462,20.2631,20.2115,23.3413,7.6318,20.2203,20.1641,73.7954,72.6867,73.1875,0.2959,0.0353,0.0097,0.0004,99.6587,22.5596
en_XX_tr_TR_mono,2.7585,0.4643,2.5649,2.5094,2.6733,0.4551,2.4786,2.4242,60.3552,61.6282,60.9435,100.0,0.0,0.0,0.0,0.0,65.3567
en_XX_tr_TR_mono_10,3.8643,0.8641,3.7073,3.6204,3.7612,0.86,3.5958,3.5162,66.2687,60.8031,63.3597,97.0711,1.5143,1.09,0.0092,0.3155,16.9656
en_XX_tr_TR_mono_100,16.5392,3.4751,14.1977,14.1695,16.4758,3.4568,14.1455,14.122,71.8285,69.2896,70.4881,0.0578,0.115,0.0,0.0,99.8272,19.0229
en_XX_tr_TR_mono_1000,21.2359,6.0324,18.4265,18.3462,21.1737,6.0287,18.3715,18.2874,73.9007,71.2975,72.5237,0.0638,0.1612,0.0,0.0,99.775,19.2569
en_XX_tr_TR_mono_All,24.4765,8.4638,21.385,21.3006,24.4104,8.4379,21.3156,21.2295,74.6716,72.8128,73.6809,0.0999,0.0001,0.0,0.0,99.9,20.8429
es_Benchmark,38.3,15.37,32.4,,,,,,,,,,,,,,
es_XX_en_XX_baseline,38.3612,14.5642,31.1387,31.147,36.4117,13.8364,29.727,29.7326,78.9613,77.2643,78.0397,99.8311,0.1494,0.0029,0.0046,0.0119,25.993
es_XX_en_XX_mono,2.3022,0.1358,2.1159,2.0868,2.0738,0.1335,1.9158,1.8866,65.4214,70.5797,67.8641,0.0093,99.9907,0.0,0.0,0.0,62.4041
es_XX_en_XX_mono_10,33.1822,10.0084,26.3525,26.351,31.5037,9.5502,25.2129,25.2124,76.9239,75.5785,76.1917,99.6636,0.3246,0.0094,0.0002,0.0021,27.7768
es_XX_en_XX_mono_100,34.0063,10.7308,27.1021,27.097,32.2971,10.2417,25.925,25.9162,77.3299,76.0726,76.6395,99.6571,0.307,0.0049,0.0047,0.0263,27.3097
es_XX_en_XX_mono_1000,35.0574,11.5576,27.9989,27.9959,33.2875,11.0077,26.7626,26.7626,77.8377,76.4324,77.0706,99.7122,0.2318,0.0307,0.0076,0.0177,26.7512
es_XX_en_XX_mono_10000,36.9207,13.1976,29.8146,29.8093,35.1069,12.5979,28.5112,28.505,78.6569,76.8179,77.6663,99.7714,0.198,0.0118,0.0002,0.0186,25.7577
es_XX_en_XX_mono_All,39.3895,15.3313,32.0913,32.0983,37.443,14.6225,30.6788,30.6854,79.3858,77.5919,78.4159,99.7746,0.1952,0.0138,0.0047,0.0117,25.4072
es_XX_ru_RU_baseline,20.9908,6.0872,17.7675,17.7547,20.9889,6.0865,17.7659,17.753,76.0531,74.2299,75.0714,0.0,0.0,100.0,0.0,0.0,21.4287
es_XX_ru_RU_mono,0.5774,0.1071,0.5466,0.5173,0.5738,0.1069,0.544,0.5145,63.798,65.6309,64.6726,0.0,100.0,0.0,0.0,0.0,64.7118
es_XX_ru_RU_mono_10,12.2308,2.5513,10.3325,10.3045,12.2271,2.5511,10.3304,10.3022,72.0224,69.6435,70.7576,0.0464,7.3584,92.5835,0.0,0.0117,19.9473
es_XX_ru_RU_mono_100,16.9608,3.9821,14.1464,14.1283,16.9579,3.9807,14.1458,14.1276,74.2994,72.8854,73.5373,0.0,0.0,100.0,0.0,0.0,22.1823
es_XX_ru_RU_mono_1000,18.4172,4.6882,15.5084,15.4863,18.4131,4.6876,15.5051,15.4829,74.8475,73.3086,74.0171,0.0,0.0,100.0,0.0,0.0,21.7396
es_XX_ru_RU_mono_10000,20.0766,5.6517,17.0418,17.036,20.0726,5.6512,17.0397,17.0333,75.8664,73.8238,74.7752,0.0,0.0,100.0,0.0,0.0,20.6577
es_XX_ru_RU_mono_All,22.2637,6.747,18.8098,18.7979,22.2632,6.7464,18.8093,18.7972,76.1032,74.7447,75.3597,0.0,0.0,100.0,0.0,0.0,22.6598
ru_Benchmark,32.91,11.83,27.69,,,,,,,,,,,,,,
ru_RU_en_XX_baseline,35.7939,12.9095,29.1545,29.1535,33.9866,12.3127,27.8401,27.8393,78.2855,76.6237,77.3822,99.7242,0.2418,0.011,0.0001,0.0229,24.9046
ru_RU_en_XX_mono,0.7298,0.1399,0.691,0.6622,0.7116,0.1385,0.6743,0.6448,60.7371,66.3301,63.3803,0.0,0.0,100.0,0.0,0.0,46.4958
ru_RU_en_XX_mono_10,30.4109,8.9519,24.8034,24.804,28.8188,8.5385,23.6667,23.6685,77.5749,74.6198,76.014,99.5937,0.3606,0.0118,0.0001,0.0338,21.5292
ru_RU_en_XX_mono_100,32.1389,9.7799,25.8229,25.8244,30.4897,9.3051,24.6968,24.6951,77.4579,75.3773,76.347,99.6996,0.2568,0.0245,0.0014,0.0177,23.8219
ru_RU_en_XX_mono_1000,33.0432,10.4529,26.4595,26.4673,31.3161,9.9658,25.2653,25.2673,77.3998,75.8625,76.5643,99.7336,0.1951,0.0511,0.0005,0.0197,25.6012
ru_RU_en_XX_mono_10000,34.8099,11.9937,28.2247,28.2217,33.0597,11.4585,26.9713,26.9646,78.1905,76.203,77.1236,99.6851,0.2571,0.0219,0.0109,0.025,23.9432
ru_RU_en_XX_mono_All,36.1615,13.2974,29.709,29.7107,34.2807,12.6797,28.3259,28.3253,78.7141,76.5878,77.5741,99.6079,0.3165,0.046,0.0004,0.0292,23.3
tr_Benchmark,33.68,12.74,27.62,,,,,,,,,,,,,,
tr_TR_en_XX_baseline,41.1351,17.3151,33.9593,33.9643,39.5631,16.8037,32.9254,32.9297,79.7403,77.9818,78.7936,99.6258,0.2502,0.1181,0.0009,0.0049,25.6479
tr_TR_en_XX_mono,2.8636,0.4841,2.6671,2.611,2.7215,0.4817,2.5363,2.4812,58.4933,64.054,61.1084,0.0,0.0,0.0,0.0,100.0,40.6468
tr_TR_en_XX_mono_10,34.0995,11.3372,27.2768,27.2751,32.662,10.9335,26.342,26.3611,76.8834,75.5654,76.1642,99.3812,0.389,0.1124,0.0014,0.116,25.7087
tr_TR_en_XX_mono_100,36.1087,12.6687,29.2438,29.2058,34.7348,12.208,28.3343,28.3095,77.9246,76.3614,77.0778,99.6242,0.0741,0.2064,0.0038,0.0915,25.203
tr_TR_en_XX_mono_1000,38.116,14.9133,31.1936,31.1846,36.5545,14.315,30.1441,30.1289,78.8918,77.1265,77.9408,99.4531,0.0859,0.311,0.1152,0.0348,25.3154
tr_TR_en_XX_mono_All,40.3416,16.7743,32.918,32.9188,38.6031,16.1683,31.8223,31.8137,78.8355,77.9905,78.3534,99.7699,0.1157,0.0008,0.1113,0.0023,28.1147
tr_TR_tr_TR_baseline,29.9756,11.8443,25.7618,25.7821,29.9086,11.817,25.7034,25.7285,75.9805,75.1649,75.5045,0.0292,0.1942,0.0,0.0,99.7765,23.1422
tr_TR_tr_TR_mono,22.243,6.9056,19.084,19.1099,22.1477,6.8773,19.0092,19.0261,73.072,72.5491,72.7328,0.2223,0.0444,0.0,0.0,99.7333,21.6938
tr_TR_tr_TR_mono_10,26.0989,8.5852,22.2323,22.2318,25.9703,8.5505,22.157,22.1516,75.2637,73.6525,74.3754,0.1342,0.1101,0.0,0.0,99.7557,20.8383
tr_TR_tr_TR_mono_100,27.6185,9.6145,23.6074,23.6294,27.5311,9.591,23.5306,23.5512,75.5511,74.232,74.8185,0.0279,0.1955,0.0,0.0,99.7765,21.8693
tr_TR_tr_TR_mono_1000,29.6054,11.3768,25.6056,25.6344,29.5062,11.3311,25.5113,25.5478,76.3326,74.6319,75.3983,0.1451,0.0519,0.0,0.0,99.803,20.9713
tr_TR_tr_TR_mono_All,30.3077,12.0508,26.1861,26.1643,30.1901,12.0212,26.0667,26.0375,75.8936,75.1879,75.4677,0.0468,0.0429,0.0,0.0,99.9103,23.4817
