,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len
en_XX_tr_TR_baseline,23.394,7.6462,20.2631,20.2115,23.3413,7.6318,20.2203,20.1641,73.7954,72.6867,73.1875,0.2959,0.0353,0.0097,0.0004,99.6587,22.5596
en_XX_tr_TR_mono,2.6713,0.4282,2.4483,2.3984,2.5633,0.4212,2.3534,2.3021,60.3517,61.4857,60.8728,100.0,0.0,0.0,0.0,0.0,66.3704
es_Benchmark,38.3,15.37,32.4,,,,,,,,,,,,,,
es_XX_en_XX_baseline,38.3612,14.5642,31.1387,31.147,36.4117,13.8364,29.727,29.7326,78.9613,77.2643,78.0397,99.8311,0.1494,0.0029,0.0046,0.0119,25.993
es_XX_en_XX_mono,2.2913,0.1257,2.0913,2.0665,2.0687,0.1233,1.8974,1.8722,65.2949,70.3662,67.6989,0.0092,99.9862,0.0046,0.0,0.0,64.5329
es_XX_en_XX_mono_10,31.259,8.9597,24.6716,24.6746,29.6777,8.5346,23.6014,23.6039,76.4787,74.6267,75.4832,99.6804,0.2962,0.0053,0.0001,0.018,24.6971
es_XX_ru_RU_baseline,20.9908,6.0872,17.7675,17.7547,20.9889,6.0865,17.7659,17.753,76.0531,74.2299,75.0714,0.0,0.0,100.0,0.0,0.0,21.4287
es_XX_ru_RU_mono,0.5523,0.1008,0.5224,0.496,0.5476,0.1008,0.519,0.492,63.8227,65.4941,64.6208,0.0,100.0,0.0,0.0,0.0,65.2015
ru_Benchmark,32.91,11.83,27.69,,,,,,,,,,,,,,
ru_RU_en_XX_baseline,35.7939,12.9095,29.1545,29.1535,33.9866,12.3127,27.8401,27.8393,78.2855,76.6237,77.3822,99.7242,0.2418,0.011,0.0001,0.0229,24.9046
ru_RU_en_XX_mono,0.693,0.1292,0.6529,0.6244,0.68,0.1282,0.6424,0.6131,60.5336,66.0809,63.1556,0.01,0.0,99.9799,0.0,0.01,46.773
tr_Benchmark,33.68,12.74,27.62,,,,,,,,,,,,,,
tr_TR_en_XX_baseline,41.1351,17.3151,33.9593,33.9643,39.5631,16.8037,32.9254,32.9297,79.7403,77.9818,78.7936,99.6258,0.2502,0.1181,0.0009,0.0049,25.6479
tr_TR_en_XX_mono,2.6399,0.3695,2.4544,2.4196,2.5149,0.3695,2.3424,2.3046,58.342,63.7551,60.8921,0.0,0.0,0.0,0.0,100.0,42.9897
tr_TR_tr_TR_baseline,29.9756,11.8443,25.7618,25.7821,29.9086,11.817,25.7034,25.7285,75.9805,75.1649,75.5045,0.0292,0.1942,0.0,0.0,99.7765,23.1422
tr_TR_tr_TR_mono,20.8262,6.1649,17.6617,17.6962,20.6972,6.1501,17.582,17.6159,72.7666,71.8615,72.23,0.1203,0.0002,0.0,0.0,99.8795,20.367
