,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len
en_XX_tr_TR_baseline,23.394,7.6462,20.2631,20.2115,23.3413,7.6318,20.2203,20.1641,73.7954,72.6867,73.1875,0.2959,0.0353,0.0097,0.0004,99.6587,22.5596
en_XX_tr_TR_mono,2.7083,0.4782,2.504,2.4523,2.5998,0.4691,2.4109,2.3602,60.2013,61.661,60.8797,100.0,0.0,0.0,0.0,0.0,64.6571
en_XX_tr_TR_mono_10,3.7556,0.7666,3.5741,3.4961,3.638,0.7594,3.4484,3.3702,62.9025,60.7001,61.6595,96.8236,1.8116,0.6103,0.0108,0.7438,31.6216
en_XX_tr_TR_mono_100,15.5249,3.2231,13.3532,13.3316,15.4458,3.2107,13.2822,13.2702,70.971,68.9631,69.9075,0.1878,0.0766,0.0001,0.0,99.7354,20.5608
en_XX_tr_TR_mono_1000,21.2557,6.141,18.4208,18.3775,21.181,6.1202,18.3602,18.3132,73.7648,71.2349,72.4283,0.0949,0.1319,0.0,0.0,99.7732,19.3337
en_XX_tr_TR_mono_All,24.8067,8.6284,21.6595,21.6212,24.6985,8.616,21.5932,21.5499,74.6603,72.934,73.7345,0.0002,0.0126,0.0,0.0,99.9872,20.7649
es_Benchmark,38.3,15.37,32.4,,,,,,,,,,,,,,
es_XX_en_XX_baseline,38.3612,14.5642,31.1387,31.147,36.4117,13.8364,29.727,29.7326,78.9613,77.2643,78.0397,99.8311,0.1494,0.0029,0.0046,0.0119,25.993
es_XX_en_XX_mono,2.2117,0.1287,2.027,2.0025,1.9963,0.1264,1.8391,1.8141,65.1527,70.4794,67.6703,0.0092,99.9862,0.0,0.0,0.0046,63.0301
es_XX_en_XX_mono_10,33.2877,10.4824,26.6486,26.6513,31.6627,10.0374,25.5338,25.5399,77.036,75.5841,76.2456,99.4396,0.5196,0.0154,0.0048,0.0206,27.333
es_XX_en_XX_mono_100,34.0467,11.0092,27.307,27.2983,32.3463,10.5201,26.1425,26.1307,77.3541,76.1297,76.6776,99.676,0.2933,0.0127,0.0047,0.0133,26.7298
es_XX_en_XX_mono_1000,35.2854,11.844,28.2333,28.2268,33.5119,11.3004,26.9899,26.9837,77.7179,76.5763,77.0833,99.7301,0.2308,0.0185,0.0136,0.0069,27.5839
es_XX_en_XX_mono_10000,37.165,13.4126,29.9989,29.9938,35.37,12.8002,28.7153,28.7105,78.5672,77.0072,77.7193,99.7622,0.2137,0.0086,0.0017,0.0138,26.615
es_XX_en_XX_mono_All,39.2762,15.2103,31.9766,31.9775,37.3357,14.4864,30.5741,30.5761,79.1553,77.617,78.317,99.7997,0.1735,0.0091,0.0048,0.0129,26.2878
es_XX_ru_RU_baseline,20.9908,6.0872,17.7675,17.7547,20.9889,6.0865,17.7659,17.753,76.0531,74.2299,75.0714,0.0,0.0,100.0,0.0,0.0,21.4287
