,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len
en_XX_tr_TR_baseline,23.394,7.6462,20.2631,20.2115,23.3413,7.6318,20.2203,20.1641,73.7954,72.6867,73.1875,0.2959,0.0353,0.0097,0.0004,99.6587,22.5596
en_XX_tr_TR_mono,2.8175,0.4758,2.6113,2.5509,2.703,0.4653,2.5186,2.4582,60.017,61.6481,60.778,100.0,0.0,0.0,0.0,0.0,63.117
en_XX_tr_TR_mono_10,3.9708,0.8222,3.7556,3.6726,3.8348,0.8162,3.6101,3.5223,65.2079,61.6555,63.3391,83.8843,5.8467,0.1186,0.116,10.0343,20.9381
en_XX_tr_TR_mono_100,15.3501,3.2891,13.3608,13.3084,15.2646,3.2633,13.2989,13.2446,71.3872,69.1761,70.2204,0.3071,0.1,0.0001,0.0,99.5928,19.5011
en_XX_tr_TR_mono_1000,21.8458,6.2919,19.0656,19.0045,21.7717,6.2835,18.9774,18.9237,73.9126,71.41,72.5916,0.1803,0.0624,0.0097,0.0004,99.7472,19.8658
en_XX_tr_TR_mono_All,24.9659,8.2919,21.4054,21.3411,24.8712,8.2712,21.347,21.2853,74.4011,73.1106,73.6992,0.003,0.092,0.0,0.0,99.905,22.6135
es_Benchmark,38.3,15.37,32.4,,,,,,,,,,,,,,
es_XX_en_XX_baseline,38.3612,14.5642,31.1387,31.147,36.4117,13.8364,29.727,29.7326,78.9613,77.2643,78.0397,99.8311,0.1494,0.0029,0.0046,0.0119,25.993
es_XX_en_XX_mono,2.4628,0.1536,2.2764,2.2467,2.2111,0.1513,2.0537,2.0233,67.0632,71.0463,68.9653,0.0093,99.9863,0.0,0.0045,0.0,45.7831
es_XX_en_XX_mono_10,33.5277,10.5498,26.736,26.7429,31.9422,10.0992,25.6552,25.6607,76.5953,75.832,76.1575,98.9411,1.0262,0.0056,0.0092,0.0179,29.4524
es_XX_en_XX_mono_100,34.4233,11.248,27.6091,27.6047,32.7165,10.7421,26.425,26.4203,77.2957,76.2833,76.7281,99.4471,0.5096,0.021,0.0093,0.013,27.7298
es_XX_en_XX_mono_1000,35.6656,12.036,28.5469,28.5404,33.8739,11.4875,27.2729,27.2709,77.7283,76.7566,77.1812,99.6919,0.2757,0.014,0.0066,0.0117,28.3415
es_XX_en_XX_mono_10000,37.6162,13.6644,30.3898,30.388,35.7833,13.0472,29.0953,29.0985,78.5649,77.2008,77.8179,99.7523,0.2059,0.0119,0.0062,0.0237,27.3985
es_XX_en_XX_mono_All,39.853,15.5905,32.3852,32.3869,37.8796,14.8642,30.9711,30.9785,79.1791,77.8422,78.4423,99.8043,0.1579,0.0162,0.0048,0.0169,27.2818
es_XX_ru_RU_baseline,20.9908,6.0872,17.7675,17.7547,20.9889,6.0865,17.7659,17.753,76.0531,74.2299,75.0714,0.0,0.0,100.0,0.0,0.0,21.4287
es_XX_ru_RU_mono,0.6154,0.1194,0.5875,0.5562,0.6117,0.1188,0.5836,0.5523,64.891,65.9945,65.4115,0.0111,99.9889,0.0,0.0,0.0,51.6176
es_XX_ru_RU_mono_10,16.7278,4.1911,14.1072,14.0909,16.7255,4.191,14.1055,14.0894,73.7228,72.5344,73.0712,0.0,0.0,100.0,0.0,0.0,23.1604
es_XX_ru_RU_mono_100,17.8411,4.4877,14.9719,14.9488,17.8396,4.4871,14.971,14.9477,74.0759,73.2771,73.6249,0.0,0.0,100.0,0.0,0.0,24.0995
es_XX_ru_RU_mono_1000,19.0853,4.9835,15.9793,15.9567,19.0826,4.9825,15.9767,15.9553,74.6852,73.6857,74.1291,0.0,0.0,100.0,0.0,0.0,23.5701
es_XX_ru_RU_mono_10000,20.6251,5.98,17.4939,17.4819,20.6227,5.9783,17.4921,17.4796,75.683,74.1181,74.8363,0.0,0.0,100.0,0.0,0.0,22.0022
es_XX_ru_RU_mono_All,22.4726,6.9959,19.1886,19.176,22.4688,6.9938,19.1855,19.174,76.6681,74.6631,75.5928,0.0,0.0,100.0,0.0,0.0,21.0339
ru_Benchmark,32.91,11.83,27.69,,,,,,,,,,,,,,
ru_RU_en_XX_baseline,35.7939,12.9095,29.1545,29.1535,33.9866,12.3127,27.8401,27.8393,78.2855,76.6237,77.3822,99.7242,0.2418,0.011,0.0001,0.0229,24.9046
ru_RU_en_XX_mono,0.7766,0.1464,0.7453,0.7195,0.7629,0.145,0.7348,0.7082,62.0265,67.0658,64.4203,0.01,0.0,99.99,0.0,0.0,35.5595
ru_RU_en_XX_mono_10,31.3113,9.7928,25.4935,25.4951,29.754,9.3672,24.4078,24.4082,77.3412,74.9667,76.0786,98.8837,0.2668,0.8275,0.0004,0.0216,23.5016
ru_RU_en_XX_mono_100,32.7851,10.4097,26.3423,26.3303,31.1125,9.9367,25.1847,25.1734,77.1939,75.8151,76.4409,99.6717,0.1787,0.1332,0.0007,0.0157,26.1618
ru_RU_en_XX_mono_1000,33.6588,10.9816,26.9807,26.9761,31.9221,10.4549,25.7852,25.7789,77.3184,76.2274,76.7122,99.7324,0.2079,0.0332,0.0003,0.0262,26.934
ru_RU_en_XX_mono_10000,35.4596,12.5435,28.8164,28.8173,33.6907,12.0154,27.5687,27.5732,78.1849,76.541,77.2955,99.7559,0.2179,0.0111,0.0012,0.0138,25.1222
ru_RU_en_XX_mono_All,36.7606,13.5694,29.9209,29.9212,34.8576,12.9384,28.5562,28.5517,78.3989,76.9795,77.622,99.7135,0.2458,0.0074,0.0101,0.0232,25.7227
tr_Benchmark,33.68,12.74,27.62,,,,,,,,,,,,,,
tr_TR_en_XX_baseline,41.1351,17.3151,33.9593,33.9643,39.5631,16.8037,32.9254,32.9297,79.7403,77.9818,78.7936,99.6258,0.2502,0.1181,0.0009,0.0049,25.6479
tr_TR_en_XX_mono,0.3052,0.0533,0.2955,0.3006,0.2856,0.0533,0.2761,0.2816,48.6561,58.6784,53.1194,0.0,0.0,0.0,0.0,100.0,63.0745
tr_TR_en_XX_mono_10,34.694,12.0401,28.1532,28.1252,33.283,11.6852,27.2204,27.1774,76.8598,75.9959,76.3698,98.8113,0.0896,0.0,0.0,1.0991,27.0745
tr_TR_en_XX_mono_100,36.1807,12.9674,29.2668,29.2703,34.7463,12.5652,28.3071,28.2922,77.6861,76.6826,77.1217,99.2388,0.1584,0.1125,0.1136,0.3766,27.2099
tr_TR_en_XX_mono_1000,39.1166,15.6372,31.9649,31.9649,37.5914,15.1784,30.9469,30.9564,78.9108,77.461,78.123,99.6165,0.255,0.1235,0.0012,0.0039,26.4427
tr_TR_en_XX_mono_All,40.8183,17.2393,33.5425,33.514,39.3114,16.8173,32.5594,32.5461,78.9927,78.0961,78.4831,99.4818,0.2637,0.1242,0.1123,0.0179,27.828
tr_TR_tr_TR_baseline,29.9756,11.8443,25.7618,25.7821,29.9086,11.817,25.7034,25.7285,75.9805,75.1649,75.5045,0.0292,0.1942,0.0,0.0,99.7765,23.1422
tr_TR_tr_TR_mono,3.3642,0.438,3.0976,3.1061,3.3399,0.438,3.076,3.0848,57.1907,63.7315,60.2054,0.0,0.0,0.0,0.0,100.0,57.2821
tr_TR_tr_TR_mono_10,24.3419,7.8003,20.7867,20.7399,24.206,7.7698,20.6503,20.6149,74.1522,73.4159,73.7165,0.1433,0.1998,0.0,0.0,99.6569,22.633
tr_TR_tr_TR_mono_100,27.0514,9.22,22.9731,22.9583,26.9152,9.2032,22.8615,22.8595,75.2077,74.4066,74.7416,0.0236,0.0904,0.0,0.0,99.8859,23.0803
tr_TR_tr_TR_mono_1000,29.5788,11.2676,25.6417,25.6373,29.5129,11.2612,25.5776,25.5692,76.5411,74.7947,75.5872,0.1218,0.0995,0.0,0.0,99.7786,21.2099
tr_TR_tr_TR_mono_All,31.8997,13.2909,27.7055,27.7125,31.7674,13.263,27.5913,27.5979,76.8666,75.3262,76.02,0.0973,0.1314,0.0,0.0,99.7713,21.7638
