,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len
en_XX_tr_TR_baseline,23.394,7.6462,20.2631,20.2115,23.3413,7.6318,20.2203,20.1641,73.7954,72.6867,73.1875,0.2959,0.0353,0.0097,0.0004,99.6587,22.5596
en_XX_tr_TR_mono,2.74,0.4673,2.5371,2.4882,2.6191,0.4563,2.4299,2.3793,59.9039,61.54,60.6691,100.0,0.0,0.0,0.0,0.0,63.344
en_XX_tr_TR_mono_10,4.0373,0.791,3.7809,3.6973,3.8914,0.7763,3.6433,3.5584,64.1931,61.6808,62.8762,96.4097,1.8092,1.7301,0.0005,0.0505,25.1296
en_XX_tr_TR_mono_100,13.1682,2.4537,11.6797,11.613,13.0621,2.4354,11.5724,11.5063,69.4338,66.5246,67.8969,5.9896,0.7366,3.0104,0.0014,90.262,18.4037
en_XX_tr_TR_mono_1000,20.8578,5.8319,18.2772,18.1793,20.7875,5.8119,18.1915,18.0811,73.5147,70.5982,71.9786,0.2731,0.0348,0.0097,0.0004,99.6819,18.7695
en_XX_tr_TR_mono_All,25.8173,9.2034,22.3784,22.3176,25.7169,9.1963,22.3284,22.2697,74.9683,73.2739,74.0581,0.0548,0.055,0.0,0.0,99.8903,21.0803
es_Benchmark,38.3,15.37,32.4,,,,,,,,,,,,,,
es_XX_en_XX_baseline,38.3612,14.5642,31.1387,31.147,36.4117,13.8364,29.727,29.7326,78.9613,77.2643,78.0397,99.8311,0.1494,0.0029,0.0046,0.0119,25.993
es_XX_en_XX_mono,2.502,0.1507,2.3068,2.2774,2.2483,0.1482,2.0804,2.0502,67.2062,71.0414,69.0389,0.013,99.987,0.0,0.0,0.0,45.1133
es_XX_en_XX_mono_10,32.7907,10.0746,26.1727,26.1766,31.2791,9.6469,25.134,25.1397,76.3224,75.5263,75.8675,98.6682,1.312,0.0093,0.0001,0.0105,29.5918
es_XX_en_XX_mono_100,33.8412,10.9057,27.1428,27.1483,32.2229,10.4288,26.0122,26.0167,77.05,76.0455,76.4855,99.1323,0.8405,0.0146,0.0001,0.0124,27.672
es_XX_en_XX_mono_1000,35.5271,12.0034,28.4947,28.4959,33.8083,11.4744,27.2889,27.2891,77.8223,76.6357,77.1663,99.5724,0.3817,0.0301,0.0046,0.0112,27.849
es_XX_en_XX_mono_10000,37.5014,13.69,30.3278,30.3212,35.7114,13.0702,29.0268,29.0203,78.6469,77.1036,77.8082,99.7399,0.2326,0.007,0.0015,0.019,26.9925
es_XX_en_XX_mono_All,39.752,15.5555,32.2982,32.2925,37.8193,14.8274,30.8955,30.8896,79.1927,77.8074,78.4329,99.7431,0.2257,0.0042,0.0046,0.0223,27.3067
es_XX_ru_RU_baseline,20.9908,6.0872,17.7675,17.7547,20.9889,6.0865,17.7659,17.753,76.0531,74.2299,75.0714,0.0,0.0,100.0,0.0,0.0,21.4287
es_XX_ru_RU_mono,0.6409,0.1233,0.6115,0.5784,0.6374,0.1231,0.6081,0.5753,65.1599,66.0418,65.5716,0.0,100.0,0.0,0.0,0.0,49.8284
es_XX_ru_RU_mono_10,15.7873,3.898,13.3934,13.375,15.7863,3.8974,13.3929,13.3737,73.5033,72.0781,72.7314,0.0,0.0,100.0,0.0,0.0,22.5396
es_XX_ru_RU_mono_100,17.516,4.3387,14.662,14.6438,17.5146,4.3384,14.6603,14.6422,73.9343,72.9223,73.3754,0.0,0.0,100.0,0.0,0.0,23.8198
es_XX_ru_RU_mono_1000,19.0516,5.0771,16.0481,16.0209,19.05,5.0762,16.0468,16.019,74.8129,73.5004,74.0982,0.0,0.0,100.0,0.0,0.0,22.9325
es_XX_ru_RU_mono_10000,20.6905,5.9835,17.5144,17.5044,20.6866,5.9817,17.5126,17.502,75.812,74.0028,74.8409,0.0,0.0,100.0,0.0,0.0,21.6362
es_XX_ru_RU_mono_All,22.7115,7.129,19.3428,19.3221,22.7087,7.1279,19.3414,19.3207,76.5791,74.8149,75.6269,0.0,0.0,100.0,0.0,0.0,21.5394
ru_Benchmark,32.91,11.83,27.69,,,,,,,,,,,,,,
ru_RU_en_XX_baseline,35.7939,12.9095,29.1545,29.1535,33.9866,12.3127,27.8401,27.8393,78.2855,76.6237,77.3822,99.7242,0.2418,0.011,0.0001,0.0229,24.9046
ru_RU_en_XX_mono,0.7599,0.149,0.7261,0.7008,0.7476,0.148,0.7168,0.6906,61.9586,66.9954,64.3511,0.01,0.0,99.99,0.0,0.0,36.2313
ru_RU_en_XX_mono_10,30.5225,9.3159,24.8077,24.8142,29.0756,8.9201,23.7887,23.797,76.3958,74.3987,75.3277,87.7294,0.2072,12.0333,0.0002,0.0298,23.9576
ru_RU_en_XX_mono_100,32.2996,10.1208,25.9326,25.9285,30.7018,9.6684,24.8293,24.8227,76.5582,75.3025,75.8672,91.8182,0.1586,8.0049,0.0004,0.0178,25.749
ru_RU_en_XX_mono_1000,33.358,10.9229,26.8693,26.8677,31.6828,10.4234,25.7077,25.7066,77.0556,75.9078,76.419,96.0264,0.1693,3.7745,0.0003,0.0295,26.4411
ru_RU_en_XX_mono_10000,35.1348,12.3928,28.5352,28.5322,33.397,11.8425,27.2924,27.2882,78.0163,76.3146,77.0953,98.3844,0.2091,1.3733,0.0104,0.0228,24.9526
ru_RU_en_XX_mono_All,36.7224,13.5733,30.0232,30.0213,34.8266,12.9641,28.6791,28.6756,78.4466,76.914,77.6112,99.3092,0.2595,0.4003,0.0004,0.0307,25.7167
tr_Benchmark,33.68,12.74,27.62,,,,,,,,,,,,,,
tr_TR_en_XX_baseline,41.1351,17.3151,33.9593,33.9643,39.5631,16.8037,32.9254,32.9297,79.7403,77.9818,78.7936,99.6258,0.2502,0.1181,0.0009,0.0049,25.6479
