,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len
en_XX_tr_TR_supervised,23.7596,8.0929,20.725,20.6656,23.6907,8.0685,20.6777,20.6149,74.2092,72.3162,73.1987,0.0,0.0001,0.0,0.0,99.9999,20.2179
en_XX_tr_TR_mono,2.7081,0.4564,2.5075,2.4516,2.6166,0.4444,2.419,2.3624,60.3069,61.6611,60.9375,100.0,0.0,0.0,0.0,0.0,65.3291
en_XX_tr_TR_mono_10,3.3424,0.6117,3.0918,3.0273,3.2472,0.5951,3.0004,2.9356,60.5968,61.3315,60.9037,99.5725,0.3254,0.0415,0.0023,0.0583,54.6135
en_XX_tr_TR_mono_100,16.3738,3.5825,14.2445,14.2507,16.2834,3.5563,14.1833,14.1834,71.6337,69.0789,70.2881,0.0241,0.1024,0.0,0.0,99.8734,18.6995
en_XX_tr_TR_mono_1000,21.2587,5.9398,18.3564,18.3268,21.1796,5.9122,18.2678,18.2411,73.7197,71.2447,72.4105,0.1159,0.0089,0.0,0.0,99.8752,19.5539
en_XX_tr_TR_mono_adv_kldivloss,2.8031,0.489,2.5976,2.5346,2.6924,0.4761,2.4973,2.4346,60.2819,61.7105,60.9442,99.1972,0.0,0.8028,0.0,0.0,64.9507
en_XX_tr_TR_mono_adv_kldivloss_new,2.6861,0.4693,2.4937,2.4331,2.5672,0.4552,2.3893,2.3261,60.5221,61.72,61.0749,99.1972,0.0,0.8028,0.0,0.0,67.0023
en_XX_tr_TR_mono_adv_kldivloss_tuned,2.837,0.469,2.5875,2.5332,2.7333,0.4582,2.4947,2.4397,60.2089,61.7364,60.9205,97.5917,1.8349,0.5734,0.0,0.0,65.3681
en_XX_tr_TR_mono_adv_kldivloss_tuned_new,2.7243,0.4644,2.5092,2.4554,2.6183,0.456,2.4229,2.3667,60.3895,61.7813,61.0353,97.133,2.2936,0.5734,0.0,0.0,67.3979
en_XX_tr_TR_mono_adv_nll,2.7565,0.493,2.5297,2.476,2.6651,0.4848,2.4567,2.402,60.207,61.6765,60.8918,97.8211,0.2294,1.9495,0.0,0.0,65.4289
en_XX_tr_TR_mono_adv_nll_200000,2.8063,0.4928,2.6081,2.555,2.6956,0.4789,2.524,2.4694,60.3297,61.6929,60.9617,98.5092,0.6881,0.8028,0.0,0.0,64.2294
en_XX_tr_TR_mono_adv_nll_50000,2.7054,0.4689,2.5005,2.4305,2.607,0.454,2.4106,2.3393,60.3755,61.868,61.0714,89.5642,9.7477,0.6881,0.0,0.0,65.805
en_XX_tr_TR_mono_adv_nll_tuned,2.7633,0.473,2.568,2.5085,2.6605,0.4613,2.4762,2.4188,60.2808,61.728,60.9543,99.656,0.1147,0.2294,0.0,0.0,65.172
en_XX_tr_TR_mono_adv_nll_tuned_50000,2.8236,0.489,2.6345,2.5787,2.7166,0.4791,2.5303,2.4738,60.3484,61.6728,60.964,99.8853,0.0,0.1147,0.0,0.0,66.0688
en_XX_tr_TR_mono_en,2.7457,0.451,2.5424,2.4873,2.627,0.4446,2.4274,2.3746,60.4174,61.7344,61.0283,100.0,0.0,0.0,0.0,0.0,65.2867
en_XX_tr_TR_mono_en_10,3.6198,0.6549,3.375,3.333,3.478,0.6441,3.2463,3.2008,61.8301,61.5107,61.5981,99.8696,0.1135,0.0124,0.0,0.0045,46.664
en_XX_tr_TR_mono_en_100,15.5835,3.3283,13.7378,13.7037,15.5013,3.2871,13.6639,13.6329,71.4379,68.7338,70.0113,0.2927,0.0017,0.0,0.0,99.7055,18.0034
en_XX_tr_TR_mono_en_1000,21.2448,6.0276,18.4434,18.409,21.1681,6.0117,18.3715,18.3504,73.6414,71.2712,72.3892,0.1416,0.3223,0.0097,0.0004,99.526,19.5998
en_tr_translated,12.9562,2.7169,11.7736,11.7183,12.8448,2.7025,11.6795,11.6141,71.0797,70.2313,70.6182,0.1692,0.0744,0.0,0.0,99.7565,19.7007
en_tr_translated_nllb,20.8585,5.5345,18.6685,18.5781,20.7154,5.4872,18.544,18.4615,73.931,72.3829,73.0993,0.129,0.1165,0.0,0.0,99.7546,19.6812
es_Benchmark,38.3,15.37,32.4,,,,,,,,,,,,,,
es_XX_en_XX_supervised,38.4252,14.7611,31.4139,31.4158,36.4931,14.0558,30.0128,30.0143,79.3214,77.1136,78.1382,99.7636,0.1877,0.0165,0.0061,0.0261,24.2768
es_XX_en_XX_mono,2.3661,0.1316,2.1699,2.1428,2.1407,0.129,1.9773,1.9493,65.3407,70.5798,67.8197,0.0092,99.9908,0.0,0.0,0.0,63.9447
es_XX_en_XX_mono_10,33.6222,10.5366,26.859,26.8573,32.0285,10.0909,25.7705,25.7692,77.0271,75.7587,76.3328,99.3466,0.615,0.0099,0.009,0.0195,27.537
es_XX_en_XX_mono_100,34.2853,11.0195,27.4478,27.4419,32.5898,10.5231,26.2645,26.2632,77.3517,76.1829,76.7058,99.6595,0.2898,0.017,0.0092,0.0245,26.9676
es_XX_en_XX_mono_1000,35.4348,11.8365,28.3328,28.3359,33.6922,11.306,27.1122,27.1161,77.7646,76.6173,77.1287,99.742,0.2216,0.0148,0.005,0.0166,27.6941
es_XX_en_XX_mono_10000,37.3946,13.6008,30.2367,30.2332,35.5778,12.9695,28.9324,28.9303,78.6487,77.0678,77.7901,99.7304,0.2304,0.0019,0.0163,0.021,26.7722
es_XX_en_XX_mono_adv_kldivloss,33.7385,10.8034,27.0689,27.0723,32.1115,10.3366,25.9638,25.965,77.0336,75.8759,76.3945,99.4365,0.5424,0.0028,0.0046,0.0137,27.0831
es_XX_en_XX_mono_adv_kldivloss_new,33.7515,10.8067,27.0681,27.0724,32.1249,10.3437,25.9691,25.9698,77.0466,75.882,76.4041,99.4944,0.4849,0.0028,0.0046,0.0133,27.1019
es_XX_en_XX_mono_adv_kldivloss_tuned,34.0981,10.9606,27.2147,27.2191,32.4991,10.491,26.1233,26.1295,76.8443,76.0179,76.3737,99.3614,0.6303,0.0016,0.0045,0.0021,28.9018
es_XX_en_XX_mono_adv_kldivloss_tuned_new,34.0975,10.9601,27.2139,27.2187,32.4981,10.4901,26.1232,26.1289,76.8445,76.0181,76.3738,99.3626,0.6292,0.0016,0.0045,0.0021,28.9016
es_XX_en_XX_mono_adv_nll,33.4053,10.5042,26.6905,26.6943,31.8059,10.0457,25.6039,25.604,76.5892,75.8071,76.1413,98.4628,1.5111,0.0062,0.0045,0.0154,28.5659
es_XX_en_XX_mono_adv_nll_200000,32.6132,10.1958,25.9583,25.9616,31.0749,9.781,24.9167,24.9182,76.0358,75.7826,75.8515,96.0977,3.8661,0.0169,0.0047,0.0146,30.2075
es_XX_en_XX_mono_adv_nll_50000,33.2641,10.4192,26.5303,26.5313,31.6769,9.965,25.4585,25.4561,76.4424,75.72,76.023,98.6434,1.3327,0.0106,0.0046,0.0087,29.0522
es_XX_en_XX_mono_adv_nll_tuned,26.8841,8.0164,21.4894,21.4825,25.5129,7.6442,20.5452,20.5364,74.0179,74.6811,74.2815,78.8793,21.1114,0.0028,0.0002,0.0063,34.7576
es_XX_en_XX_mono_adv_nll_tuned_50000,29.4191,8.8928,23.5437,23.5374,27.9824,8.5105,22.5545,22.5474,75.0207,75.0079,74.9519,86.4747,13.4918,0.0154,0.0045,0.0135,32.0744
es_XX_en_XX_mono_en,21.3153,5.6953,18.0106,17.9972,20.1753,5.4649,17.165,17.1515,73.8554,71.9483,72.8352,57.3911,42.5655,0.0192,0.0004,0.0238,19.6661
es_XX_en_XX_mono_en_10,32.9486,10.2139,26.1197,26.1155,31.3427,9.7788,25.0316,25.028,76.5201,75.7408,76.0736,99.5562,0.4314,0.0053,0.0001,0.007,28.6336
es_XX_en_XX_mono_en_100,33.9098,10.8967,26.9225,26.9246,32.2474,10.4133,25.7753,25.7758,76.8383,76.2203,76.4691,99.7144,0.27,0.0066,0.0001,0.0088,28.8564
es_XX_en_XX_mono_en_1000,35.0308,11.7011,27.942,27.9366,33.2987,11.1678,26.7567,26.7509,77.4928,76.5809,76.9748,99.8138,0.171,0.0017,0.0045,0.0089,28.1282
es_XX_en_XX_mono_en_10000,36.9236,13.3277,29.7581,29.7581,35.1269,12.7317,28.4763,28.4786,78.4027,76.9619,77.6147,99.7887,0.1945,0.0083,0.0002,0.0083,26.9384
es_XX_ru_RU_supervised,21.0419,6.1531,18.0109,18.0026,21.0394,6.1524,18.0097,18.002,76.4812,74.0105,75.1662,0.0,0.0,100.0,0.0,0.0,19.6103
es_XX_ru_RU_mono,0.5768,0.1075,0.551,0.5217,0.5731,0.1072,0.5471,0.518,63.7634,65.5629,64.6218,0.0,100.0,0.0,0.0,0.0,65.0659
es_XX_ru_RU_mono_10,16.0314,3.9291,13.6938,13.667,16.0285,3.9291,13.6915,13.6659,74.0544,72.016,72.9678,0.0,0.0114,99.9886,0.0,0.0,20.3745
es_XX_ru_RU_mono_100,17.9797,4.4733,15.0307,15.0102,17.9776,4.4729,15.0295,15.0082,74.2247,73.2843,73.7012,0.0,0.0,100.0,0.0,0.0,23.745
es_XX_ru_RU_mono_1000,19.0633,4.9748,15.9648,15.9358,19.061,4.9739,15.9632,15.9346,74.6658,73.658,74.105,0.0,0.0,100.0,0.0,0.0,23.3832
es_XX_ru_RU_mono_10000,20.5273,5.9,17.3906,17.377,20.5249,5.8995,17.39,17.3756,75.6572,74.0972,74.8124,0.0,0.0,100.0,0.0,0.0,21.9628
es_XX_ru_RU_mono_adv_kldivloss,17.2684,4.3024,14.4995,14.4903,17.2654,4.3014,14.4978,14.4886,73.5618,72.7238,73.0867,0.0,0.0114,99.9886,0.0,0.0,23.7603
es_XX_ru_RU_mono_adv_kldivloss_new,17.1463,4.2183,14.3814,14.375,17.1385,4.215,14.3775,14.3712,73.5614,72.7247,73.0872,0.0,0.0,100.0,0.0,0.0,23.886
es_XX_ru_RU_mono_adv_kldivloss_tuned,17.3269,4.2649,14.282,14.2667,17.3217,4.2634,14.2803,14.2648,72.8451,72.9058,72.8234,0.0114,0.0458,99.9428,0.0,0.0,27.7864
