,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len
en_XX_tr_TR_supervised,23.7596,8.0929,20.725,20.6656,23.6907,8.0685,20.6777,20.6149,74.2092,72.3162,73.1987,0.0,0.0001,0.0,0.0,99.9999,20.2179
en_tr_translated,12.9562,2.7169,11.7736,11.7183,12.8448,2.7025,11.6795,11.6141,71.0797,70.2313,70.6182,0.1692,0.0744,0.0,0.0,99.7565,19.7007
es_Benchmark,38.3,15.37,32.4,,,,,,,,,,,,,,
es_XX_en_XX_supervised,38.4252,14.7611,31.4139,31.4158,36.4931,14.0558,30.0128,30.0143,79.3214,77.1136,78.1382,99.7636,0.1877,0.0165,0.0061,0.0261,24.2768
es_XX_en_XX_mono,33.2617,10.2741,26.5266,26.5288,31.5998,9.7896,25.3791,25.3844,77.0587,75.603,76.2667,99.7232,0.2227,0.0377,0.0003,0.0161,25.6841
es_XX_ru_RU_supervised,21.0419,6.1531,18.0109,18.0026,21.0394,6.1524,18.0097,18.002,76.4812,74.0105,75.1662,0.0,0.0,100.0,0.0,0.0,19.6103
es_XX_ru_RU_mono,17.2065,4.0256,14.295,14.2738,17.2028,4.0243,14.2931,14.2721,73.887,72.756,73.2638,0.0,0.0,100.0,0.0,0.0,23.3731
es_en_translated,36.3903,13.3873,29.7236,29.7185,34.5879,12.7671,28.4286,28.4196,78.7329,76.6652,77.6223,99.685,0.2752,0.0187,0.0049,0.0162,24.5874
es_ru_translated,16.1245,3.4797,13.873,13.8474,16.1205,3.4786,13.8712,13.8457,74.4561,72.3628,73.3423,0.0,0.0,100.0,0.0,0.0,20.0259
ru_Benchmark,32.91,11.83,27.69,,,,,,,,,,,,,,
ru_RU_en_XX_supervised,36.0242,13.1629,29.427,29.4369,34.192,12.5393,28.1011,28.1059,78.5533,76.5144,77.4582,99.6605,0.2775,0.0247,0.0198,0.0176,23.6002
ru_RU_en_XX_mono,30.5094,9.0615,24.3944,24.4043,28.9326,8.6239,23.3149,23.3251,76.515,74.7101,75.5404,99.5371,0.3038,0.1131,0.0015,0.0446,23.0236
ru_en_translated,34.4771,12.0525,28.4152,28.4199,32.6525,11.457,27.0617,27.0606,78.6423,76.13,77.3035,99.6673,0.2867,0.0221,0.0005,0.0234,21.9327
tr_Benchmark,33.68,12.74,27.62,,,,,,,,,,,,,,
tr_TR_en_XX_supervised,41.5345,18.1693,34.5302,34.5417,39.9485,17.5384,33.3877,33.4012,79.8214,77.999,78.8374,99.4486,0.2706,0.1143,0.1127,0.0538,25.1812
tr_TR_en_XX_mono,30.9671,9.4943,24.6815,24.6624,29.5013,9.1107,23.7361,23.7056,75.6438,73.9855,74.7334,99.6738,0.1972,0.0097,0.0004,0.1189,24.5183
tr_TR_tr_TR_supervised,30.3768,12.3571,26.3065,26.2906,30.2839,12.3082,26.234,26.2136,76.409,74.6503,75.4506,0.0281,0.2744,0.0,0.0,99.6975,21.1227
tr_en_translated,36.0859,12.9694,29.5209,29.4705,34.5791,12.4572,28.4656,28.4357,77.9647,76.443,77.1364,99.9621,0.0378,0.0,0.0,0.0001,26.2913
tr_tr_translated,12.5058,2.69,11.2516,11.153,12.4255,2.6791,11.1678,11.0779,70.766,70.1341,70.4084,0.0398,0.0016,0.0,0.0,99.9586,20.3739
