,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len
en_XX_tr_TR_baseline,23.7596,8.0929,20.725,20.6656,23.6907,8.0685,20.6777,20.6149,74.2092,72.3162,73.1987,0.0,0.0001,0.0,0.0,99.9999,20.2179
en_XX_tr_TR_mono,2.8271,0.4625,2.5799,2.51,2.7274,0.452,2.4937,2.4232,60.4874,61.3991,60.8993,100.0,0.0,0.0,0.0,0.0,66.8108
en_XX_tr_TR_mono_adv_kldivloss,2.7446,0.4619,2.5307,2.4728,2.6403,0.4533,2.4379,2.3788,60.2507,61.2953,60.7271,99.8802,0.0,0.1198,0.0,0.0,66.6193
en_XX_tr_TR_mono_en,2.7807,0.4644,2.5463,2.4702,2.6926,0.4565,2.4699,2.3931,60.4552,61.4345,60.9019,100.0,0.0,0.0,0.0,0.0,67.18
en_tr_translated,12.9562,2.7169,11.7736,11.7183,12.8448,2.7025,11.6795,11.6141,71.0797,70.2313,70.6182,0.1692,0.0744,0.0,0.0,99.7565,19.7007
es_Benchmark,38.3,15.37,32.4,,,,,,,,,,,,,,
es_XX_en_XX_baseline,38.4252,14.7611,31.4139,31.4158,36.4931,14.0558,30.0128,30.0143,79.3214,77.1136,78.1382,99.7636,0.1877,0.0165,0.0061,0.0261,24.2768
es_XX_en_XX_mono,2.4503,0.1331,2.2343,2.2062,2.2137,0.1305,2.0285,2.0002,65.4151,70.3245,67.7464,0.0138,99.9862,0.0,0.0,0.0,64.1246
es_XX_en_XX_mono_adv_kldivloss,2.3746,0.125,2.1722,2.1475,2.1479,0.1224,1.9771,1.9523,65.2108,70.243,67.5984,0.0184,99.9586,0.0184,0.0046,0.0,63.8966
es_XX_en_XX_mono_en,3.3352,0.2037,3.0491,3.0277,2.9648,0.1946,2.7293,2.7069,67.1462,70.5562,68.7582,0.0747,99.9253,0.0,0.0,0.0,49.2869
es_XX_ru_RU_baseline,21.0419,6.1531,18.0109,18.0026,21.0394,6.1524,18.0097,18.002,76.4812,74.0105,75.1662,0.0,0.0,100.0,0.0,0.0,19.6103
