,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len
en_XX_tr_TR_baseline,23.7596,8.0929,20.725,20.6656,23.6907,8.0685,20.6777,20.6149,74.2092,72.3162,73.1987,0.0,0.0001,0.0,0.0,99.9999,20.2179
en_XX_tr_TR_mono,2.7327,0.4542,2.5149,2.4566,2.6277,0.4478,2.4217,2.3618,60.235,61.6214,60.8788,100.0,0.0,0.0,0.0,0.0,65.9197
en_XX_tr_TR_mono_adv_kldivloss,2.6739,0.457,2.4799,2.4002,2.5718,0.4359,2.3952,2.3158,60.069,61.5385,60.7523,95.0688,0.2294,4.7018,0.0,0.0,65.039
en_tr_translated,12.9562,2.7169,11.7736,11.7183,12.8448,2.7025,11.6795,11.6141,71.0797,70.2313,70.6182,0.1692,0.0744,0.0,0.0,99.7565,19.7007
es_Benchmark,38.3,15.37,32.4,,,,,,,,,,,,,,
es_XX_en_XX_baseline,38.4252,14.7611,31.4139,31.4158,36.4931,14.0558,30.0128,30.0143,79.3214,77.1136,78.1382,99.7636,0.1877,0.0165,0.0061,0.0261,24.2768
es_XX_en_XX_mono,2.3561,0.1319,2.1583,2.1311,2.127,0.1294,1.96,1.9324,65.185,70.6106,67.7496,0.0092,99.9908,0.0,0.0,0.0,64.1285
es_XX_en_XX_mono_adv_kldivloss,32.4551,9.9855,25.9192,25.9196,30.9037,9.5531,24.8613,24.8594,76.424,75.5296,75.9174,96.394,3.5688,0.0114,0.0135,0.0123,28.6059
es_XX_ru_RU_baseline,21.0419,6.1531,18.0109,18.0026,21.0394,6.1524,18.0097,18.002,76.4812,74.0105,75.1662,0.0,0.0,100.0,0.0,0.0,19.6103
es_XX_ru_RU_mono,0.5841,0.1074,0.559,0.5279,0.5796,0.1061,0.5545,0.5235,63.7234,65.6714,64.6528,0.0,100.0,0.0,0.0,0.0,64.6724
es_XX_ru_RU_mono_adv_kldivloss,13.3733,3.1791,11.1684,11.1551,13.3678,3.1789,11.1652,11.1517,71.1175,71.056,71.037,0.0211,23.4232,76.5556,0.0,0.0,34.4106
es_en_translated,36.3903,13.3873,29.7236,29.7185,34.5879,12.7671,28.4286,28.4196,78.7329,76.6652,77.6223,99.685,0.2752,0.0187,0.0049,0.0162,24.5874
es_ru_translated,16.1245,3.4797,13.873,13.8474,16.1205,3.4786,13.8712,13.8457,74.4561,72.3628,73.3423,0.0,0.0,100.0,0.0,0.0,20.0259
ru_Benchmark,32.91,11.83,27.69,,,,,,,,,,,,,,
ru_RU_en_XX_baseline,36.0242,13.1629,29.427,29.4369,34.192,12.5393,28.1011,28.1059,78.5533,76.5144,77.4582,99.6605,0.2775,0.0247,0.0198,0.0176,23.6002
ru_RU_en_XX_mono,0.7252,0.1347,0.6852,0.659,0.7116,0.1338,0.671,0.6438,60.5514,66.3111,63.2688,0.0,0.0,100.0,0.0,0.0,47.3134
ru_RU_en_XX_mono_adv_kldivloss,32.0733,9.7898,25.4677,25.4555,30.5068,9.3664,24.3913,24.3811,76.3307,75.3716,75.7881,99.7046,0.2088,0.0736,0.01,0.003,28.2926
ru_en_translated,34.4771,12.0525,28.4152,28.4199,32.6525,11.457,27.0617,27.0606,78.6423,76.13,77.3035,99.6673,0.2867,0.0221,0.0005,0.0234,21.9327
tr_Benchmark,33.68,12.74,27.62,,,,,,,,,,,,,,
tr_TR_en_XX_baseline,41.5345,18.1693,34.5302,34.5417,39.9485,17.5384,33.3877,33.4012,79.8214,77.999,78.8374,99.4486,0.2706,0.1143,0.1127,0.0538,25.1812
tr_TR_en_XX_mono,2.9279,0.5084,2.7512,2.7114,2.7736,0.5084,2.6082,2.5642,58.6259,63.7802,61.0517,0.0,0.0,0.0,0.0,100.0,41.1456
tr_TR_en_XX_mono_adv_kldivloss,31.3351,10.0942,25.669,25.6415,30.118,9.7012,24.8001,24.7695,76.3556,74.5686,75.3836,99.0837,0.3614,0.0105,0.1117,0.4326,24.1399
tr_TR_tr_TR_baseline,30.3768,12.3571,26.3065,26.2906,30.2839,12.3082,26.234,26.2136,76.409,74.6503,75.4506,0.0281,0.2744,0.0,0.0,99.6975,21.1227
tr_TR_tr_TR_mono,21.7742,6.7231,18.5977,18.5774,21.5986,6.6798,18.4759,18.451,72.61,71.6093,72.0145,0.7493,0.2415,0.0097,0.0004,98.999,22.5195
tr_TR_tr_TR_mono_adv_kldivloss,3.8014,0.5839,3.459,3.4048,3.6846,0.5668,3.3616,3.305,60.34,61.7795,61.0033,88.1937,1.6149,9.289,0.0,0.9024,62.3968
tr_en_translated,36.0859,12.9694,29.5209,29.4705,34.5791,12.4572,28.4656,28.4357,77.9647,76.443,77.1364,99.9621,0.0378,0.0,0.0,0.0001,26.2913
tr_tr_translated,12.5058,2.69,11.2516,11.153,12.4255,2.6791,11.1678,11.0779,70.766,70.1341,70.4084,0.0398,0.0016,0.0,0.0,99.9586,20.3739
