,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len
en_XX_tr_TR_supervised,23.7596,8.0929,20.725,20.6656,23.6907,8.0685,20.6777,20.6149,74.2092,72.3162,73.1987,0.0,0.0001,0.0,0.0,99.9999,20.2179
en_XX_tr_TR_mono,2.7562,0.444,2.5367,2.4773,2.6565,0.4367,2.4484,2.3902,60.417,61.5822,60.9539,100.0,0.0,0.0,0.0,0.0,67.0413
en_XX_tr_TR_mono_adv_kldivloss,2.7342,0.4456,2.5292,2.4875,2.6435,0.4378,2.4313,2.386,60.3256,61.5425,60.8883,100.0,0.0,0.0,0.0,0.0,66.7122
en_XX_tr_TR_mono_en,2.718,0.4655,2.5041,2.4316,2.617,0.4561,2.4142,2.346,60.3404,61.6071,60.9278,100.0,0.0,0.0,0.0,0.0,67.0287
en_tr_translated,12.9562,2.7169,11.7736,11.7183,12.8448,2.7025,11.6795,11.6141,71.0797,70.2313,70.6182,0.1692,0.0744,0.0,0.0,99.7565,19.7007
es_Benchmark,38.3,15.37,32.4,,,,,,,,,,,,,,
es_XX_en_XX_supervised,38.4252,14.7611,31.4139,31.4158,36.4931,14.0558,30.0128,30.0143,79.3214,77.1136,78.1382,99.7636,0.1877,0.0165,0.0061,0.0261,24.2768
es_XX_en_XX_mono,2.4168,0.1316,2.2108,2.1835,2.1921,0.13,2.0185,1.9898,65.4848,70.6507,67.9331,0.0092,99.9908,0.0,0.0,0.0,64.8098
es_XX_en_XX_mono_adv_kldivloss,2.3181,0.1284,2.1321,2.108,2.0919,0.1257,1.9335,1.9087,65.589,70.6043,67.9665,0.0505,99.9265,0.023,0.0,0.0,64.254
es_XX_en_XX_mono_en,2.9194,0.1337,2.667,2.6475,2.5893,0.128,2.3774,2.3585,66.5829,70.7815,68.5802,0.0185,99.9815,0.0,0.0,0.0,50.6917
es_XX_ru_RU_supervised,21.0419,6.1531,18.0109,18.0026,21.0394,6.1524,18.0097,18.002,76.4812,74.0105,75.1662,0.0,0.0,100.0,0.0,0.0,19.6103
es_XX_ru_RU_mono,0.5763,0.1031,0.547,0.5173,0.5731,0.1031,0.5444,0.5147,63.9405,65.6805,64.7712,0.0,100.0,0.0,0.0,0.0,65.4042
es_XX_ru_RU_mono_adv_kldivloss,0.5605,0.0939,0.535,0.5102,0.5569,0.0935,0.5323,0.5077,63.8679,65.5481,64.6695,0.0343,99.897,0.0687,0.0,0.0,65.8763
es_XX_ru_RU_mono_en,0.54,0.0915,0.5058,0.4831,0.5357,0.0915,0.5025,0.4797,63.6291,65.4636,64.5064,0.0114,99.9886,0.0,0.0,0.0,62.4787
es_en_translated,36.3903,13.3873,29.7236,29.7185,34.5879,12.7671,28.4286,28.4196,78.7329,76.6652,77.6223,99.685,0.2752,0.0187,0.0049,0.0162,24.5874
es_ru_translated,16.1245,3.4797,13.873,13.8474,16.1205,3.4786,13.8712,13.8457,74.4561,72.3628,73.3423,0.0,0.0,100.0,0.0,0.0,20.0259
ru_Benchmark,32.91,11.83,27.69,,,,,,,,,,,,,,
ru_RU_en_XX_supervised,36.0242,13.1629,29.427,29.4369,34.192,12.5393,28.1011,28.1059,78.5533,76.5144,77.4582,99.6605,0.2775,0.0247,0.0198,0.0176,23.6002
ru_RU_en_XX_mono,0.7059,0.1335,0.6633,0.6341,0.695,0.1324,0.6536,0.6234,60.6829,66.2709,63.3233,0.0,0.0,100.0,0.0,0.0,47.3331
ru_RU_en_XX_mono_adv_kldivloss,0.6988,0.1287,0.6619,0.6314,0.6837,0.1277,0.6492,0.6178,60.7549,66.3192,63.384,0.036,0.0131,99.9506,0.0,0.0002,46.4883
ru_RU_en_XX_mono_en,0.6107,0.1198,0.5818,0.5591,0.6016,0.1192,0.5738,0.5501,60.7506,66.224,63.3388,0.01,0.0,99.99,0.0,0.0,43.9476
ru_en_translated,34.4771,12.0525,28.4152,28.4199,32.6525,11.457,27.0617,27.0606,78.6423,76.13,77.3035,99.6673,0.2867,0.0221,0.0005,0.0234,21.9327
tr_Benchmark,33.68,12.74,27.62,,,,,,,,,,,,,,
tr_TR_en_XX_supervised,41.5345,18.1693,34.5302,34.5417,39.9485,17.5384,33.3877,33.4012,79.8214,77.999,78.8374,99.4486,0.2706,0.1143,0.1127,0.0538,25.1812
tr_TR_en_XX_mono,2.5186,0.3959,2.3083,2.27,2.4196,0.3959,2.2207,2.1818,57.688,63.596,60.4576,0.0,0.0,0.0,0.0,100.0,44.3383
tr_TR_en_XX_mono_adv_kldivloss,23.6284,6.7758,19.0158,18.9921,22.6057,6.527,18.3763,18.3626,71.5866,71.1839,71.2863,74.8675,1.0624,9.787,0.0011,14.2819,22.8991
tr_TR_en_XX_mono_en,2.4498,0.3861,2.2875,2.2395,2.3151,0.3861,2.1723,2.1264,57.6586,63.4037,60.3542,0.0,0.0,0.0,0.0,100.0,41.4163
tr_TR_tr_TR_supervised,30.3768,12.3571,26.3065,26.2906,30.2839,12.3082,26.234,26.2136,76.409,74.6503,75.4506,0.0281,0.2744,0.0,0.0,99.6975,21.1227
tr_TR_tr_TR_mono,22.7592,6.8641,19.3597,19.3643,22.6454,6.8394,19.2963,19.3048,73.0199,73.0222,72.9519,0.0679,0.0023,0.0,0.0,99.9298,23.0998
