,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len
en_XX_tr_TR_baseline,23.7596,8.0929,20.725,20.6656,23.6907,8.0685,20.6777,20.6149,74.2092,72.3162,73.1987,0.0,0.0001,0.0,0.0,99.9999,20.2179
en_XX_tr_TR_mono,2.8012,0.494,2.5935,2.5213,2.7216,0.4791,2.5241,2.4483,60.0251,61.5404,60.7315,100.0,0.0,0.0,0.0,0.0,63.6606
en_XX_tr_TR_mono_adv_kldivloss,2.7294,0.485,2.524,2.4484,2.6234,0.4701,2.4207,2.3451,59.7888,61.5746,60.625,72.3089,0.2294,27.4617,0.0,0.0,59.1147
en_XX_tr_TR_mono_adv_kldivloss_tuned,2.7165,0.4591,2.5134,2.4555,2.6158,0.453,2.4266,2.37,59.9017,61.7301,60.7578,76.4908,16.6284,6.8807,0.0,0.0,61.4278
en_tr_translated,12.9562,2.7169,11.7736,11.7183,12.8448,2.7025,11.6795,11.6141,71.0797,70.2313,70.6182,0.1692,0.0744,0.0,0.0,99.7565,19.7007
es_Benchmark,38.3,15.37,32.4,,,,,,,,,,,,,,
es_XX_en_XX_baseline,38.4252,14.7611,31.4139,31.4158,36.4931,14.0558,30.0128,30.0143,79.3214,77.1136,78.1382,99.7636,0.1877,0.0165,0.0061,0.0261,24.2768
es_XX_en_XX_mono,2.6187,0.1523,2.4074,2.3763,2.3631,0.1498,2.182,2.1505,67.0032,71.08,68.9495,0.0119,99.9881,0.0,0.0,0.0,48.5559
es_XX_en_XX_mono_adv_kldivloss,33.0459,10.367,26.6028,26.6055,31.4551,9.9225,25.5151,25.5161,76.7419,75.5807,76.1018,98.3459,1.6272,0.0069,0.0046,0.0154,26.8967
es_XX_en_XX_mono_adv_kldivloss_tuned,33.2675,10.4476,26.7274,26.7288,31.7386,10.0087,25.6773,25.6759,76.6738,75.6479,76.1032,97.9754,1.9508,0.0297,0.0091,0.0349,27.0039
es_XX_ru_RU_baseline,21.0419,6.1531,18.0109,18.0026,21.0394,6.1524,18.0097,18.002,76.4812,74.0105,75.1662,0.0,0.0,100.0,0.0,0.0,19.6103
