,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len
en_XX_tr_TR_supervised,23.7596,8.0929,20.725,20.6656,23.6907,8.0685,20.6777,20.6149,74.2092,72.3162,73.1987,0.0,0.0001,0.0,0.0,99.9999,20.2179
en_XX_tr_TR_mono,2.7376,0.4673,2.5164,2.4566,2.6327,0.4562,2.4326,2.3728,60.2445,61.5999,60.8736,100.0,0.0,0.0,0.0,0.0,66.203
en_XX_tr_TR_mono_adv_kldivloss,2.5371,0.4164,2.3327,2.269,2.4623,0.4128,2.2679,2.2031,60.7542,62.2767,61.4696,46.5596,52.9817,0.4587,0.0,0.0,64.9289
en_XX_tr_TR_mono_adv_kldivloss_tuned,2.6905,0.4636,2.4965,2.4293,2.5976,0.4604,2.4127,2.3457,60.3517,61.7181,60.9867,89.6789,7.6835,2.6376,0.0,0.0,65.2271
en_tr_translated,12.9562,2.7169,11.7736,11.7183,12.8448,2.7025,11.6795,11.6141,71.0797,70.2313,70.6182,0.1692,0.0744,0.0,0.0,99.7565,19.7007
es_Benchmark,38.3,15.37,32.4,,,,,,,,,,,,,,
es_XX_en_XX_supervised,38.4252,14.7611,31.4139,31.4158,36.4931,14.0558,30.0128,30.0143,79.3214,77.1136,78.1382,99.7636,0.1877,0.0165,0.0061,0.0261,24.2768
es_XX_en_XX_mono,2.3343,0.1318,2.1362,2.1077,2.1071,0.1292,1.9381,1.909,65.1267,70.5433,67.6866,0.0092,99.9908,0.0,0.0,0.0,64.595
es_XX_en_XX_mono_adv_kldivloss,34.3731,11.0682,27.1952,27.194,32.7666,10.6058,26.1146,26.113,76.5382,76.2557,76.3394,99.5681,0.4137,0.0097,0.0046,0.004,31.1028
es_XX_en_XX_mono_adv_kldivloss_tuned,34.1957,10.9969,27.2813,27.285,32.565,10.5342,26.1571,26.1592,76.7421,76.1092,76.3671,99.4681,0.5161,0.0121,0.0002,0.0035,29.0864
es_XX_ru_RU_supervised,21.0419,6.1531,18.0109,18.0026,21.0394,6.1524,18.0097,18.002,76.4812,74.0105,75.1662,0.0,0.0,100.0,0.0,0.0,19.6103
es_XX_ru_RU_mono,0.5726,0.1068,0.5482,0.5171,0.5693,0.1064,0.5451,0.5142,63.6548,65.6034,64.5848,0.0105,99.9667,0.0229,0.0,0.0,65.3547
es_XX_ru_RU_mono_adv_kldivloss,17.9024,4.5559,14.8036,14.7772,17.8987,4.5546,14.8017,14.7757,73.031,73.1915,73.0583,0.0114,0.0,99.9886,0.0,0.0,27.7142
es_XX_ru_RU_mono_adv_kldivloss_tuned,17.7936,4.4192,14.8455,14.8261,17.7902,4.4186,14.844,14.8241,73.3249,73.1001,73.1586,0.0229,0.0114,99.9657,0.0,0.0,26.1814
es_en_translated,36.3903,13.3873,29.7236,29.7185,34.5879,12.7671,28.4286,28.4196,78.7329,76.6652,77.6223,99.685,0.2752,0.0187,0.0049,0.0162,24.5874
