,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len
en_XX_tr_TR_baseline,23.7596,8.0929,20.725,20.6656,23.6907,8.0685,20.6777,20.6149,74.2092,72.3162,73.1987,0.0,0.0001,0.0,0.0,99.9999,20.2179
en_XX_tr_TR_mono,2.6475,0.4324,2.3994,2.3426,2.5311,0.4172,2.3017,2.2444,60.2991,61.5755,60.8914,100.0,0.0,0.0,0.0,0.0,65.4197
en_XX_tr_TR_mono_adv_kldivloss,2.4212,0.4502,2.2543,2.1894,2.361,0.4397,2.194,2.131,60.1301,61.8237,60.9299,49.0826,21.6743,29.2431,0.0,0.0,58.8085
en_XX_tr_TR_mono_adv_kldivloss_tuned,2.5752,0.4782,2.4156,2.3496,2.5091,0.4686,2.3522,2.2861,59.9326,61.6651,60.7494,64.3468,4.2312,31.422,0.0,0.0,59.4438
en_tr_translated,12.9562,2.7169,11.7736,11.7183,12.8448,2.7025,11.6795,11.6141,71.0797,70.2313,70.6182,0.1692,0.0744,0.0,0.0,99.7565,19.7007
es_Benchmark,38.3,15.37,32.4,,,,,,,,,,,,,,
es_XX_en_XX_baseline,38.4252,14.7611,31.4139,31.4158,36.4931,14.0558,30.0128,30.0143,79.3214,77.1136,78.1382,99.7636,0.1877,0.0165,0.0061,0.0261,24.2768
es_XX_en_XX_mono,2.3368,0.1238,2.138,2.1122,2.1146,0.1215,1.9482,1.922,65.3652,70.4781,67.7868,0.0433,99.9383,0.0184,0.0,0.0,64.6646
es_XX_en_XX_mono_adv_kldivloss,34.1871,11.1082,27.5722,27.5767,32.5421,10.6141,26.4204,26.4224,77.5316,75.9093,76.655,99.6064,0.3747,0.0032,0.0002,0.0156,25.3581
es_XX_en_XX_mono_adv_kldivloss_tuned,34.7659,11.3024,27.8578,27.8579,33.113,10.8251,26.6995,26.7019,77.467,76.2619,76.8044,99.6384,0.3364,0.0087,0.0046,0.0119,27.2888
es_XX_ru_RU_baseline,21.0419,6.1531,18.0109,18.0026,21.0394,6.1524,18.0097,18.002,76.4812,74.0105,75.1662,0.0,0.0,100.0,0.0,0.0,19.6103
es_XX_ru_RU_mono,0.5483,0.1017,0.5249,0.4949,0.5446,0.1009,0.5229,0.4926,63.7843,65.5312,64.6171,0.0,99.9313,0.0687,0.0,0.0,65.6052
es_XX_ru_RU_mono_adv_kldivloss,17.9257,4.5504,15.1329,15.1121,17.9219,4.5496,15.131,15.1109,74.1553,73.0759,73.5585,0.0,0.0,100.0,0.0,0.0,22.6205
es_XX_ru_RU_mono_adv_kldivloss_tuned,18.1857,4.5146,15.1354,15.1219,18.18,4.5138,15.1329,15.1204,73.6709,73.3551,73.4622,0.0114,0.0229,99.9657,0.0,0.0,25.7587
es_en_translated,36.3903,13.3873,29.7236,29.7185,34.5879,12.7671,28.4286,28.4196,78.7329,76.6652,77.6223,99.685,0.2752,0.0187,0.0049,0.0162,24.5874
es_ru_translated,16.1245,3.4797,13.873,13.8474,16.1205,3.4786,13.8712,13.8457,74.4561,72.3628,73.3423,0.0,0.0,100.0,0.0,0.0,20.0259
