,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len
en_XX_tr_TR_supervised,23.7596,8.0929,20.725,20.6656,23.6907,8.0685,20.6777,20.6149,74.2092,72.3162,73.1987,0.0,0.0001,0.0,0.0,99.9999,20.2179
en_XX_tr_TR_mono,2.6962,0.4518,2.5159,2.4644,2.5974,0.4435,2.4246,2.3739,59.9748,61.5984,60.7347,100.0,0.0,0.0,0.0,0.0,64.7305
en_XX_tr_TR_mono_10,3.0127,0.5298,2.7337,2.6751,2.9104,0.5226,2.6332,2.5691,59.1082,61.1049,60.0424,93.1874,6.698,0.1147,0.0,0.0,56.1972
en_XX_tr_TR_mono_100,15.7477,3.3887,13.5223,13.4997,15.6773,3.3783,13.4652,13.443,71.4319,69.0333,70.166,0.1149,0.0004,0.0,0.0,99.8847,18.9117
en_XX_tr_TR_mono_1000,21.0601,5.8341,18.2601,18.2003,20.9465,5.7803,18.1737,18.1125,73.7165,71.1512,72.3609,0.1305,0.0822,0.0097,0.0004,99.7772,19.4404
en_XX_tr_TR_mono_adv_kldivloss,2.7061,0.4426,2.4814,2.421,2.5978,0.4321,2.3839,2.327,60.2395,61.7924,60.9648,92.2018,6.8807,0.9174,0.0,0.0,64.6617
en_tr_translated,12.9562,2.7169,11.7736,11.7183,12.8448,2.7025,11.6795,11.6141,71.0797,70.2313,70.6182,0.1692,0.0744,0.0,0.0,99.7565,19.7007
es_Benchmark,38.3,15.37,32.4,,,,,,,,,,,,,,
es_XX_en_XX_supervised,38.4252,14.7611,31.4139,31.4158,36.4931,14.0558,30.0128,30.0143,79.3214,77.1136,78.1382,99.7636,0.1877,0.0165,0.0061,0.0261,24.2768
es_XX_en_XX_mono,2.3314,0.1301,2.1342,2.1068,2.1013,0.128,1.9356,1.9077,64.788,70.4721,67.4698,0.0092,99.9908,0.0,0.0,0.0,63.3808
es_XX_en_XX_mono_10,33.2434,10.486,26.6591,26.656,31.6426,10.0365,25.5585,25.555,77.1039,75.4739,76.2233,99.5295,0.4595,0.0043,0.0001,0.0066,25.6639
es_XX_en_XX_mono_100,34.0813,10.9981,27.2829,27.2747,32.4164,10.5194,26.1259,26.1177,77.3316,76.1183,76.6611,99.6491,0.3353,0.0041,0.0001,0.0114,26.848
es_XX_en_XX_mono_1000,35.0438,11.6243,27.911,27.9012,33.3154,11.1134,26.7046,26.6945,77.564,76.5234,76.9813,99.7865,0.1923,0.0036,0.0105,0.007,27.8483
