,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len
en_XX_tr_TR_baseline,23.7596,8.0929,20.725,20.6656,23.6907,8.0685,20.6777,20.6149,74.2092,72.3162,73.1987,0.0,0.0001,0.0,0.0,99.9999,20.2179
en_XX_tr_TR_mono,0.5694,0.0225,0.5342,0.5336,0.5429,0.0225,0.515,0.5149,58.8043,59.647,59.1843,98.8532,0.0,1.1468,0.0,0.0,68.2787
en_XX_tr_TR_mono_adv_kldivloss,0.6114,0.0283,0.5602,0.5547,0.5787,0.0283,0.5311,0.5265,59.0906,60.4098,59.71,82.4541,15.5963,1.9495,0.0,0.0,67.3658
en_XX_tr_TR_mono_adv_kldivloss_tuned,0.6295,0.0261,0.5854,0.5789,0.5927,0.0261,0.5507,0.5431,58.6743,60.1507,59.3695,84.633,0.1147,15.2523,0.0,0.0,64.8349
en_tr_translated,12.9562,2.7169,11.7736,11.7183,12.8448,2.7025,11.6795,11.6141,71.0797,70.2313,70.6182,0.1692,0.0744,0.0,0.0,99.7565,19.7007
es_Benchmark,38.3,15.37,32.4,,,,,,,,,,,,,,
es_XX_en_XX_baseline,38.4252,14.7611,31.4139,31.4158,36.4931,14.0558,30.0128,30.0143,79.3214,77.1136,78.1382,99.7636,0.1877,0.0165,0.0061,0.0261,24.2768
es_XX_en_XX_mono,15.0007,1.6476,11.6994,11.7059,14.588,1.5807,11.4615,11.4691,70.9349,68.8965,69.8498,99.9831,0.016,0.0,0.0,0.0008,19.7887
es_XX_en_XX_mono_adv_kldivloss,17.3004,2.5089,13.0918,13.1018,16.7017,2.4099,12.7513,12.758,71.7677,70.4929,71.067,99.9871,0.0111,0.0012,0.0001,0.0006,22.7736
es_XX_en_XX_mono_adv_kldivloss_tuned,18.7116,2.8719,13.9707,13.9768,18.0645,2.7631,13.6192,13.6242,71.8215,70.7845,71.2419,99.9831,0.0168,0.0,0.0,0.0,25.2562
es_XX_ru_RU_baseline,21.0419,6.1531,18.0109,18.0026,21.0394,6.1524,18.0097,18.002,76.4812,74.0105,75.1662,0.0,0.0,100.0,0.0,0.0,19.6103
es_XX_ru_RU_mono,6.427,0.8984,5.4305,5.4307,6.427,0.8984,5.4305,5.4307,69.026,67.1691,68.0366,0.0,0.0,100.0,0.0,0.0,17.8828
es_XX_ru_RU_mono_adv_kldivloss,7.5918,1.0797,6.3125,6.3115,7.5918,1.0797,6.3125,6.3115,70.1671,68.4222,69.2347,0.0,0.0,100.0,0.0,0.0,18.0871
es_XX_ru_RU_mono_adv_kldivloss_tuned,7.9902,1.1449,6.5588,6.55,7.9898,1.1449,6.5588,6.55,69.7164,68.7317,69.17,0.0,0.0,100.0,0.0,0.0,20.5394
es_en_translated,36.3903,13.3873,29.7236,29.7185,34.5879,12.7671,28.4286,28.4196,78.7329,76.6652,77.6223,99.685,0.2752,0.0187,0.0049,0.0162,24.5874
es_ru_translated,16.1245,3.4797,13.873,13.8474,16.1205,3.4786,13.8712,13.8457,74.4561,72.3628,73.3423,0.0,0.0,100.0,0.0,0.0,20.0259
ru_Benchmark,32.91,11.83,27.69,,,,,,,,,,,,,,
ru_RU_en_XX_baseline,36.0242,13.1629,29.427,29.4369,34.192,12.5393,28.1011,28.1059,78.5533,76.5144,77.4582,99.6605,0.2775,0.0247,0.0198,0.0176,23.6002
ru_RU_en_XX_mono,15.4148,1.7952,11.9427,11.953,14.963,1.722,11.671,11.6815,70.9673,69.1951,70.0195,99.9965,0.0034,0.0,0.0,0.0,19.8432
ru_RU_en_XX_mono_adv_kldivloss,16.8587,2.3484,12.7239,12.7293,16.2195,2.267,12.3723,12.3778,71.5377,70.4152,70.914,99.9755,0.0245,0.0,0.0,0.0,22.6237
ru_RU_en_XX_mono_adv_kldivloss_tuned,18.4074,2.745,13.7266,13.738,17.7446,2.6422,13.3442,13.3554,71.6604,70.7592,71.1505,99.9872,0.0115,0.0,0.0,0.0013,24.9944
ru_en_translated,34.4771,12.0525,28.4152,28.4199,32.6525,11.457,27.0617,27.0606,78.6423,76.13,77.3035,99.6673,0.2867,0.0221,0.0005,0.0234,21.9327
tr_Benchmark,33.68,12.74,27.62,,,,,,,,,,,,,,
tr_TR_en_XX_baseline,41.5345,18.1693,34.5302,34.5417,39.9485,17.5384,33.3877,33.4012,79.8214,77.999,78.8374,99.4486,0.2706,0.1143,0.1127,0.0538,25.1812
tr_TR_en_XX_mono,13.963,1.342,11.1415,11.1505,13.5676,1.2904,10.9246,10.9335,69.9619,67.8466,68.8393,99.9984,0.0016,0.0,0.0,0.0,19.5745
tr_TR_en_XX_mono_adv_kldivloss,17.4344,2.5262,13.1353,13.172,16.7207,2.4171,12.7743,12.7964,70.8952,69.8331,70.3031,100.0,0.0,0.0,0.0,0.0,23.6628
tr_TR_en_XX_mono_adv_kldivloss_tuned,19.3545,2.9826,14.4136,14.4331,18.7376,2.8778,14.0608,14.079,71.0887,70.5174,70.7493,100.0,0.0,0.0,0.0,0.0,26.9839
tr_TR_tr_TR_baseline,30.3768,12.3571,26.3065,26.2906,30.2839,12.3082,26.234,26.2136,76.409,74.6503,75.4506,0.0281,0.2744,0.0,0.0,99.6975,21.1227
tr_TR_tr_TR_mono,0.5106,0.0132,0.4906,0.4837,0.4912,0.0132,0.4775,0.4713,58.5312,59.3677,58.9082,99.7706,0.0,0.2294,0.0,0.0,69.047
tr_TR_tr_TR_mono_adv_kldivloss,0.5605,0.0205,0.525,0.5264,0.5326,0.0205,0.5012,0.5013,58.93,60.2412,59.5479,82.3394,14.4495,3.211,0.0,0.0,67.3268
