,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len
en_XX_tr_TR_supervised,23.7596,8.0929,20.725,20.6656,23.6907,8.0685,20.6777,20.6149,74.2092,72.3162,73.1987,0.0,0.0001,0.0,0.0,99.9999,20.2179
en_XX_tr_TR_mono,2.7132,0.4692,2.519,2.4551,2.6089,0.4551,2.424,2.3579,60.3035,61.6567,60.9329,100.0,0.0,0.0,0.0,0.0,66.4392
en_XX_tr_TR_mono_10,3.7256,0.7139,3.5192,3.4466,3.6068,0.7074,3.4192,3.3414,65.1452,61.5506,63.2553,84.4092,7.3657,7.0187,0.0408,1.1655,21.9851
en_XX_tr_TR_mono_100,13.1264,2.3256,11.487,11.4447,13.0683,2.3065,11.4315,11.3882,69.7546,67.9981,68.8138,0.8465,0.078,0.9804,0.0005,98.0946,20.422
en_XX_tr_TR_mono_1000,21.5859,6.0026,18.6533,18.5967,21.4728,5.987,18.5609,18.4921,73.7732,71.4055,72.522,0.2246,0.1025,0.0097,0.0004,99.6628,19.7672
en_XX_tr_TR_mono_en,2.6704,0.4692,2.4675,2.4088,2.5785,0.4616,2.3822,2.3226,60.2797,61.7194,60.9504,100.0,0.0,0.0,0.0,0.0,67.5906
en_XX_tr_TR_mono_en_10,3.9814,0.7174,3.7189,3.6417,3.8548,0.6968,3.6019,3.5195,64.0152,61.6057,62.7371,99.0831,0.2839,0.3356,0.2244,0.073,29.1709
en_XX_tr_TR_mono_en_100,13.8838,2.5952,12.0752,12.032,13.8056,2.5839,12.0201,11.9795,70.4689,68.4061,69.3764,0.9801,0.0045,0.0,0.0,99.0154,19.4128
en_XX_tr_TR_mono_en_1000,21.2553,6.0251,18.353,18.2783,21.1651,6.0159,18.2954,18.2272,73.4571,71.119,72.2197,0.1269,0.1293,0.0,0.0,99.7439,19.9117
en_tr_translated,12.9562,2.7169,11.7736,11.7183,12.8448,2.7025,11.6795,11.6141,71.0797,70.2313,70.6182,0.1692,0.0744,0.0,0.0,99.7565,19.7007
es_Benchmark,38.3,15.37,32.4,,,,,,,,,,,,,,
es_XX_en_XX_supervised,38.4252,14.7611,31.4139,31.4158,36.4931,14.0558,30.0128,30.0143,79.3214,77.1136,78.1382,99.7636,0.1877,0.0165,0.0061,0.0261,24.2768
es_XX_en_XX_mono,2.4806,0.1319,2.2737,2.2457,2.2548,0.1304,2.0782,2.0499,65.3373,70.6235,67.8381,0.0092,99.9908,0.0,0.0,0.0,62.9965
es_XX_en_XX_mono_10,33.629,10.5016,26.8351,26.8395,32.0387,10.0531,25.7473,25.7476,76.7546,75.7031,76.1698,99.1367,0.8505,0.0059,0.0003,0.0066,28.2206
es_XX_en_XX_mono_100,34.3277,11.0553,27.4391,27.4362,32.6236,10.5489,26.2584,26.2543,77.1713,76.2119,76.6315,99.5804,0.3866,0.0132,0.0062,0.0137,27.8807
