,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len,rouge1_low_with_stemming,rouge1_mid_with_stemming,rouge1_high_with_stemming,rouge2_low_with_stemming,rouge2_mid_with_stemming,rouge2_high_with_stemming,rougeL_low_with_stemming,rougeL_mid_with_stemming,rougeL_high_with_stemming,rougeLsum_low_with_stemming,rougeLsum_mid_with_stemming,rougeLsum_high_with_stemming,rouge1_low_without_stemming,rouge1_mid_without_stemming,rouge1_high_without_stemming,rouge2_low_without_stemming,rouge2_mid_without_stemming,rouge2_high_without_stemming,rougeL_low_without_stemming,rougeL_mid_without_stemming,rougeL_high_without_stemming,rougeLsum_low_without_stemming,rougeLsum_mid_without_stemming,rougeLsum_high_without_stemming,bert_score_precision_low,bert_score_precision_mid,bert_score_precision_high,bert_score_recall_low,bert_score_recall_mid,bert_score_recall_high,bert_score_f1_low,bert_score_f1_mid,bert_score_f1_high
en_XX_tr_TR_mono,2.7223,0.453,2.5024,2.4436,2.6225,0.4406,2.4287,2.3614,60.3069,61.6611,60.9375,100.0,0.0,0.0,0.0,0.0,65.3291,2.4166,2.7081,2.9787,0.3809,0.4564,0.5403,2.294,2.5075,2.7485,2.2196,2.4516,2.6731,2.3767,2.6346,2.8908,0.3652,0.4406,0.5211,2.1963,2.4222,2.6499,2.1446,2.3598,2.5958,60.1071,60.3033,60.5193,61.5142,61.6597,61.8096,60.7799,60.9354,61.0841
en_XX_tr_TR_mono_10,3.3618,0.6037,3.0835,3.0287,3.2449,0.5893,3.01,2.9367,60.5968,61.3315,60.9037,99.5725,0.3254,0.0415,0.0023,0.0583,54.6135,2.9727,3.3424,3.6956,0.5048,0.6117,0.7214,2.795,3.0918,3.4118,2.7181,3.0273,3.3568,2.932,3.2547,3.6196,0.4801,0.5909,0.7149,2.6945,2.9999,3.3141,2.6538,2.941,3.2579,60.3388,60.5954,60.8722,61.1749,61.3294,61.4827,60.7305,60.8987,61.0773
en_XX_tr_TR_mono_100,16.3862,3.5926,14.2474,14.2096,16.2472,3.5769,14.1949,14.1533,71.6337,69.0789,70.2881,0.0241,0.1024,0.0,0.0,99.8734,18.6995,15.6235,16.3738,17.0964,3.2156,3.5825,4.0148,13.5571,14.2445,14.9235,13.5357,14.2507,14.8891,15.5246,16.3026,17.0821,3.1562,3.5727,3.9708,13.5553,14.1995,14.8401,13.5078,14.1632,14.8285,71.3223,71.6335,71.9312,68.7681,69.0815,69.3537,70.031,70.2858,70.5723
en_XX_tr_TR_mono_1000,21.2705,5.9262,18.3584,18.3309,21.1407,5.9256,18.2566,18.2336,73.7197,71.2447,72.4105,0.1159,0.0089,0.0,0.0,99.8752,19.5539,20.3582,21.2587,22.1093,5.3942,5.9398,6.483,17.5705,18.3564,19.1066,17.5503,18.3268,19.1318,20.3795,21.1989,22.0518,5.3487,5.9161,6.4113,17.5519,18.3005,19.0209,17.4869,18.2277,18.9917,73.3974,73.7216,74.0592,70.9358,71.2448,71.541,72.1278,72.4036,72.6967
en_XX_tr_TR_mono_adv_kldivloss,2.8267,0.4756,2.591,2.532,2.6891,0.464,2.4776,2.4108,60.3953,61.7393,61.0194,95.4128,0.0,4.5872,0.0,0.0,64.5677,2.5027,2.8141,3.1047,0.3987,0.4805,0.5712,2.3653,2.6014,2.8506,2.3009,2.5354,2.7711,2.4436,2.7018,2.9687,0.385,0.4652,0.5509,2.237,2.4772,2.7087,2.1796,2.4105,2.6441,60.1799,60.3918,60.6176,61.5939,61.7403,61.881,60.8628,61.0137,61.1763
en_XX_tr_TR_mono_adv_kldivloss_tuned,2.8404,0.4756,2.607,2.5475,2.7238,0.4626,2.5373,2.4636,60.2283,61.6716,60.9006,99.1972,0.2294,0.5734,0.0,0.0,65.7317,2.5433,2.8288,3.1074,0.395,0.4784,0.5665,2.3851,2.6171,2.8702,2.3139,2.5529,2.7884,2.4803,2.7328,3.0031,0.3888,0.4625,0.5468,2.2825,2.5263,2.7663,2.2251,2.4628,2.7006,60.0142,60.2265,60.4393,61.5151,61.6713,61.8122,60.7489,60.8969,61.0565
en_XX_tr_TR_mono_adv_nll,2.8255,0.4744,2.5964,2.5435,2.7142,0.4638,2.519,2.4592,60.2521,61.6592,60.9059,99.8853,0.0,0.1147,0.0,0.0,65.3739,2.5258,2.8115,3.1026,0.393,0.4782,0.5674,2.3719,2.6021,2.8611,2.315,2.5512,2.7934,2.4638,2.726,2.9913,0.3847,0.4667,0.551,2.2721,2.5132,2.7471,2.2341,2.4588,2.6956,60.0436,60.2476,60.478,61.5095,61.6573,61.8062,60.7481,60.9037,61.0683
en_XX_tr_TR_mono_adv_nll_tuned,2.7883,0.4926,2.5751,2.5244,2.6891,0.4816,2.4956,2.4349,60.3819,61.7246,61.0062,100.0,0.0,0.0,0.0,0.0,65.3693,2.4765,2.7748,3.0529,0.4087,0.4941,0.5861,2.3629,2.5839,2.8357,2.2869,2.5281,2.7657,2.4455,2.7012,2.9801,0.3985,0.4829,0.5728,2.2474,2.487,2.729,2.1968,2.4322,2.6704,60.1852,60.3763,60.6017,61.5715,61.7228,61.8658,60.8464,61.0008,61.1685
en_XX_tr_TR_mono_en,2.7579,0.4493,2.5359,2.485,2.6307,0.4425,2.4332,2.3723,60.4174,61.7344,61.0283,100.0,0.0,0.0,0.0,0.0,65.2867,2.459,2.7457,3.0234,0.3773,0.451,0.5372,2.3138,2.5424,2.7843,2.2598,2.4873,2.7189,2.3913,2.6423,2.9084,0.3647,0.4421,0.5246,2.1893,2.4261,2.6518,2.1528,2.375,2.5947,60.2214,60.4096,60.627,61.5829,61.7348,61.8778,60.8757,61.0239,61.1766
en_XX_tr_TR_mono_en_10,3.5732,0.6501,3.3114,3.2561,3.4105,0.6376,3.1899,3.1418,61.8245,61.5052,61.5935,99.8716,0.0842,0.0242,0.0001,0.0199,46.8761,3.1623,3.5491,3.9273,0.5358,0.6541,0.7851,2.9935,3.3174,3.6597,2.946,3.2704,3.6137,3.0704,3.4199,3.8122,0.5189,0.6418,0.7605,2.8694,3.1914,3.5384,2.8317,3.1415,3.4881,61.5472,61.8197,62.1097,61.3241,61.5002,61.6877,61.4006,61.5914,61.7794
