,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len,rouge1_low_with_stemming,rouge1_mid_with_stemming,rouge1_high_with_stemming,rouge2_low_with_stemming,rouge2_mid_with_stemming,rouge2_high_with_stemming,rougeL_low_with_stemming,rougeL_mid_with_stemming,rougeL_high_with_stemming,rougeLsum_low_with_stemming,rougeLsum_mid_with_stemming,rougeLsum_high_with_stemming,rouge1_low_without_stemming,rouge1_mid_without_stemming,rouge1_high_without_stemming,rouge2_low_without_stemming,rouge2_mid_without_stemming,rouge2_high_without_stemming,rougeL_low_without_stemming,rougeL_mid_without_stemming,rougeL_high_without_stemming,rougeLsum_low_without_stemming,rougeLsum_mid_without_stemming,rougeLsum_high_without_stemming,bert_score_precision_low,bert_score_precision_mid,bert_score_precision_high,bert_score_recall_low,bert_score_recall_mid,bert_score_recall_high,bert_score_f1_low,bert_score_f1_mid,bert_score_f1_high
en_XX_tr_TR_mono,2.7223,0.453,2.5024,2.4436,2.6225,0.4406,2.4287,2.3614,60.3069,61.6611,60.9375,100.0,0.0,0.0,0.0,0.0,65.3291,2.4166,2.7081,2.9787,0.3809,0.4564,0.5403,2.294,2.5075,2.7485,2.2196,2.4516,2.6731,2.3767,2.6346,2.8908,0.3652,0.4406,0.5211,2.1963,2.4222,2.6499,2.1446,2.3598,2.5958,60.1071,60.3033,60.5193,61.5142,61.6597,61.8096,60.7799,60.9354,61.0841
en_XX_tr_TR_mono_adv_kldivloss,2.8191,0.4858,2.5882,2.534,2.6897,0.4719,2.4984,2.4385,60.2819,61.7105,60.9442,99.1972,0.0,0.8028,0.0,0.0,64.9507,2.5074,2.8031,3.0902,0.4087,0.489,0.5812,2.3628,2.5976,2.8476,2.2969,2.5346,2.7886,2.4556,2.7046,2.9843,0.3898,0.4756,0.562,2.2456,2.4954,2.7309,2.1995,2.4295,2.6662,60.0601,60.2789,60.5048,61.554,61.7095,61.848,60.7859,60.9413,61.1037
en_XX_tr_TR_mono_adv_kldivloss_tuned,2.8493,0.4644,2.5771,2.5212,2.7349,0.4529,2.5018,2.4384,60.2089,61.7364,60.9205,97.5917,1.8349,0.5734,0.0,0.0,65.3681,2.5462,2.837,3.1258,0.3911,0.469,0.5515,2.3562,2.5875,2.8377,2.294,2.5332,2.7783,2.4808,2.743,3.0167,0.375,0.4566,0.5384,2.2552,2.4945,2.7211,2.2104,2.4339,2.6705,59.987,60.2031,60.4257,61.5822,61.7358,61.8758,60.7658,60.9154,61.0845
en_XX_tr_TR_mono_adv_nll,2.7699,0.4877,2.5268,2.4711,2.6695,0.4781,2.4632,2.4012,60.207,61.6765,60.8918,97.8211,0.2294,1.9495,0.0,0.0,65.4289,2.4672,2.7565,3.0265,0.407,0.493,0.5801,2.3082,2.5297,2.7848,2.2385,2.476,2.7148,2.4191,2.6814,2.9529,0.3997,0.4819,0.5716,2.2162,2.4571,2.6885,2.1654,2.3973,2.6352,59.9961,60.206,60.4133,61.5206,61.6744,61.8178,60.7358,60.8892,61.0459
en_XX_tr_TR_mono_adv_nll_tuned,2.7831,0.4691,2.5618,2.5055,2.6666,0.4564,2.4779,2.4234,60.2808,61.728,60.9543,99.656,0.1147,0.2294,0.0,0.0,65.172,2.4889,2.7633,3.0375,0.3897,0.473,0.5604,2.3414,2.568,2.814,2.2786,2.5085,2.7519,2.4282,2.6815,2.9486,0.3782,0.4581,0.5421,2.2324,2.4751,2.7096,2.1837,2.4171,2.6525,60.0654,60.2739,60.4966,61.5791,61.7281,61.8641,60.8039,60.948,61.1095
en_XX_tr_TR_supervised,23.7325,8.0039,20.6726,20.6516,23.6169,8.0013,20.6298,20.5887,74.2494,72.3002,73.2092,0.0,0.0001,0.0,0.0,99.9999,20.2431,22.7326,23.6896,24.7527,7.3663,8.0289,8.742,19.7394,20.697,21.5326,19.724,20.6308,21.4973,22.7581,23.6681,24.6421,7.3154,8.0086,8.7131,19.7651,20.6356,21.5434,19.7584,20.5818,21.4568,73.9325,74.2582,74.5951,71.9834,72.2886,72.6161,72.9147,73.2009,73.5221
en_tr_translated_nllb,20.8648,5.5191,18.6551,18.6,20.7124,5.4787,18.5378,18.4688,73.931,72.3829,73.0993,0.129,0.1165,0.0,0.0,99.7546,19.6812,20.1028,20.8585,21.6103,5.0697,5.5345,6.0028,17.9758,18.6685,19.3517,17.889,18.5781,19.3106,19.9569,20.7329,21.5703,4.9811,5.4929,5.9419,17.8406,18.5245,19.1606,17.8164,18.4633,19.1634,73.6449,73.935,74.2376,72.0839,72.3764,72.6841,72.7997,73.0942,73.3742
es_Benchmark,38.3,15.37,32.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es_XX_en_XX_mono,2.3655,0.1314,2.1689,2.1429,2.1398,0.1286,1.9758,1.9493,65.3407,70.5798,67.8197,0.0092,99.9908,0.0,0.0,0.0,63.9447,2.3263,2.3661,2.4056,0.1219,0.1316,0.1407,2.1374,2.1699,2.2027,2.1097,2.1428,2.1768,2.1032,2.1411,2.1782,0.1193,0.1288,0.1392,1.9426,1.9763,2.0094,1.9211,1.951,1.9811,65.2981,65.3416,65.383,70.5402,70.5811,70.6173,67.7841,67.8201,67.8533
es_XX_en_XX_mono_adv_kldivloss,33.7275,10.808,27.0716,27.0705,32.1112,10.3409,25.9671,25.9695,77.0336,75.8759,76.3945,99.4365,0.5424,0.0028,0.0046,0.0137,27.0831,33.5659,33.7385,33.9135,10.6663,10.8034,10.9362,26.9147,27.0689,27.2245,26.9183,27.0723,27.2232,31.94,32.114,32.2696,10.2058,10.3401,10.4725,25.8175,25.9694,26.1225,25.8056,25.9644,26.1285,76.9751,77.0331,77.0991,75.8106,75.8789,75.9449,76.3341,76.394,76.4551
es_XX_en_XX_mono_adv_kldivloss_tuned,34.094,10.9617,27.2184,27.2179,32.4988,10.4906,26.1271,26.1295,76.8443,76.0179,76.3737,99.3614,0.6303,0.0016,0.0045,0.0021,28.9018,33.934,34.0981,34.2764,10.8333,10.9606,11.0831,27.0613,27.2147,27.367,27.0629,27.2191,27.3716,32.3315,32.4996,32.6717,10.3659,10.4883,10.6293,25.9697,26.1269,26.2811,25.9633,26.1234,26.2704,76.7841,76.8442,76.9084,75.9566,76.0206,76.082,76.3149,76.3731,76.4306
es_XX_en_XX_mono_adv_nll,33.4028,10.5028,26.6955,26.6893,31.8039,10.0436,25.6057,25.6039,76.5892,75.8071,76.1413,98.4628,1.5111,0.0062,0.0045,0.0154,28.5659,33.2346,33.4053,33.5817,10.384,10.5042,10.6368,26.5498,26.6905,26.8446,26.5384,26.6943,26.8522,31.6359,31.8053,31.9712,9.921,10.0464,10.1825,25.4597,25.6093,25.7557,25.4603,25.6021,25.7554,76.526,76.5898,76.6545,75.7475,75.8107,75.8799,76.0815,76.1412,76.2003
es_XX_en_XX_mono_adv_nll_tuned,26.8751,8.0105,21.4903,21.4741,25.5084,7.6412,20.5487,20.5282,74.0179,74.6811,74.2815,78.8793,21.1114,0.0028,0.0002,0.0063,34.7576,26.6772,26.8841,27.0989,7.8953,8.0164,8.1324,21.3107,21.4894,21.6585,21.3094,21.4825,21.6536,25.3196,25.5093,25.7002,7.5251,7.6422,7.7674,20.3744,20.5481,20.7201,20.359,20.5329,20.7074,73.9405,74.0185,74.0953,74.6163,74.684,74.7485,74.2174,74.2825,74.3468
es_XX_en_XX_supervised,38.4202,14.7607,31.4158,31.4219,36.492,14.052,30.0131,30.0215,79.3239,77.107,78.136,99.7667,0.1846,0.0206,0.0061,0.022,24.2771,38.2395,38.4277,38.625,14.6134,14.7621,14.9271,31.2479,31.4126,31.5807,31.2401,31.4148,31.5924,36.2985,36.4974,36.6805,13.8965,14.0537,14.2128,29.8383,30.0122,30.2067,29.8503,30.0193,30.1854,79.257,79.323,79.3915,77.0326,77.1086,77.1711,78.0754,78.137,78.2021
es_XX_ru_RU_mono,0.5775,0.1074,0.5504,0.5229,0.5728,0.1072,0.5472,0.5189,63.7634,65.5629,64.6218,0.0,100.0,0.0,0.0,0.0,65.0659,0.5363,0.5768,0.62,0.0948,0.1075,0.1226,0.5139,0.551,0.5875,0.4876,0.5217,0.5568,0.5365,0.5727,0.61,0.0936,0.1068,0.1219,0.5132,0.5482,0.5856,0.4821,0.5196,0.555,63.7069,63.7637,63.8199,65.5199,65.5631,65.6082,64.5781,64.6227,64.6664
es_XX_ru_RU_mono_adv_kldivloss,17.2756,4.2978,14.5045,14.4877,17.2636,4.2967,14.4969,14.4829,73.5618,72.7238,73.0867,0.0,0.0114,99.9886,0.0,0.0,23.7603,17.0388,17.2684,17.516,4.1596,4.3024,4.4428,14.2753,14.4995,14.7094,14.2865,14.4903,14.6954,17.0196,17.2562,17.5223,4.1637,4.2932,4.441,14.2873,14.5034,14.7094,14.2778,14.4891,14.6929,73.4721,73.5587,73.6512,72.6233,72.725,72.8162,73.0041,73.0874,73.174
es_XX_ru_RU_mono_adv_kldivloss_tuned,17.3299,4.2704,14.2797,14.2692,17.3193,4.2647,14.2782,14.2661,72.8451,72.9058,72.8234,0.0114,0.0458,99.9428,0.0,0.0,27.7864,17.1083,17.3269,17.5383,4.1243,4.2649,4.3961,14.0811,14.282,14.4854,14.0741,14.2667,14.4711,17.0765,17.3184,17.5633,4.1294,4.2648,4.4059,14.0825,14.2856,14.4986,14.0596,14.2656,14.4518,72.7535,72.8446,72.9408,72.8146,72.9061,72.9972,72.7441,72.823,72.9007
es_XX_ru_RU_mono_adv_nll,16.8798,4.0785,14.0548,14.0356,16.8734,4.084,14.0437,14.0342,72.7662,72.4009,72.5303,0.0,2.3584,97.6416,0.0,0.0,26.5462,16.6427,16.8762,17.116,3.9369,4.0804,4.2266,13.8403,14.0545,14.2733,13.8332,14.0337,14.2399,16.6587,16.8762,17.1304,3.9403,4.0768,4.2257,13.8495,14.0521,14.2634,13.8333,14.0365,14.2198,72.6758,72.7676,72.8639,72.3025,72.4029,72.4977,72.438,72.5298,72.6178
es_XX_ru_RU_mono_adv_nll_tuned,11.2623,2.6314,9.4021,9.3808,11.2503,2.6316,9.4,9.3724,69.7518,70.1944,69.9247,0.0,32.3037,67.6963,0.0,0.0,38.0132,11.0307,11.2535,11.4878,2.5089,2.6334,2.7492,9.1967,9.4048,9.6119,9.1688,9.3729,9.5909,11.0051,11.2519,11.4807,2.5084,2.6299,2.7583,9.1904,9.4009,9.6044,9.1795,9.3721,9.5713,69.6353,69.7487,69.8756,70.0919,70.1943,70.2923,69.8251,69.925,70.0382
es_XX_ru_RU_supervised,21.0575,6.1469,17.9992,17.9955,21.037,6.1492,18.0032,17.9929,76.4851,74.0061,75.1659,0.0,0.0,100.0,0.0,0.0,19.5963,20.7739,21.0407,21.3079,5.982,6.1478,6.3295,17.7398,18.0023,18.2368,17.7633,17.9941,18.2384,20.7599,21.0347,21.3102,5.9821,6.1478,6.3276,17.7485,18.0008,18.2515,17.7498,17.9912,18.2271,76.3879,76.4884,76.5848,73.8978,74.0068,74.116,75.0733,75.1676,75.2581
es_en_translated_nllb,37.8928,14.4687,31.1357,31.1349,35.9974,13.7654,29.7549,29.7622,79.3663,77.0797,78.1431,99.6716,0.2982,0.0128,0.0049,0.0123,23.8713,37.7185,37.9056,38.1009,14.3095,14.4634,14.622,30.9632,31.1399,31.3029,30.9597,31.1375,31.3219,35.8103,35.9918,36.1693,13.6161,13.7631,13.9154,29.585,29.7584,29.9285,29.5898,29.7646,29.9338,79.3056,79.3647,79.4291,77.0158,77.0793,77.1486,78.0831,78.143,78.203
es_ru_translated_nllb,16.6869,3.6632,14.4062,14.3759,16.6702,3.6596,14.4052,14.3808,75.0106,72.657,73.7646,0.0,0.0,100.0,0.0,0.0,19.4945,16.4328,16.6732,16.9009,3.539,3.663,3.7847,14.1867,14.4084,14.6181,14.1794,14.383,14.583,16.4683,16.6763,16.9031,3.5409,3.6594,3.7826,14.1864,14.3988,14.6006,14.1822,14.3891,14.586,74.9211,75.0097,75.101,72.5569,72.6535,72.7479,73.6773,73.7624,73.8484
ru_Benchmark,32.91,11.83,27.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ru_RU_en_XX_mono,0.7036,0.1263,0.661,0.6383,0.6876,0.1254,0.6474,0.625,60.6152,66.2813,63.2906,0.0,0.0,100.0,0.0,0.0,46.6143,0.6596,0.7035,0.7451,0.1122,0.1268,0.1434,0.6241,0.6633,0.7046,0.5959,0.6371,0.6794,0.6447,0.6876,0.7332,0.1112,0.1255,0.141,0.606,0.6467,0.6877,0.5852,0.6252,0.6641,60.5677,60.6148,60.6623,66.2318,66.2804,66.3274,63.254,63.291,63.3326
ru_RU_en_XX_mono_adv_kldivloss,31.8181,9.9364,25.4177,25.4265,30.2811,9.525,24.3513,24.3691,76.221,75.3519,75.7205,99.8503,0.1342,0.0054,0.0003,0.0098,27.5118,31.5655,31.8175,32.0706,9.7343,9.9371,10.1372,25.1998,25.4241,25.6629,25.2074,25.4267,25.667,30.0223,30.2778,30.5228,9.3352,9.5257,9.7262,24.1235,24.3601,24.584,24.1407,24.3683,24.5963,76.1256,76.2226,76.3248,75.2641,75.3494,75.4506,75.6314,75.7213,75.814
ru_RU_en_XX_mono_adv_kldivloss_tuned,32.2335,10.1572,25.6361,25.6457,30.6733,9.7391,24.5806,24.5813,76.1105,75.5457,75.7646,99.8259,0.1493,0.0234,0.0002,0.0012,29.3349,31.9499,32.232,32.48,9.9533,10.1536,10.3553,25.4202,25.6494,25.8697,25.4253,25.6418,25.8781,30.4025,30.663,30.9108,9.5487,9.7335,9.9209,24.3391,24.5866,24.8124,24.3578,24.5904,24.8246,76.0102,76.1119,76.2047,75.4564,75.5447,75.6425,75.6736,75.767,75.8592
ru_RU_en_XX_mono_adv_nll,31.8911,9.9173,25.2804,25.291,30.3185,9.4839,24.2282,24.2311,75.9536,75.4867,75.657,99.6043,0.1429,0.2237,0.0011,0.0279,29.2179,31.6386,31.8924,32.1521,9.71,9.9224,10.1134,25.0628,25.2862,25.5173,25.0649,25.2804,25.5233,30.0648,30.3152,30.5668,9.2957,9.4908,9.6897,23.995,24.2351,24.47,24.0209,24.2383,24.4762,75.8512,75.955,76.0557,75.3954,75.4879,75.5852,75.5644,75.6578,75.7496
ru_RU_en_XX_mono_adv_nll_tuned,31.284,9.4876,24.6234,24.6341,29.7299,9.0665,23.5857,23.595,75.2356,75.3313,75.2204,98.6189,0.1603,1.2084,0.0002,0.0121,30.7418,31.0201,31.2789,31.5528,9.3012,9.4937,9.6892,24.3966,24.6254,24.8465,24.4136,24.619,24.8425,29.4902,29.7231,29.9868,8.8907,9.0679,9.2532,23.3544,23.596,23.8101,23.363,23.5966,23.8251,75.1283,75.2378,75.3433,75.2387,75.3339,75.4297,75.1299,75.2208,75.3152
ru_RU_en_XX_supervised,36.0214,13.1479,29.4257,29.4205,34.1895,12.5225,28.0839,28.0992,78.5517,76.5013,77.4505,99.6526,0.2743,0.0339,0.0219,0.0174,23.604,35.7459,36.0165,36.2916,12.9346,13.1513,13.3773,29.1703,29.4216,29.6826,29.1937,29.4292,29.6865,33.9016,34.1854,34.4504,12.2952,12.5269,12.7291,27.8372,28.0939,28.3385,27.8452,28.0926,28.3628,78.454,78.55,78.6563,76.3954,76.5025,76.6098,77.3572,77.452,77.5428
ru_en_translated_nllb,34.6495,12.1924,28.4756,28.4687,32.8667,11.6032,27.19,27.168,78.6323,76.1092,77.2878,99.7056,0.2816,0.0077,0.0004,0.0047,22.2337,34.3744,34.6436,34.9205,11.9856,12.1984,12.4074,28.2379,28.4743,28.7359,28.2172,28.4637,28.7197,32.6114,32.8625,33.1509,11.3759,11.6126,11.8153,26.946,27.1815,27.4379,26.9122,27.1772,27.4184,78.5393,78.6312,78.7274,76.0096,76.113,76.2133,77.1967,77.2864,77.3702
tr_Benchmark,33.68,12.74,27.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_TR_en_XX_mono,5.0045,1.0771,4.5402,4.5181,4.7942,1.052,4.3843,4.3275,61.0697,64.8822,62.8622,1.6276,0.0997,0.3645,0.0018,97.9064,32.883,4.4463,5.0304,5.5972,0.8717,1.0887,1.3545,4.0782,4.5603,5.1068,4.0268,4.5325,5.0373,4.2369,4.8006,5.4136,0.8497,1.0493,1.302,3.877,4.38,4.8774,3.8408,4.3319,4.8451,60.7684,61.0659,61.4134,64.6351,64.8824,65.1166,62.6108,62.861,63.1106
tr_TR_en_XX_mono_adv_kldivloss,32.3634,11.2791,26.2698,26.296,31.1396,10.9156,25.4098,25.4324,76.3629,74.8789,75.5434,99.7569,0.1669,0.0028,0.0001,0.0733,24.9346,31.443,32.3681,33.3383,10.5336,11.2623,11.9789,25.423,26.271,27.0653,25.4713,26.2699,27.1241,30.1955,31.1359,32.0568,10.2291,10.9556,11.6166,24.5879,25.3985,26.2452,24.5712,25.4189,26.2624,76.0164,76.3605,76.7189,74.5277,74.8725,75.2199,75.2227,75.535,75.8548
tr_TR_en_XX_mono_adv_kldivloss_tuned,32.6155,11.0535,26.6353,26.6343,31.3172,10.672,25.7337,25.764,76.1341,74.943,75.4659,99.827,0.1474,0.0097,0.0004,0.0154,26.5459,31.6936,32.6009,33.601,10.338,11.0235,11.7422,25.7473,26.5941,27.4074,25.8008,26.6267,27.4274,30.438,31.2921,32.2869,9.9934,10.6948,11.3558,24.8981,25.7179,26.5601,24.8964,25.7402,26.5955,75.8041,76.1329,76.4721,74.5774,74.9464,75.2597,75.1695,75.4502,75.767
