,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len,rouge1_low_with_stemming,rouge1_mid_with_stemming,rouge1_high_with_stemming,rouge2_low_with_stemming,rouge2_mid_with_stemming,rouge2_high_with_stemming,rougeL_low_with_stemming,rougeL_mid_with_stemming,rougeL_high_with_stemming,rougeLsum_low_with_stemming,rougeLsum_mid_with_stemming,rougeLsum_high_with_stemming,rouge1_low_without_stemming,rouge1_mid_without_stemming,rouge1_high_without_stemming,rouge2_low_without_stemming,rouge2_mid_without_stemming,rouge2_high_without_stemming,rougeL_low_without_stemming,rougeL_mid_without_stemming,rougeL_high_without_stemming,rougeLsum_low_without_stemming,rougeLsum_mid_without_stemming,rougeLsum_high_without_stemming,bert_score_precision_low,bert_score_precision_mid,bert_score_precision_high,bert_score_recall_low,bert_score_recall_mid,bert_score_recall_high,bert_score_f1_low,bert_score_f1_mid,bert_score_f1_high
en_XX_tr_TR_mono,2.7254,0.4832,2.49,2.4225,2.5984,0.467,2.3983,2.3271,60.206,61.6234,60.865,100.0,0.0,0.0,0.0,0.0,66.4897,2.417,2.7072,2.9991,0.4039,0.484,0.5767,2.2665,2.4961,2.7406,2.1755,2.4316,2.6866,2.3485,2.6114,2.891,0.3824,0.4687,0.5649,2.1562,2.3969,2.6176,2.103,2.3258,2.5684,59.9853,60.1996,60.4318,61.4732,61.6198,61.7641,60.7107,60.862,61.0343
en_XX_tr_TR_mono_adv_kldivloss,2.7324,0.4826,2.5383,2.4723,2.6083,0.4717,2.4497,2.3815,60.1694,61.6096,60.8402,88.0734,3.6697,8.2569,0.0,0.0,63.7122,2.4176,2.7163,3.0021,0.4004,0.4872,0.5806,2.291,2.5407,2.8024,2.2352,2.4813,2.7211,2.3544,2.6185,2.8895,0.388,0.4734,0.5641,2.2071,2.449,2.6831,2.1496,2.3784,2.6243,59.9708,60.1629,60.3724,61.4607,61.6036,61.7512,60.6882,60.8372,60.9807
en_XX_tr_TR_mono_adv_kldivloss_tuned,2.5711,0.4602,2.4152,2.3464,2.4936,0.4547,2.3457,2.2814,59.9954,61.7427,60.8181,70.9862,14.6789,14.3349,0.0,0.0,62.1732,2.2907,2.5592,2.8165,0.3805,0.4632,0.5554,2.1904,2.4173,2.6543,2.1238,2.3538,2.5808,2.2626,2.5032,2.744,0.3687,0.4532,0.5478,2.1311,2.3447,2.5701,2.0764,2.2735,2.5011,59.7889,59.9901,60.2028,61.5941,61.7395,61.8913,60.6609,60.8138,60.9637
en_XX_tr_TR_supervised,23.7325,8.0039,20.6726,20.6516,23.6169,8.0013,20.6298,20.5887,74.2494,72.3002,73.2092,0.0,0.0001,0.0,0.0,99.9999,20.2431,22.7326,23.6896,24.7527,7.3663,8.0289,8.742,19.7394,20.697,21.5326,19.724,20.6308,21.4973,22.7581,23.6681,24.6421,7.3154,8.0086,8.7131,19.7651,20.6356,21.5434,19.7584,20.5818,21.4568,73.9325,74.2582,74.5951,71.9834,72.2886,72.6161,72.9147,73.2009,73.5221
en_tr_translated_nllb,20.8648,5.5191,18.6551,18.6,20.7124,5.4787,18.5378,18.4688,73.931,72.3829,73.0993,0.129,0.1165,0.0,0.0,99.7546,19.6812,20.1028,20.8585,21.6103,5.0697,5.5345,6.0028,17.9758,18.6685,19.3517,17.889,18.5781,19.3106,19.9569,20.7329,21.5703,4.9811,5.4929,5.9419,17.8406,18.5245,19.1606,17.8164,18.4633,19.1634,73.6449,73.935,74.2376,72.0839,72.3764,72.6841,72.7997,73.0942,73.3742
es_Benchmark,38.3,15.37,32.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es_XX_en_XX_mono,2.3133,0.1384,2.1201,2.0943,2.0966,0.1363,1.9294,1.9035,65.1835,70.5693,67.7302,0.0557,99.9443,0.0,0.0,0.0,64.769,2.2728,2.314,2.3577,0.1254,0.1382,0.1541,2.0863,2.1209,2.1574,2.0612,2.0942,2.1333,2.0575,2.0966,2.136,0.1236,0.1367,0.1547,1.896,1.9296,1.9647,1.8733,1.905,1.9365,65.1407,65.1842,65.2289,70.5318,70.5698,70.607,67.6968,67.7303,67.7648
es_XX_en_XX_mono_adv_kldivloss,33.8104,10.8476,27.1383,27.1368,32.1774,10.3784,26.0066,26.0065,77.3041,75.8415,76.5079,99.5006,0.4698,0.0159,0.004,0.0097,26.2917,33.6554,33.8169,33.9922,10.7158,10.8466,10.9871,26.9936,27.1365,27.2921,26.9845,27.1418,27.3118,31.9983,32.1776,32.3439,10.2435,10.3739,10.5116,25.8517,26.0104,26.163,25.8455,26.0034,26.1539,77.2431,77.3035,77.3665,75.7749,75.8455,75.9118,76.4512,76.5069,76.5653
es_XX_en_XX_mono_adv_kldivloss_tuned,34.3779,11.1315,27.4625,27.4574,32.7191,10.6457,26.3198,26.3254,77.0927,76.0472,76.5088,99.5754,0.4108,0.0119,0.0001,0.0018,27.6842,34.2281,34.3917,34.5528,11.0011,11.1264,11.2632,27.3073,27.4616,27.6232,27.2911,27.4614,27.6197,32.5487,32.721,32.8861,10.5188,10.6476,10.7895,26.177,26.3275,26.4853,26.1716,26.3168,26.4776,77.0267,77.0919,77.1552,75.9833,76.0515,76.1161,76.4501,76.5088,76.567
es_XX_en_XX_supervised,38.4202,14.7607,31.4158,31.4219,36.492,14.052,30.0131,30.0215,79.3239,77.107,78.136,99.7667,0.1846,0.0206,0.0061,0.022,24.2771,38.2395,38.4277,38.625,14.6134,14.7621,14.9271,31.2479,31.4126,31.5807,31.2401,31.4148,31.5924,36.2985,36.4974,36.6805,13.8965,14.0537,14.2128,29.8383,30.0122,30.2067,29.8503,30.0193,30.1854,79.257,79.323,79.3915,77.0326,77.1086,77.1711,78.0754,78.137,78.2021
es_XX_ru_RU_mono,0.5713,0.1086,0.5396,0.512,0.568,0.1083,0.5381,0.5089,63.7295,65.6246,64.6343,0.0004,99.9309,0.0687,0.0,0.0,65.3609,0.5305,0.5711,0.6154,0.0954,0.1091,0.1258,0.5032,0.5405,0.5783,0.4766,0.5103,0.5468,0.5271,0.5669,0.6078,0.0935,0.1088,0.1241,0.501,0.5394,0.5718,0.4728,0.509,0.5459,63.6704,63.7287,63.7851,65.5788,65.6247,65.6701,64.5895,64.6353,64.6781
es_XX_ru_RU_mono_adv_kldivloss,17.6419,4.5019,14.8347,14.8216,17.6334,4.5018,14.8169,14.816,73.8355,72.8502,73.285,0.0,0.0,100.0,0.0,0.0,23.1049,17.3975,17.6301,17.8655,4.3601,4.5004,4.6399,14.6062,14.8436,15.0434,14.6019,14.8207,15.0285,17.4058,17.6269,17.8836,4.3618,4.4995,4.6534,14.6,14.8234,15.0484,14.5971,14.8161,15.0357,73.7451,73.835,73.9277,72.7569,72.8516,72.9423,73.2002,73.2861,73.3697
