,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len,rouge1_low_with_stemming,rouge1_mid_with_stemming,rouge1_high_with_stemming,rouge2_low_with_stemming,rouge2_mid_with_stemming,rouge2_high_with_stemming,rougeL_low_with_stemming,rougeL_mid_with_stemming,rougeL_high_with_stemming,rougeLsum_low_with_stemming,rougeLsum_mid_with_stemming,rougeLsum_high_with_stemming,rouge1_low_without_stemming,rouge1_mid_without_stemming,rouge1_high_without_stemming,rouge2_low_without_stemming,rouge2_mid_without_stemming,rouge2_high_without_stemming,rougeL_low_without_stemming,rougeL_mid_without_stemming,rougeL_high_without_stemming,rougeLsum_low_without_stemming,rougeLsum_mid_without_stemming,rougeLsum_high_without_stemming,bert_score_precision_low,bert_score_precision_mid,bert_score_precision_high,bert_score_recall_low,bert_score_recall_mid,bert_score_recall_high,bert_score_f1_low,bert_score_f1_mid,bert_score_f1_high
en_XX_tr_TR_mono_adv_kldivloss_tuned,2.7205,0.4651,2.4935,2.4439,2.6117,0.4571,2.4098,2.3555,60.2645,61.8376,60.9993,81.078,16.1697,2.7523,0.0,0.0,64.9404,2.423,2.7049,2.9909,0.3889,0.4705,0.5556,2.2846,2.504,2.7498,2.2188,2.4504,2.696,2.3703,2.6305,2.8933,0.3808,0.4598,0.5392,2.1723,2.4047,2.6324,2.125,2.3536,2.5875,60.0563,60.2621,60.4768,61.6826,61.835,61.9832,60.8404,60.9964,61.1485
en_XX_tr_TR_supervised,23.7325,8.0039,20.6726,20.6516,23.6169,8.0013,20.6298,20.5887,74.2494,72.3002,73.2092,0.0,0.0001,0.0,0.0,99.9999,20.2431,22.7326,23.6896,24.7527,7.3663,8.0289,8.742,19.7394,20.697,21.5326,19.724,20.6308,21.4973,22.7581,23.6681,24.6421,7.3154,8.0086,8.7131,19.7651,20.6356,21.5434,19.7584,20.5818,21.4568,73.9325,74.2582,74.5951,71.9834,72.2886,72.6161,72.9147,73.2009,73.5221
en_tr_translated_nllb,20.8648,5.5191,18.6551,18.6,20.7124,5.4787,18.5378,18.4688,73.931,72.3829,73.0993,0.129,0.1165,0.0,0.0,99.7546,19.6812,20.1028,20.8585,21.6103,5.0697,5.5345,6.0028,17.9758,18.6685,19.3517,17.889,18.5781,19.3106,19.9569,20.7329,21.5703,4.9811,5.4929,5.9419,17.8406,18.5245,19.1606,17.8164,18.4633,19.1634,73.6449,73.935,74.2376,72.0839,72.3764,72.6841,72.7997,73.0942,73.3742
es_Benchmark,38.3,15.37,32.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es_XX_en_XX_mono_adv_kldivloss_tuned,34.7671,11.3265,27.6299,27.6291,33.0891,10.8333,26.4849,26.4864,76.905,76.3446,76.5674,99.6808,0.3052,0.01,0.0001,0.0038,29.9444,34.6035,34.7651,34.9486,11.1958,11.3317,11.4506,27.4762,27.6303,27.7784,27.4719,27.6305,27.7931,32.9082,33.0904,33.2527,10.7056,10.8349,10.9675,26.3311,26.4854,26.6449,26.3328,26.4796,26.6442,76.8443,76.9047,76.9695,76.2836,76.3482,76.4117,76.5083,76.5672,76.6282
es_XX_en_XX_supervised,38.4202,14.7607,31.4158,31.4219,36.492,14.052,30.0131,30.0215,79.3239,77.107,78.136,99.7667,0.1846,0.0206,0.0061,0.022,24.2771,38.2395,38.4277,38.625,14.6134,14.7621,14.9271,31.2479,31.4126,31.5807,31.2401,31.4148,31.5924,36.2985,36.4974,36.6805,13.8965,14.0537,14.2128,29.8383,30.0122,30.2067,29.8503,30.0193,30.1854,79.257,79.323,79.3915,77.0326,77.1086,77.1711,78.0754,78.137,78.2021
es_XX_ru_RU_mono_adv_kldivloss_tuned,17.7915,4.4842,14.7536,14.7338,17.7917,4.4829,14.7412,14.7309,73.1027,73.245,73.1223,0.0,0.0114,99.9886,0.0,0.0,27.2214,17.5578,17.7967,18.0285,4.3377,4.488,4.6317,14.5099,14.75,14.9629,14.5153,14.73,14.9432,17.5608,17.7902,18.0468,4.3398,4.4826,4.6327,14.5421,14.7545,14.9598,14.5125,14.7327,14.9362,73.0141,73.1044,73.1943,73.1529,73.2457,73.3406,73.0409,73.1217,73.2031
es_XX_ru_RU_supervised,21.0575,6.1469,17.9992,17.9955,21.037,6.1492,18.0032,17.9929,76.4851,74.0061,75.1659,0.0,0.0,100.0,0.0,0.0,19.5963,20.7739,21.0407,21.3079,5.982,6.1478,6.3295,17.7398,18.0023,18.2368,17.7633,17.9941,18.2384,20.7599,21.0347,21.3102,5.9821,6.1478,6.3276,17.7485,18.0008,18.2515,17.7498,17.9912,18.2271,76.3879,76.4884,76.5848,73.8978,74.0068,74.116,75.0733,75.1676,75.2581
es_en_translated_nllb,37.8928,14.4687,31.1357,31.1349,35.9974,13.7654,29.7549,29.7622,79.3663,77.0797,78.1431,99.6716,0.2982,0.0128,0.0049,0.0123,23.8713,37.7185,37.9056,38.1009,14.3095,14.4634,14.622,30.9632,31.1399,31.3029,30.9597,31.1375,31.3219,35.8103,35.9918,36.1693,13.6161,13.7631,13.9154,29.585,29.7584,29.9285,29.5898,29.7646,29.9338,79.3056,79.3647,79.4291,77.0158,77.0793,77.1486,78.0831,78.143,78.203
es_ru_translated_nllb,16.6869,3.6632,14.4062,14.3759,16.6702,3.6596,14.4052,14.3808,75.0106,72.657,73.7646,0.0,0.0,100.0,0.0,0.0,19.4945,16.4328,16.6732,16.9009,3.539,3.663,3.7847,14.1867,14.4084,14.6181,14.1794,14.383,14.583,16.4683,16.6763,16.9031,3.5409,3.6594,3.7826,14.1864,14.3988,14.6006,14.1822,14.3891,14.586,74.9211,75.0097,75.101,72.5569,72.6535,72.7479,73.6773,73.7624,73.8484
