,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,gen_len
en_benchmark,37.601,15.1536,29.8817,,,,,,,,,,,,,
en_XX,39.4019,16.449,31.4423,31.4094,37.8321,15.9555,30.5466,30.5057,79.4981,77.0639,78.2241,99.9917,0.0083,0.0,0.0,17.1328
en_XX_multilingual,39.4086,16.4481,31.4554,31.4054,37.8321,15.9684,30.5882,30.5324,79.5439,77.1474,78.2886,99.9917,0.0083,0.0,0.0,17.1855
es_benchmark,31.5071,11.8767,24.0746,,,,,,,,,,,,,
es_XX,32.9859,12.0619,24.9833,24.9788,31.5716,11.6736,24.2373,24.2325,75.0078,71.8006,73.3092,0.0,100.0,0.0,0.0,19.2784
es_XX_multilingual,34.2214,13.0758,26.0874,26.0839,32.7016,12.6611,25.2652,25.2613,75.6504,72.3776,73.9194,0.0444,99.9556,0.0,0.0,19.2847
es_XX_tuned_10,27.2397,6.8759,19.8752,19.8737,26.0936,6.5547,19.2947,19.2922,70.3792,69.4873,69.841,1.7308,98.1952,0.0708,0.0032,24.8342
es_XX_tuned_100,29.4039,8.3231,21.5772,21.5746,28.1345,7.9954,20.9285,20.9248,72.4071,70.5278,71.3943,0.3384,99.6445,0.0164,0.0007,22.4252
es_XX_tuned_1000,30.9224,10.1041,23.2335,23.23,29.5801,9.7617,22.5191,22.5151,74.0086,71.014,72.4169,0.2541,99.744,0.0018,0.0001,19.2229
es_XX_tuned_10000,32.6846,11.4759,24.3523,24.349,31.2915,11.0904,23.6161,23.6127,74.2788,71.9426,73.0256,0.1903,99.8041,0.0054,0.0002,21.7349
es_XX_tuned_all,33.8915,12.7897,25.7282,25.7231,32.4476,12.4013,24.9372,24.9317,75.28,72.2411,73.6711,0.0298,99.9702,0.0,0.0,19.6643
es_XX_zero,7.6953,1.2422,6.8872,6.8827,7.0243,1.1843,6.3744,6.3693,58.5367,63.3011,60.7847,95.0097,4.9638,0.0254,0.0012,59.6046
es_translated,22.989,4.5225,16.9738,16.9701,21.9158,4.3077,16.4137,16.4097,68.8184,67.8608,68.2943,0.0,100.0,0.0,0.0,26.2947
gu_benchmark,21.9619,7.7417,19.86,,,,,,,,,,,,,
gu_IN,19.7517,6.5889,17.6767,17.6688,19.7517,6.5889,17.6767,17.6688,73.9052,72.2636,73.0207,0.0,0.0,0.0,100.0,17.3653
gu_IN_multilingual,4.5489,1.1003,4.1919,4.1875,4.5489,1.1003,4.1919,4.1875,56.4191,62.6054,59.2235,0.317,0.1152,8.1942,91.3736,43.3292
gu_IN_multilingual_tuned_gujarati,20.3509,6.9179,18.4384,18.4152,20.3509,6.9179,18.4384,18.4152,74.3235,72.3442,73.2678,0.0,0.0,0.0,100.0,16.0995
gu_IN_tuned_10,15.4657,4.2615,14.3282,14.3087,15.4657,4.2615,14.3282,14.3087,70.4033,68.8259,68.5592,3.1378,1.251,0.349,95.2622,12.2579
