,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len
en_Benchmark,37.601,15.1536,29.8817,,,,,,,,,,,,,,
en_XX,40.5253,17.4165,32.4709,32.4203,38.9188,16.9118,31.5465,31.4888,79.8726,77.6152,78.6922,99.9897,0.0103,0.0,0.0,0.0,17.3082
en_XX_baseline,40.3815,17.111,32.067,32.0142,38.7599,16.6077,31.1541,31.0941,79.4748,77.675,78.528,99.9912,0.0088,0.0,0.0,0.0,18.3019
en_XX_multiEnEsRu,40.3378,17.2492,32.1706,32.1299,38.7404,16.7322,31.2713,31.2236,79.5988,77.606,78.553,99.9899,0.0101,0.0,0.0,0.0,17.9669
en_XX_multiEnEsRu_adv_kldivloss,38.7105,15.879,30.7829,30.738,37.1082,15.3858,29.8674,29.8154,79.3631,76.876,78.0634,99.9791,0.0209,0.0,0.0,0.0,16.8361
en_XX_multiEnEsRu_adv_nll,39.6788,16.6853,31.6186,31.5708,38.0516,16.1779,30.7274,30.6729,79.5493,77.2777,78.3605,99.9999,0.0001,0.0,0.0,0.0,17.3516
es_Benchmark,31.5071,11.8767,24.0746,,,,,,,,,,,,,,
es_XX_baseline,34.6776,13.1532,26.1849,26.1797,33.1585,12.7518,25.3952,25.3899,75.5481,72.8577,74.1227,0.021,99.979,0.0,0.0,0.0,20.7046
es_XX_multiEnEsRu,34.3536,13.0362,26.1509,26.1464,32.7648,12.627,25.331,25.3262,75.5302,72.6437,74.002,0.042,99.9417,0.0,0.0,0.0163,19.9924
es_XX_multiEnEsRu_adv_kldivloss,34.1101,12.6762,25.8093,25.8041,32.5906,12.2496,25.0107,25.0042,75.5424,72.4304,73.8978,0.0239,99.9761,0.0,0.0,0.0,19.4805
es_XX_multiEnEsRu_adv_nll,34.1649,12.8441,26.0244,26.0184,32.6255,12.4393,25.2017,25.1952,75.5798,72.6035,74.0077,0.0299,99.9701,0.0,0.0,0.0,19.7342
es_XX_tuned_10,29.5532,8.3288,21.4426,21.444,28.0871,7.9885,20.7284,20.7284,72.66,70.9213,71.7294,0.021,99.979,0.0,0.0,0.0,23.2319
es_XX_tuned_100,30.4053,9.0391,22.1543,22.1541,28.8749,8.6606,21.3791,21.3786,73.0373,71.4021,72.1603,0.0,100.0,0.0,0.0,0.0,22.7443
es_XX_tuned_1000,32.1469,10.4479,23.6535,23.6485,30.5382,10.0477,22.8179,22.8107,73.9658,71.9751,72.9015,0.0,100.0,0.0,0.0,0.0,22.2053
es_XX_tuned_10000,33.4268,11.8154,24.7942,24.7904,31.919,11.4308,24.0054,24.0014,74.6094,72.2947,73.3722,0.0,100.0,0.0,0.0,0.0,21.8111
es_XX_tuned_all,34.3191,13.1865,26.1514,26.1474,32.8819,12.8074,25.3977,25.3924,75.9605,72.3696,74.0629,0.0,100.0,0.0,0.0,0.0,18.5034
es_XX_zero,8.2211,1.2354,6.5052,6.4942,7.2444,1.1617,5.8876,5.8757,64.4767,68.3257,66.3152,99.536,0.464,0.0,0.0,0.0,56.1057
es_translated,22.8867,4.3585,16.6634,16.6594,21.7834,4.141,16.0988,16.0946,68.3596,67.7264,68.0021,0.0,100.0,0.0,0.0,0.0,27.5945
gu_Benchmark,21.9619,7.7417,19.86,,,,,,,,,,,,,,
gu_IN_baseline,22.9122,8.2996,20.5285,20.4815,22.9122,8.2996,20.5285,20.4815,75.1167,73.6524,74.3272,0.0,0.0,0.0,100.0,0.0,16.9903
gu_IN_multiEnEsRu,18.0932,5.4092,15.9489,15.9275,18.0932,5.4092,15.9489,15.9275,73.0819,71.0018,71.9741,0.0,0.0,0.088,99.912,0.0,16.4921
gu_IN_multiEnEsRu_10,18.8693,5.6647,16.9052,16.8786,18.8693,5.6647,16.9052,16.8786,73.9449,71.649,72.7295,0.0,0.0,0.0,100.0,0.0,16.6092
gu_IN_multiEnEsRu_100,20.2478,6.1576,17.9777,17.979,20.2478,6.1576,17.9777,17.979,74.1754,72.6505,73.3598,0.0,0.0,0.0,100.0,0.0,17.7773
gu_IN_multiEnEsRu_1000,21.379,6.945,18.921,18.8986,21.379,6.945,18.921,18.8986,74.6779,73.084,73.8197,0.0,0.0,0.0,100.0,0.0,17.0563
gu_IN_multiEnEsRu_adv_kldivloss,0.2151,0.0101,0.213,0.134,0.2151,0.0101,0.213,0.134,57.7862,58.464,58.1101,32.7465,0.3521,66.9014,0.0,0.0,58.0511
gu_IN_multiEnEsRu_adv_kldivloss_10,19.0234,5.008,17.1806,17.1897,19.0234,5.008,17.1806,17.1897,74.672,70.6287,72.549,0.0,0.0,0.0,100.0,0.0,12.6285
gu_IN_multiEnEsRu_adv_kldivloss_100,19.2673,5.4386,17.0373,17.0212,19.2673,5.4386,17.0373,17.0212,73.873,71.8749,72.8101,0.0,0.0,0.0,100.0,0.0,15.7271
gu_IN_multiEnEsRu_adv_kldivloss_1000,20.8293,6.6301,18.547,18.5418,20.8293,6.6301,18.547,18.5418,74.6283,72.7793,73.647,0.0,0.0,0.0,100.0,0.0,15.8838
gu_IN_multiEnEsRu_adv_kldivloss_all,22.28,7.7806,20.0575,20.055,22.28,7.7806,20.0575,20.055,75.2912,73.3346,74.2533,0.0,0.0,0.0,100.0,0.0,15.596
gu_IN_multiEnEsRu_adv_nll,10.9753,2.8068,9.1068,9.0612,10.9753,2.8068,9.1068,9.0612,65.7483,67.868,66.7221,0.6162,0.0,28.2448,71.1391,0.0,29.404
gu_IN_multiEnEsRu_all,23.3274,8.5095,21.0811,21.0379,23.3274,8.5095,21.0811,21.0379,75.8829,73.5274,74.6375,0.0,0.0,0.0,100.0,0.0,15.0308
gu_IN_tuned_10,18.8491,5.3208,16.5886,16.5826,18.8491,5.3208,16.5886,16.5826,73.5467,71.482,72.4565,0.0,0.0,0.0,100.0,0.0,16.9974
