,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len
en_Benchmark,37.601,15.1536,29.8817,,,,,,,,,,,,,,
en_XX,39.9756,16.7766,31.7634,31.711,38.3921,16.2659,30.8716,30.8129,79.4647,77.5154,78.4415,99.9906,0.0094,0.0,0.0,0.0,18.0138
en_XX_baseline,40.3815,17.111,32.067,32.0142,38.7599,16.6077,31.1541,31.0941,79.4748,77.675,78.528,99.9912,0.0088,0.0,0.0,0.0,18.3019
es_Benchmark,31.5071,11.8767,24.0746,,,,,,,,,,,,,,
es_XX_baseline,34.6776,13.1532,26.1849,26.1797,33.1585,12.7518,25.3952,25.3899,75.5481,72.8577,74.1227,0.021,99.979,0.0,0.0,0.0,20.7046
es_XX_tuned_10,29.0702,8.2351,21.2275,21.2278,27.6392,7.889,20.5019,20.5019,72.6217,70.819,71.6585,0.105,99.895,0.0,0.0,0.0,22.6298
es_XX_tuned_100,30.9608,9.4588,22.7695,22.7655,29.4159,9.0544,21.9837,21.9795,73.5873,71.4932,72.4747,0.0841,99.9159,0.0,0.0,0.0,21.4998
es_XX_tuned_1000,32.2457,10.7315,23.8019,23.796,30.7545,10.3518,23.0395,23.0335,74.0672,71.9428,72.9297,0.105,99.895,0.0,0.0,0.0,21.7763
es_XX_tuned_10000,33.3459,11.8185,24.909,24.9058,31.7891,11.4078,24.0636,24.0601,74.6652,72.2143,73.3557,0.1051,99.8949,0.0,0.0,0.0,21.1994
es_XX_tuned_all,34.1907,13.0574,26.1536,26.1523,32.785,12.6863,25.4165,25.4149,75.9674,72.2067,73.9823,0.0,99.9837,0.0,0.0,0.0163,18.0681
es_XX_zero,30.0053,8.759,22.038,22.0345,28.5019,8.4088,21.2971,21.2934,73.5053,70.7777,72.0666,0.1681,99.8319,0.0,0.0,0.0,20.5189
es_translated,22.8867,4.3585,16.6634,16.6594,21.7834,4.141,16.0988,16.0946,68.3596,67.7264,68.0021,0.0,100.0,0.0,0.0,0.0,27.5945
gu_Benchmark,21.9619,7.7417,19.86,,,,,,,,,,,,,,
gu_IN_baseline,22.9122,8.2996,20.5285,20.4815,22.9122,8.2996,20.5285,20.4815,75.1167,73.6524,74.3272,0.0,0.0,0.0,100.0,0.0,16.9903
gu_IN_tuned_10,18.7863,5.392,17.0066,16.977,18.7863,5.392,17.0066,16.977,74.117,71.2384,72.6041,0.0,0.0,0.0,100.0,0.0,14.7535
gu_IN_tuned_100,19.5896,5.7594,17.6127,17.6215,19.5896,5.7594,17.6127,17.6215,74.1707,72.1158,73.082,0.0,0.0,0.0,100.0,0.0,16.2896
gu_IN_tuned_1000,20.4861,6.6019,18.2678,18.2787,20.4861,6.6019,18.2678,18.2787,74.3309,72.7583,73.4892,0.0,0.0,0.0,100.0,0.0,16.7033
gu_IN_zero,17.8833,5.4516,16.2956,16.3004,17.8833,5.4516,16.2956,16.3004,73.3984,70.5775,71.9028,0.0,0.0,0.0,100.0,0.0,13.9842
gu_translated,2.4667,0.2988,2.3425,2.3197,2.4667,0.2988,2.3425,2.3197,64.5039,64.0864,64.2494,2.6932,0.0266,2.4761,94.4928,0.3113,16.6391
ru_Benchmark,32.2164,13.6386,26.1689,,,,,,,,,,,,,,
ru_RU_baseline,35.3622,15.3592,28.3893,28.3775,27.7893,12.1817,23.4437,23.4284,76.6683,73.6228,75.0549,0.0,0.0,100.0,0.0,0.0,18.1241
ru_RU_tuned_10,29.9007,10.6522,23.6513,23.6448,22.6711,8.1024,18.9569,18.9482,75.0291,71.5215,73.1787,0.0,0.0,100.0,0.0,0.0,16.7248
ru_RU_tuned_100,30.8748,11.6009,24.2123,24.2084,23.645,8.818,19.557,19.551,74.8959,72.1252,73.4304,0.0,0.0,100.0,0.0,0.0,18.6359
ru_RU_tuned_1000,31.0154,11.718,24.2631,24.2578,23.9033,9.0338,19.747,19.7379,74.2392,72.5568,73.3328,0.0,0.0,100.0,0.0,0.0,20.6561
ru_RU_tuned_10000,31.5565,12.2544,24.574,24.5658,24.6414,9.5678,20.2185,20.2063,73.7577,73.0047,73.3237,0.0,0.0,100.0,0.0,0.0,22.7735
ru_RU_zero,30.2332,10.9113,23.9173,23.9138,22.9204,8.2747,19.1797,19.174,75.6201,71.3204,73.3553,0.0,0.0,100.0,0.0,0.0,15.4725
ru_translated,26.3622,8.4738,21.2294,21.2274,19.3631,6.1512,16.5599,16.5533,74.765,70.2947,72.4084,0.1286,0.0,99.8714,0.0,0.0,14.7177
