,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len
en_Benchmark,37.601,15.1536,29.8817,,,,,,,,,,,,,,
en_XX,36.9281,14.4731,29.2407,29.2009,35.3814,14.0037,28.3511,28.3062,78.7466,76.2683,77.4507,99.9953,0.0047,0.0,0.0,0.0,16.9049
en_XX_baseline,40.3815,17.111,32.067,32.0142,38.7599,16.6077,31.1541,31.0941,79.4748,77.675,78.528,99.9912,0.0088,0.0,0.0,0.0,18.3019
es_Benchmark,31.5071,11.8767,24.0746,,,,,,,,,,,,,,
es_XX_baseline,34.6776,13.1532,26.1849,26.1797,33.1585,12.7518,25.3952,25.3899,75.5481,72.8577,74.1227,0.021,99.979,0.0,0.0,0.0,20.7046
es_XX_zero,29.5383,8.5973,21.8168,21.812,28.0959,8.2512,21.0781,21.0733,73.3239,70.7025,71.9415,0.1261,99.8739,0.0,0.0,0.0,20.7897
es_translated,22.8867,4.3585,16.6634,16.6594,21.7834,4.141,16.0988,16.0946,68.3596,67.7264,68.0021,0.0,100.0,0.0,0.0,0.0,27.5945
gu_Benchmark,21.9619,7.7417,19.86,,,,,,,,,,,,,,
gu_IN_baseline,22.9122,8.2996,20.5285,20.4815,22.9122,8.2996,20.5285,20.4815,75.1167,73.6524,74.3272,0.0,0.0,0.0,100.0,0.0,16.9903
gu_IN_zero,10.8041,2.5392,9.0333,9.0005,10.8041,2.5392,9.0333,9.0005,64.7185,68.9122,66.6956,0.0,0.0,0.0,100.0,0.0,32.6752
gu_translated,2.4667,0.2988,2.3425,2.3197,2.4667,0.2988,2.3425,2.3197,64.5039,64.0864,64.2494,2.6932,0.0266,2.4761,94.4928,0.3113,16.6391
ru_Benchmark,32.2164,13.6386,26.1689,,,,,,,,,,,,,,
ru_RU_baseline,35.3622,15.3592,28.3893,28.3775,27.7893,12.1817,23.4437,23.4284,76.6683,73.6228,75.0549,0.0,0.0,100.0,0.0,0.0,18.1241
ru_RU_zero,28.8581,10.2978,23.0568,23.0474,21.8493,7.7756,18.4504,18.4382,75.0081,70.8204,72.7992,0.0,0.0,100.0,0.0,0.0,15.0226
ru_translated,26.3622,8.4738,21.2294,21.2274,19.3631,6.1512,16.5599,16.5533,74.765,70.2947,72.4084,0.1286,0.0,99.8714,0.0,0.0,14.7177
