,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len
en_Benchmark,37.601,15.1536,29.8817,,,,,,,,,,,,,,
en_XX,36.0916,13.6518,28.4545,28.4326,34.5282,13.2121,27.5794,27.5535,78.466,75.9206,77.1334,99.9906,0.0094,0.0,0.0,0.0,16.8354
en_XX_baseline,40.3815,17.111,32.067,32.0142,38.7599,16.6077,31.1541,31.0941,79.4748,77.675,78.528,99.9912,0.0088,0.0,0.0,0.0,18.3019
es_Benchmark,31.5071,11.8767,24.0746,,,,,,,,,,,,,,
es_XX_baseline,34.6776,13.1532,26.1849,26.1797,33.1585,12.7518,25.3952,25.3899,75.5481,72.8577,74.1227,0.021,99.979,0.0,0.0,0.0,20.7046
es_XX_tuned_10,27.2597,7.3808,20.1502,20.1488,25.8858,7.0914,19.4926,19.4909,72.3363,70.2456,71.2246,0.1215,99.8785,0.0,0.0,0.0,21.1901
es_XX_tuned_100,30.4334,9.1614,22.406,22.4029,28.9091,8.8106,21.6252,21.6218,73.4012,71.2538,72.2573,0.105,99.895,0.0,0.0,0.0,21.4242
es_XX_tuned_1000,31.231,10.2068,23.0828,23.0777,29.7511,9.8626,22.3515,22.3462,73.7267,71.6258,72.5984,0.1052,99.8948,0.0,0.0,0.0,21.7746
es_XX_tuned_10000,32.4341,11.098,24.1323,24.129,30.9698,10.7082,23.3727,23.369,74.1547,71.9285,72.959,0.1051,99.8949,0.0,0.0,0.0,21.8055
es_XX_zero,29.49,8.6469,21.7305,21.7279,27.9312,8.3005,20.9405,20.9376,73.032,70.7602,71.8288,0.105,99.895,0.0,0.0,0.0,21.2179
es_translated,22.8867,4.3585,16.6634,16.6594,21.7834,4.141,16.0988,16.0946,68.3596,67.7264,68.0021,0.0,100.0,0.0,0.0,0.0,27.5945
gu_Benchmark,21.9619,7.7417,19.86,,,,,,,,,,,,,,
gu_IN_baseline,22.9122,8.2996,20.5285,20.4815,22.9122,8.2996,20.5285,20.4815,75.1167,73.6524,74.3272,0.0,0.0,0.0,100.0,0.0,16.9903
gu_IN_zero,17.9715,5.2373,15.8456,15.8496,17.9715,5.2373,15.8456,15.8496,72.6841,71.6417,72.1021,0.0,0.0,0.0,100.0,0.0,17.8345
gu_translated,2.4667,0.2988,2.3425,2.3197,2.4667,0.2988,2.3425,2.3197,64.5039,64.0864,64.2494,2.6932,0.0266,2.4761,94.4928,0.3113,16.6391
ru_Benchmark,32.2164,13.6386,26.1689,,,,,,,,,,,,,,
ru_RU_baseline,35.3622,15.3592,28.3893,28.3775,27.7893,12.1817,23.4437,23.4284,76.6683,73.6228,75.0549,0.0,0.0,100.0,0.0,0.0,18.1241
ru_RU_tuned_10,28.1768,9.9504,22.1229,22.1145,21.2357,7.4161,17.6543,17.6426,73.7387,71.3415,72.4694,0.0,0.0,100.0,0.0,0.0,18.3735
ru_RU_zero,29.8066,11.0289,23.7105,23.7046,22.6584,8.3425,18.9945,18.9864,75.0717,71.226,73.0436,0.0,0.0,100.0,0.0,0.0,16.2725
ru_translated,26.3622,8.4738,21.2294,21.2274,19.3631,6.1512,16.5599,16.5533,74.765,70.2947,72.4084,0.1286,0.0,99.8714,0.0,0.0,14.7177
