,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len
en_Benchmark,37.601,15.1536,29.8817,,,,,,,,,,,,,,
en_XX,36.0387,13.6412,28.4377,28.4126,34.4821,13.1978,27.5665,27.5366,78.5129,75.8826,77.137,99.9907,0.0093,0.0,0.0,0.0,16.6873
en_XX_baseline,40.3815,17.111,32.067,32.0142,38.7599,16.6077,31.1541,31.0941,79.4748,77.675,78.528,99.9912,0.0088,0.0,0.0,0.0,18.3019
es_Benchmark,31.5071,11.8767,24.0746,,,,,,,,,,,,,,
es_XX_baseline,34.6776,13.1532,26.1849,26.1797,33.1585,12.7518,25.3952,25.3899,75.5481,72.8577,74.1227,0.021,99.979,0.0,0.0,0.0,20.7046
es_XX_tuned_10,27.2368,7.5314,20.1687,20.1681,25.8168,7.1989,19.4694,19.4685,72.4446,70.287,71.3014,0.105,99.895,0.0,0.0,0.0,20.0164
es_XX_tuned_100,30.0572,9.261,22.304,22.3013,28.607,8.9047,21.5772,21.5743,73.5888,71.0901,72.263,0.1051,99.8949,0.0,0.0,0.0,20.0168
es_XX_tuned_1000,31.1815,10.0317,22.9187,22.9129,29.6608,9.6823,22.1668,22.1608,73.6441,71.6117,72.5506,0.1051,99.8949,0.0,0.0,0.0,21.8971
es_XX_tuned_10000,32.3881,11.0673,24.0639,24.062,30.9388,10.6917,23.3009,23.2987,74.0298,71.9202,72.8943,0.105,99.895,0.0,0.0,0.0,21.9916
es_XX_zero,29.4009,8.7088,21.8026,21.8005,27.8569,8.3497,21.007,21.0046,73.0908,70.7468,71.8491,0.105,99.895,0.0,0.0,0.0,20.9645
es_translated,22.8867,4.3585,16.6634,16.6594,21.7834,4.141,16.0988,16.0946,68.3596,67.7264,68.0021,0.0,100.0,0.0,0.0,0.0,27.5945
gu_Benchmark,21.9619,7.7417,19.86,,,,,,,,,,,,,,
gu_IN_baseline,22.9122,8.2996,20.5285,20.4815,22.9122,8.2996,20.5285,20.4815,75.1167,73.6524,74.3272,0.0,0.0,0.0,100.0,0.0,16.9903
gu_IN_zero,17.7606,5.1516,15.8039,15.8029,17.7606,5.1516,15.8039,15.8029,72.8277,71.314,72.0098,0.0,0.0,0.0,100.0,0.0,16.4657
gu_translated,2.4667,0.2988,2.3425,2.3197,2.4667,0.2988,2.3425,2.3197,64.5039,64.0864,64.2494,2.6932,0.0266,2.4761,94.4928,0.3113,16.6391
ru_Benchmark,32.2164,13.6386,26.1689,,,,,,,,,,,,,,
ru_RU_baseline,35.3622,15.3592,28.3893,28.3775,27.7893,12.1817,23.4437,23.4284,76.6683,73.6228,75.0549,0.0,0.0,100.0,0.0,0.0,18.1241
ru_RU_tuned_10,28.2659,10.0513,22.325,22.3179,21.2688,7.4986,17.8111,17.8006,73.9754,71.2813,72.551,0.0,0.0,100.0,0.0,0.0,17.6851
ru_RU_tuned_100,29.4896,10.8289,23.0332,23.0247,22.5906,8.2423,18.6167,18.6049,73.7127,72.0498,72.8237,0.0,0.0,100.0,0.0,0.0,20.263
ru_RU_tuned_1000,29.7219,11.0776,23.2683,23.2642,22.853,8.4924,18.9157,18.9065,73.5859,72.1296,72.7945,0.0,0.0,100.0,0.0,0.0,20.5163
ru_RU_zero,29.7646,11.031,23.682,23.6762,22.6088,8.3375,18.9785,18.9712,75.1498,71.1621,73.0459,0.0,0.0,100.0,0.0,0.0,15.9065
ru_translated,26.3622,8.4738,21.2294,21.2274,19.3631,6.1512,16.5599,16.5533,74.765,70.2947,72.4084,0.1286,0.0,99.8714,0.0,0.0,14.7177
