,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len
en_Benchmark,37.601,15.1536,29.8817,,,,,,,,,,,,,,
en_XX,39.8949,16.9351,31.8574,31.8079,38.3106,16.4593,30.9766,30.923,79.5995,77.4283,78.4631,99.9918,0.0082,0.0,0.0,0.0,17.4644
en_XX_baseline,40.3815,17.111,32.067,32.0142,38.7599,16.6077,31.1541,31.0941,79.4748,77.675,78.528,99.9912,0.0088,0.0,0.0,0.0,18.3019
en_XX_multiEnEsRu,39.9117,16.8689,31.8541,31.8083,38.3073,16.3742,30.9434,30.8927,79.6244,77.3918,78.4544,99.9985,0.0015,0.0,0.0,0.0,17.6149
es_Benchmark,31.5071,11.8767,24.0746,,,,,,,,,,,,,,
es_XX_baseline,34.6776,13.1532,26.1849,26.1797,33.1585,12.7518,25.3952,25.3899,75.5481,72.8577,74.1227,0.021,99.979,0.0,0.0,0.0,20.7046
es_XX_multiEnEsRu,34.1964,12.8612,26.0555,26.0504,32.6831,12.4554,25.2374,25.232,75.5422,72.4002,73.8787,0.0515,99.9485,0.0,0.0,0.0,19.5118
es_XX_tuned_10,29.7756,8.4468,21.4929,21.4895,28.3557,8.1141,20.7862,20.7826,72.6058,71.1328,71.8131,0.105,99.895,0.0,0.0,0.0,24.2141
es_XX_tuned_100,30.7045,9.2829,22.4258,22.4235,29.2479,8.9247,21.7172,21.7152,73.1949,71.4364,72.2532,0.0208,99.9792,0.0,0.0,0.0,22.4933
es_XX_tuned_1000,32.0733,10.5932,23.6971,23.6932,30.5399,10.2045,22.9056,22.9018,74.0161,71.9558,72.9148,0.0,100.0,0.0,0.0,0.0,22.1368
es_XX_tuned_10000,33.4583,11.8003,24.7837,24.7795,31.9946,11.4022,24.0256,24.0212,74.5713,72.2718,73.3402,0.0422,99.9578,0.0,0.0,0.0,21.9689
es_XX_tuned_all,34.308,13.0876,26.2109,26.2085,32.9183,12.698,25.457,25.4532,75.9372,72.3009,74.0162,0.0,99.9837,0.0,0.0,0.0163,18.37
es_XX_zero,17.6057,4.0201,13.2446,13.2403,16.3885,3.8142,12.5439,12.5372,68.5873,68.3372,68.3906,54.9921,45.0079,0.0,0.0,0.0,28.7349
es_translated,22.8867,4.3585,16.6634,16.6594,21.7834,4.141,16.0988,16.0946,68.3596,67.7264,68.0021,0.0,100.0,0.0,0.0,0.0,27.5945
gu_Benchmark,21.9619,7.7417,19.86,,,,,,,,,,,,,,
gu_IN_baseline,22.9122,8.2996,20.5285,20.4815,22.9122,8.2996,20.5285,20.4815,75.1167,73.6524,74.3272,0.0,0.0,0.0,100.0,0.0,16.9903
gu_IN_multiEnEsRu,18.704,5.315,16.0944,16.1061,18.704,5.315,16.0944,16.1061,72.2555,72.2883,72.2219,0.0,0.0,0.0,100.0,0.0,24.1963
gu_IN_multiEnEsRu_10,19.2364,5.8336,16.9789,16.9639,19.2364,5.8336,16.9789,16.9639,73.5751,71.9692,72.7172,0.0,0.0,0.0,100.0,0.0,18.1408
gu_IN_multiEnEsRu_100,19.4323,5.7611,17.0449,17.055,19.4323,5.7611,17.0449,17.055,73.6464,72.6709,73.1073,0.0,0.0,0.0,100.0,0.0,19.1056
gu_IN_multiEnEsRu_1000,21.2147,6.9701,18.8363,18.8209,21.2147,6.9701,18.8363,18.8209,74.6201,73.1493,73.8316,0.0,0.0,0.0,100.0,0.0,17.1021
gu_IN_multiEnEsRu_all,22.6016,8.1776,20.4052,20.4011,22.6016,8.1776,20.4052,20.4011,75.6123,73.1781,74.3302,0.0,0.0,0.0,100.0,0.0,15.0123
gu_IN_tuned_10,18.4881,5.0401,16.2112,16.2135,18.4881,5.0401,16.2112,16.2135,73.2867,71.5262,72.3532,0.0,0.0,0.0,100.0,0.0,17.5387
gu_IN_tuned_100,19.2104,5.4255,16.9132,16.9133,19.2104,5.4255,16.9132,16.9133,73.5447,72.2275,72.8348,0.0,0.0,0.0,100.0,0.0,18.1479
gu_IN_tuned_1000,20.247,6.3474,17.8757,17.862,20.247,6.3474,17.8757,17.862,74.1759,72.6709,73.3679,0.0,0.0,0.0,100.0,0.0,17.1268
gu_IN_tuned_all,22.297,7.7403,20.0879,20.0571,22.297,7.7403,20.0879,20.0571,75.2674,72.8931,74.012,0.0,0.0,0.0,100.0,0.0,15.0827
gu_IN_zero,15.8287,4.2825,13.8239,13.8198,15.8287,4.2825,13.8239,13.8198,70.9396,69.8588,70.3333,2.5309,0.0,0.0,97.4691,0.0,19.2993
gu_translated,2.4667,0.2988,2.3425,2.3197,2.4667,0.2988,2.3425,2.3197,64.5039,64.0864,64.2494,2.6932,0.0266,2.4761,94.4928,0.3113,16.6391
ru_Benchmark,32.2164,13.6386,26.1689,,,,,,,,,,,,,,
ru_RU_baseline,35.3622,15.3592,28.3893,28.3775,27.7893,12.1817,23.4437,23.4284,76.6683,73.6228,75.0549,0.0,0.0,100.0,0.0,0.0,18.1241
ru_RU_multiEnEsRu,35.1181,15.3051,28.413,28.4032,27.6587,12.1882,23.5426,23.5288,76.8594,73.2639,74.9551,0.0,0.0,100.0,0.0,0.0,17.2879
ru_RU_tuned_10,29.5201,10.0908,23.2001,23.1886,22.2516,7.5469,18.4907,18.4775,74.9863,71.5023,73.1545,0.0,0.0,100.0,0.0,0.0,17.1062
ru_RU_tuned_100,30.2856,10.8078,23.3691,23.3606,23.1852,8.1958,18.9305,18.9197,74.1503,72.2536,73.1396,0.0,0.0,100.0,0.0,0.0,20.4065
ru_RU_tuned_1000,30.8343,11.4595,23.9702,23.9643,23.7883,8.7742,19.5094,19.5008,73.815,72.6927,73.1936,0.0,0.0,100.0,0.0,0.0,22.1096
ru_RU_tuned_10000,31.5819,12.1614,24.4708,24.4602,24.5845,9.427,20.0553,20.0433,73.5474,73.1269,73.2812,0.0,0.0,100.0,0.0,0.0,23.6968
ru_RU_tuned_all,34.8524,14.9603,27.8435,27.8321,27.4374,11.8774,23.0588,23.0433,76.0937,73.6509,74.7938,0.0,0.0,100.0,0.0,0.0,19.1064
ru_RU_zero,18.9114,5.8931,14.9199,14.9068,13.9325,4.2216,11.6344,11.619,72.1812,68.4157,70.203,16.9909,0.0,83.0091,0.0,0.0,17.0144
ru_translated,26.3622,8.4738,21.2294,21.2274,19.3631,6.1512,16.5599,16.5533,74.765,70.2947,72.4084,0.1286,0.0,99.8714,0.0,0.0,14.7177
