,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len
en_Benchmark,37.601,15.1536,29.8817,,,,,,,,,,,,,,
en_XX,40.6396,17.5996,32.5729,32.5336,39.0301,17.0855,31.6608,31.614,79.9633,77.6494,78.7528,99.9832,0.0168,0.0,0.0,0.0,17.2896
en_XX_baseline,40.3815,17.111,32.067,32.0142,38.7599,16.6077,31.1541,31.0941,79.4748,77.675,78.528,99.9912,0.0088,0.0,0.0,0.0,18.3019
en_XX_multiEnEsRu,40.5022,17.3571,32.3445,32.2921,38.919,16.8697,31.4394,31.3818,79.6694,77.6451,78.6067,99.9919,0.0081,0.0,0.0,0.0,17.9656
es_Benchmark,31.5071,11.8767,24.0746,,,,,,,,,,,,,,
es_XX_baseline,34.6776,13.1532,26.1849,26.1797,33.1585,12.7518,25.3952,25.3899,75.5481,72.8577,74.1227,0.021,99.979,0.0,0.0,0.0,20.7046
es_XX_multiEnEsRu,34.5897,13.25,26.2937,26.2867,33.0072,12.8199,25.4513,25.444,75.6411,72.6762,74.0715,0.0,100.0,0.0,0.0,0.0,19.8313
es_XX_tuned_10,29.1914,8.0428,20.9733,20.9774,27.6779,7.7154,20.22,20.2236,72.3266,70.8593,71.5356,0.063,99.937,0.0,0.0,0.0,23.8668
es_XX_tuned_100,30.501,9.1126,22.1125,22.1131,29.0765,8.7377,21.3931,21.3932,72.9921,71.3728,72.1243,0.0,100.0,0.0,0.0,0.0,22.8267
es_XX_tuned_1000,32.3799,10.7561,23.8123,23.806,30.8703,10.3685,23.0251,23.0192,74.0361,71.9951,72.9461,0.0,100.0,0.0,0.0,0.0,21.9168
es_XX_tuned_10000,33.4189,11.6691,24.677,24.6716,31.9251,11.2955,23.8972,23.8907,74.5338,72.2107,73.2917,0.0,100.0,0.0,0.0,0.0,21.7368
es_XX_tuned_all,34.2596,13.1462,26.0963,26.0887,32.8092,12.7422,25.3312,25.3234,75.9206,72.3263,74.0215,0.0,100.0,0.0,0.0,0.0,18.4174
es_XX_zero,8.6693,1.3804,6.8137,6.8063,7.7447,1.3104,6.2344,6.2253,64.4423,68.4,66.3328,99.4379,0.5621,0.0,0.0,0.0,56.7095
es_translated,22.8867,4.3585,16.6634,16.6594,21.7834,4.141,16.0988,16.0946,68.3596,67.7264,68.0021,0.0,100.0,0.0,0.0,0.0,27.5945
gu_Benchmark,21.9619,7.7417,19.86,,,,,,,,,,,,,,
gu_IN_baseline,22.9122,8.2996,20.5285,20.4815,22.9122,8.2996,20.5285,20.4815,75.1167,73.6524,74.3272,0.0,0.0,0.0,100.0,0.0,16.9903
gu_IN_multiEnEsRu,14.2166,3.1427,11.178,11.2136,14.2166,3.1427,11.178,11.2136,63.55,70.6405,66.8719,0.0,0.0,0.0,100.0,0.0,64.0211
gu_IN_multiEnEsRu_10,18.6215,5.3479,16.543,16.5078,18.6215,5.3479,16.543,16.5078,73.7745,71.7907,72.7231,0.0,0.0,0.0,100.0,0.0,17.1127
gu_IN_multiEnEsRu_100,20.2933,6.1426,17.8022,17.8112,20.2933,6.1426,17.8022,17.8112,74.2158,72.5977,73.3533,0.0,0.0,0.0,100.0,0.0,17.3644
gu_IN_multiEnEsRu_1000,21.1243,6.6182,18.5971,18.5742,21.1243,6.6182,18.5971,18.5742,74.4788,73.0834,73.7268,0.0,0.0,0.0,100.0,0.0,17.3275
gu_IN_multiEnEsRu_all,22.8346,8.0363,20.6132,20.5827,22.8346,8.0363,20.6132,20.5827,75.6119,73.1553,74.3137,0.0,0.0,0.0,100.0,0.0,15.1215
gu_IN_tuned_10,17.5621,4.8256,15.7192,15.7097,17.5621,4.8256,15.7192,15.7097,73.4442,70.8915,72.1002,0.0,0.0,0.0,100.0,0.0,15.2773
gu_IN_tuned_100,19.4445,5.8684,17.2473,17.2543,19.4445,5.8684,17.2473,17.2543,74.0097,72.2424,73.0705,0.0,0.0,0.0,100.0,0.0,16.5238
gu_IN_tuned_1000,20.5027,6.3453,18.1413,18.1262,20.5027,6.3453,18.1413,18.1262,74.3896,72.6877,73.4798,0.0,0.0,0.0,100.0,0.0,16.507
gu_IN_tuned_all,22.5391,7.9067,20.4096,20.3961,22.5391,7.9067,20.4096,20.3961,75.4876,73.1359,74.2455,0.0,0.0,0.0,100.0,0.0,15.0827
gu_IN_zero,12.8585,2.6956,10.0854,10.097,12.8585,2.6956,10.0854,10.097,62.877,69.9018,66.1626,0.0,0.0,0.0,100.0,0.0,58.2095
gu_translated,2.4667,0.2988,2.3425,2.3197,2.4667,0.2988,2.3425,2.3197,64.5039,64.0864,64.2494,2.6932,0.0266,2.4761,94.4928,0.3113,16.6391
ru_Benchmark,32.2164,13.6386,26.1689,,,,,,,,,,,,,,
ru_RU_baseline,35.3622,15.3592,28.3893,28.3775,27.7893,12.1817,23.4437,23.4284,76.6683,73.6228,75.0549,0.0,0.0,100.0,0.0,0.0,18.1241
ru_RU_multiEnEsRu,35.3883,15.5762,28.5585,28.5484,28.0706,12.4527,23.7502,23.7377,76.834,73.4822,75.0581,0.0,0.0,100.0,0.0,0.0,17.7643
ru_RU_tuned_10,29.243,9.9814,22.982,22.9761,21.8784,7.3442,18.1815,18.1703,74.9192,71.1962,72.9597,0.0386,0.0,99.9614,0.0,0.0,16.424
ru_RU_tuned_100,30.2655,10.8066,23.3449,23.3364,23.0833,8.1267,18.8151,18.8026,74.2008,72.1637,73.1179,0.0,0.0,100.0,0.0,0.0,19.9357
ru_RU_tuned_1000,30.8127,11.448,23.8801,23.8763,23.7038,8.8123,19.4416,19.4339,73.7216,72.7213,73.1637,0.0,0.0,100.0,0.0,0.0,22.133
ru_RU_tuned_10000,31.6976,12.2501,24.5177,24.5071,24.708,9.4948,20.1614,20.149,73.5708,73.1433,73.3015,0.0,0.0,100.0,0.0,0.0,23.5525
ru_RU_tuned_all,35.3183,15.3964,28.37,28.3621,27.8112,12.2567,23.4748,23.4631,76.5149,73.6709,75.0069,0.0,0.0,100.0,0.0,0.0,18.1331
ru_RU_zero,21.3753,6.3829,15.5928,15.585,16.2226,4.5619,12.4112,12.4003,66.6945,69.9851,68.2673,5.8606,0.0,94.1394,0.0,0.0,43.4322
ru_translated,26.3622,8.4738,21.2294,21.2274,19.3631,6.1512,16.5599,16.5533,74.765,70.2947,72.4084,0.1286,0.0,99.8714,0.0,0.0,14.7177
