,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len
en_Benchmark,37.601,15.1536,29.8817,,,,,,,,,,,,,,
en_XX,38.8536,16.1452,30.9202,30.8883,37.2668,15.6678,30.0119,29.9747,79.2585,77.0739,78.1143,99.983,0.017,0.0,0.0,0.0,17.5376
en_XX_baseline,40.3815,17.111,32.067,32.0142,38.7599,16.6077,31.1541,31.0941,79.4748,77.675,78.528,99.9912,0.0088,0.0,0.0,0.0,18.3019
en_XX_multiEnEsRu,36.7956,14.1951,29.0056,28.9778,35.2465,13.745,28.1102,28.0765,78.6506,76.2424,77.3911,99.9919,0.0081,0.0,0.0,0.0,17.0705
es_Benchmark,31.5071,11.8767,24.0746,,,,,,,,,,,,,,
es_XX_baseline,34.6776,13.1532,26.1849,26.1797,33.1585,12.7518,25.3952,25.3899,75.5481,72.8577,74.1227,0.021,99.979,0.0,0.0,0.0,20.7046
es_XX_multiEnEsRu,31.6223,10.5711,23.7199,23.7199,30.271,10.2285,23.0166,23.0163,74.0705,71.353,72.6339,0.0,100.0,0.0,0.0,0.0,20.1475
es_XX_tuned_10,27.5893,6.9195,19.9916,19.9862,26.1522,6.5662,19.2673,19.2617,72.3327,69.7584,70.9786,0.5252,99.4748,0.0,0.0,0.0,21.5078
es_XX_tuned_100,29.1822,7.9855,21.191,21.1921,27.7725,7.6491,20.462,20.4622,72.8479,70.6151,71.6693,0.0,100.0,0.0,0.0,0.0,21.0763
es_XX_tuned_1000,30.6972,9.2708,22.4796,22.4772,29.3302,8.9424,21.8274,21.8241,73.4139,71.2747,72.2755,0.0,100.0,0.0,0.0,0.0,21.9534
es_XX_tuned_10000,32.1667,10.5621,23.6863,23.6829,30.7116,10.2205,22.9508,22.9472,73.9399,71.6943,72.7403,0.0,100.0,0.0,0.0,0.0,21.8813
es_XX_tuned_all,33.2264,12.2882,25.3669,25.3608,31.8305,11.9111,24.6143,24.608,75.4793,71.9578,73.6206,0.0,100.0,0.0,0.0,0.0,18.4574
es_XX_zero,6.5333,0.6988,5.2911,5.2802,5.6194,0.6389,4.6994,4.6884,62.4455,67.4988,64.851,100.0,0.0,0.0,0.0,0.0,67.9704
es_translated,22.8867,4.3585,16.6634,16.6594,21.7834,4.141,16.0988,16.0946,68.3596,67.7264,68.0021,0.0,100.0,0.0,0.0,0.0,27.5945
gu_Benchmark,21.9619,7.7417,19.86,,,,,,,,,,,,,,
gu_IN_baseline,22.9122,8.2996,20.5285,20.4815,22.9122,8.2996,20.5285,20.4815,75.1167,73.6524,74.3272,0.0,0.0,0.0,100.0,0.0,16.9903
gu_IN_multiEnEsRu,0.1137,0.0024,0.1116,0.0772,0.1137,0.0024,0.1116,0.0772,57.5095,58.6955,58.0848,0.3521,0.0,99.6479,0.0,0.0,51.0458
gu_IN_multiEnEsRu_10,13.1757,1.9794,12.206,12.2111,13.1757,1.9794,12.206,12.2111,71.5543,68.0774,69.7295,0.0,0.0,0.0,100.0,0.0,12.2562
gu_IN_multiEnEsRu_100,15.7646,3.319,14.1558,14.1722,15.7646,3.319,14.1558,14.1722,72.9352,70.3345,71.5705,0.0,0.0,0.0,100.0,0.0,13.9032
gu_IN_multiEnEsRu_1000,17.5712,4.5621,15.7638,15.7647,17.5712,4.5621,15.7638,15.7647,73.4352,71.3855,72.3579,0.0,0.0,0.0,100.0,0.0,15.1479
gu_IN_multiEnEsRu_all,19.3578,6.0754,17.5903,17.6155,19.3578,6.0754,17.5903,17.6155,74.0666,72.1826,73.0693,0.0,0.0,0.0,100.0,0.0,15.3812
gu_IN_tuned_10,12.2329,1.8329,11.4078,11.4036,12.2329,1.8329,11.4078,11.4036,71.3251,67.6487,69.3951,0.2641,0.0,0.0,99.7359,0.0,11.941
gu_IN_tuned_100,15.8933,3.388,14.2861,14.311,15.8933,3.388,14.2861,14.311,72.9203,70.3528,71.5734,0.0,0.0,0.0,100.0,0.0,14.4384
gu_IN_tuned_1000,17.6779,4.7582,15.7923,15.824,17.6779,4.7582,15.7923,15.824,73.3246,71.4817,72.3521,0.0,0.0,0.0,100.0,0.0,15.9463
