,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len
en_Benchmark,37.601,15.1536,29.8817,,,,,,,,,,,,,,
en_XX,39.9203,16.6539,31.7201,31.6717,38.2915,16.1255,30.7892,30.7357,79.4522,77.4849,78.4201,99.9976,0.0024,0.0,0.0,0.0,17.9735
en_XX_baseline,40.3815,17.111,32.067,32.0142,38.7599,16.6077,31.1541,31.0941,79.4748,77.675,78.528,99.9912,0.0088,0.0,0.0,0.0,18.3019
en_XX_multiEnEsRu,37.7635,14.8243,29.7633,29.722,36.1358,14.3314,28.8493,28.8021,79.0101,76.5725,77.7352,99.9899,0.0101,0.0,0.0,0.0,17.0288
es_Benchmark,31.5071,11.8767,24.0746,,,,,,,,,,,,,,
es_XX_baseline,34.6776,13.1532,26.1849,26.1797,33.1585,12.7518,25.3952,25.3899,75.5481,72.8577,74.1227,0.021,99.979,0.0,0.0,0.0,20.7046
es_XX_multiEnEsRu,34.3261,12.9581,26.0236,26.0195,32.7567,12.5188,25.2026,25.1981,75.4283,72.6108,73.9359,0.0,99.9837,0.0,0.0,0.0163,20.1882
es_XX_zero,29.9819,8.8692,22.1012,22.0952,28.5115,8.5151,21.347,21.3408,73.5381,70.7963,72.0895,0.291,99.709,0.0,0.0,0.0,20.2838
es_translated,22.8867,4.3585,16.6634,16.6594,21.7834,4.141,16.0988,16.0946,68.3596,67.7264,68.0021,0.0,100.0,0.0,0.0,0.0,27.5945
gu_Benchmark,21.9619,7.7417,19.86,,,,,,,,,,,,,,
gu_IN_baseline,22.9122,8.2996,20.5285,20.4815,22.9122,8.2996,20.5285,20.4815,75.1167,73.6524,74.3272,0.0,0.0,0.0,100.0,0.0,16.9903
gu_IN_multiEnEsRu,18.8218,6.1395,16.9672,16.9269,18.8218,6.1395,16.9672,16.9269,74.233,71.2823,72.6713,0.0,0.0,0.0,100.0,0.0,13.8565
gu_IN_multiEnEsRu_10,19.2759,5.9414,17.1607,17.1565,19.2759,5.9414,17.1607,17.1565,73.8692,72.033,72.8924,0.0,0.0,0.0,100.0,0.0,16.6153
gu_IN_multiEnEsRu_100,20.3021,6.4698,18.0402,18.036,20.3021,6.4698,18.0402,18.036,74.2635,72.7066,73.4278,0.0,0.0,0.0,100.0,0.0,17.6743
gu_IN_multiEnEsRu_1000,20.9972,6.9804,18.789,18.779,20.9972,6.9804,18.789,18.779,74.5752,72.8523,73.6556,0.0,0.0,0.0,100.0,0.0,16.7588
gu_IN_multiEnEsRu_all,22.4746,8.0998,20.3286,20.3097,22.4746,8.0998,20.3286,20.3097,75.2934,73.2684,74.2155,0.0,0.0,0.0,100.0,0.0,15.6796
gu_IN_zero,11.1898,3.3305,10.1323,10.078,11.1898,3.3305,10.1323,10.078,69.0864,67.7792,68.3724,0.1467,0.0289,0.0002,99.824,0.0003,15.4657
gu_translated,2.4667,0.2988,2.3425,2.3197,2.4667,0.2988,2.3425,2.3197,64.5039,64.0864,64.2494,2.6932,0.0266,2.4761,94.4928,0.3113,16.6391
ru_Benchmark,32.2164,13.6386,26.1689,,,,,,,,,,,,,,
ru_RU_baseline,35.3622,15.3592,28.3893,28.3775,27.7893,12.1817,23.4437,23.4284,76.6683,73.6228,75.0549,0.0,0.0,100.0,0.0,0.0,18.1241
ru_RU_multiEnEsRu,33.9997,14.3508,27.2152,27.2046,26.5829,11.3019,22.4134,22.3994,76.2113,73.0853,74.5566,0.0,0.0,100.0,0.0,0.0,17.8984
ru_RU_zero,29.2099,10.2514,23.0277,23.0243,22.1369,7.7058,18.4167,18.41,74.8322,70.8709,72.7434,0.0257,0.0,99.9743,0.0,0.0,15.2149
ru_translated,26.3622,8.4738,21.2294,21.2274,19.3631,6.1512,16.5599,16.5533,74.765,70.2947,72.4084,0.1286,0.0,99.8714,0.0,0.0,14.7177
