,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len
en_Benchmark,37.601,15.1536,29.8817,,,,,,,,,,,,,,
en_XX,38.1518,15.1045,30.2121,30.1713,36.5729,14.6319,29.3018,29.2551,79.0302,76.7784,77.851,99.9999,0.0001,0.0,0.0,0.0,17.4113
en_XX_baseline,40.3815,17.111,32.067,32.0142,38.7599,16.6077,31.1541,31.0941,79.4748,77.675,78.528,99.9912,0.0088,0.0,0.0,0.0,18.3019
en_XX_multiEnEsRu,36.6,13.7647,28.7324,28.7101,34.993,13.2841,27.8102,27.7857,78.7296,76.032,77.3187,99.9998,0.0002,0.0,0.0,0.0,16.6592
es_Benchmark,31.5071,11.8767,24.0746,,,,,,,,,,,,,,
es_XX_baseline,34.6776,13.1532,26.1849,26.1797,33.1585,12.7518,25.3952,25.3899,75.5481,72.8577,74.1227,0.021,99.979,0.0,0.0,0.0,20.7046
es_XX_multiEnEsRu,33.283,12.0372,25.1544,25.1474,31.808,11.6421,24.3602,24.353,75.1863,71.9514,73.471,0.0423,99.9577,0.0,0.0,0.0,19.3693
es_XX_zero,29.9286,9.194,22.2652,22.2622,28.4075,8.8273,21.4603,21.4569,73.6667,70.8528,72.1814,0.1257,99.8743,0.0,0.0,0.0,19.9027
es_translated,22.8867,4.3585,16.6634,16.6594,21.7834,4.141,16.0988,16.0946,68.3596,67.7264,68.0021,0.0,100.0,0.0,0.0,0.0,27.5945
gu_Benchmark,21.9619,7.7417,19.86,,,,,,,,,,,,,,
gu_IN_baseline,22.9122,8.2996,20.5285,20.4815,22.9122,8.2996,20.5285,20.4815,75.1167,73.6524,74.3272,0.0,0.0,0.0,100.0,0.0,16.9903
gu_IN_multiEnEsRu,19.7847,6.8281,18.1209,18.1006,19.7847,6.8281,18.1209,18.1006,74.7772,71.7601,73.1761,0.0,0.0,0.0,100.0,0.0,14.3539
gu_IN_multiEnEsRu_10,18.7526,5.7744,17.0962,17.0442,18.7526,5.7744,17.0962,17.0442,74.3155,71.2479,72.6995,0.0,0.0,0.0,100.0,0.0,14.2174
gu_IN_multiEnEsRu_100,20.0554,6.2676,17.8851,17.8746,20.0554,6.2676,17.8851,17.8746,74.3036,72.437,73.3082,0.0,0.0,0.0,100.0,0.0,16.8697
gu_IN_multiEnEsRu_1000,20.5672,6.598,18.5949,18.549,20.5672,6.598,18.5949,18.549,74.5127,72.7124,73.5493,0.0,0.0,0.0,100.0,0.0,16.7685
gu_IN_multiEnEsRu_all,22.0818,7.7689,19.8968,19.8662,22.0818,7.7689,19.8968,19.8662,75.173,73.1327,74.0905,0.0,0.0,0.0,100.0,0.0,15.5361
gu_IN_zero,19.4496,6.2305,17.6944,17.6606,19.4496,6.2305,17.6944,17.6606,74.5261,71.419,72.8823,0.0,0.0,0.0,100.0,0.0,13.2861
gu_translated,2.4667,0.2988,2.3425,2.3197,2.4667,0.2988,2.3425,2.3197,64.5039,64.0864,64.2494,2.6932,0.0266,2.4761,94.4928,0.3113,16.6391
ru_Benchmark,32.2164,13.6386,26.1689,,,,,,,,,,,,,,
ru_RU_baseline,35.3622,15.3592,28.3893,28.3775,27.7893,12.1817,23.4437,23.4284,76.6683,73.6228,75.0549,0.0,0.0,100.0,0.0,0.0,18.1241
ru_RU_multiEnEsRu,33.0339,13.568,26.4808,26.474,25.6593,10.5802,21.6321,21.6221,76.0049,72.5756,74.1879,0.0,0.0,100.0,0.0,0.0,17.3107
ru_RU_zero,30.6495,11.6679,24.5025,24.4983,23.3543,8.9668,19.7476,19.7408,75.8836,71.3904,73.5121,0.0,0.0,100.0,0.0,0.0,15.0858
ru_translated,26.3622,8.4738,21.2294,21.2274,19.3631,6.1512,16.5599,16.5533,74.765,70.2947,72.4084,0.1286,0.0,99.8714,0.0,0.0,14.7177
