,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len
en_Benchmark,37.601,15.1536,29.8817,,,,,,,,,,,,,,
en_XX,39.3198,16.1845,31.2209,31.17,37.7201,15.6838,30.2945,30.2379,79.3084,77.2685,78.2391,99.9839,0.0161,0.0,0.0,0.0,17.8563
en_XX_baseline,40.3815,17.111,32.067,32.0142,38.7599,16.6077,31.1541,31.0941,79.4748,77.675,78.528,99.9912,0.0088,0.0,0.0,0.0,18.3019
en_XX_multiEnEsRu,37.3587,14.3737,29.4737,29.4435,35.7688,13.9013,28.5754,28.5394,78.9925,76.2808,77.5742,99.9998,0.0002,0.0,0.0,0.0,16.6782
es_Benchmark,31.5071,11.8767,24.0746,,,,,,,,,,,,,,
es_XX_baseline,34.6776,13.1532,26.1849,26.1797,33.1585,12.7518,25.3952,25.3899,75.5481,72.8577,74.1227,0.021,99.979,0.0,0.0,0.0,20.7046
es_XX_multiEnEsRu,34.0772,12.7079,25.89,25.884,32.546,12.339,25.076,25.0697,75.5636,72.283,73.8305,0.021,99.9627,0.0,0.0,0.0163,19.1821
es_XX_zero,30.3346,9.385,22.5637,22.5596,28.8352,9.0206,21.771,21.7666,73.8059,71.0129,72.3306,0.1051,99.8949,0.0,0.0,0.0,20.5393
es_translated,22.8867,4.3585,16.6634,16.6594,21.7834,4.141,16.0988,16.0946,68.3596,67.7264,68.0021,0.0,100.0,0.0,0.0,0.0,27.5945
gu_Benchmark,21.9619,7.7417,19.86,,,,,,,,,,,,,,
gu_IN_baseline,22.9122,8.2996,20.5285,20.4815,22.9122,8.2996,20.5285,20.4815,75.1167,73.6524,74.3272,0.0,0.0,0.0,100.0,0.0,16.9903
gu_IN_multiEnEsRu,19.2596,6.3663,17.3492,17.3493,19.2596,6.3663,17.3492,17.3493,74.3007,71.7602,72.9477,0.0,0.0,0.0,100.0,0.0,15.1857
gu_IN_multiEnEsRu_10,18.8502,5.8029,16.9764,16.9319,18.8502,5.8029,16.9764,16.9319,73.824,71.8039,72.7534,0.0,0.0,0.0,100.0,0.0,16.257
gu_IN_multiEnEsRu_100,20.1019,6.3108,17.7379,17.7396,20.1019,6.3108,17.7379,17.7396,73.9571,72.6421,73.241,0.0,0.0,0.0,100.0,0.0,18.2949
gu_IN_multiEnEsRu_1000,21.1117,7.1462,18.7974,18.7808,21.1117,7.1462,18.7974,18.7808,74.5575,72.7762,73.607,0.0,0.0,0.0,100.0,0.0,16.5581
gu_IN_multiEnEsRu_all,22.4565,7.7793,20.2255,20.1932,22.4565,7.7793,20.2255,20.1932,75.4216,73.044,74.1649,0.0,0.0,0.0,100.0,0.0,14.9278
gu_IN_zero,18.7603,5.9096,17.2122,17.2006,18.7603,5.9096,17.2122,17.2006,74.4355,70.7217,72.4753,0.0,0.0,0.0,100.0,0.0,12.147
gu_translated,2.4667,0.2988,2.3425,2.3197,2.4667,0.2988,2.3425,2.3197,64.5039,64.0864,64.2494,2.6932,0.0266,2.4761,94.4928,0.3113,16.6391
ru_Benchmark,32.2164,13.6386,26.1689,,,,,,,,,,,,,,
ru_RU_baseline,35.3622,15.3592,28.3893,28.3775,27.7893,12.1817,23.4437,23.4284,76.6683,73.6228,75.0549,0.0,0.0,100.0,0.0,0.0,18.1241
ru_RU_multiEnEsRu,33.4248,14.0192,26.8923,26.8842,25.9787,11.0022,22.0074,21.9955,76.2317,72.8514,74.4429,0.0,0.0,100.0,0.0,0.0,17.2684
ru_RU_zero,30.6109,11.4483,24.3208,24.3158,23.322,8.7308,19.5745,19.5669,75.6273,71.5464,73.4777,0.0,0.0,100.0,0.0,0.0,15.7803
ru_translated,26.3622,8.4738,21.2294,21.2274,19.3631,6.1512,16.5599,16.5533,74.765,70.2947,72.4084,0.1286,0.0,99.8714,0.0,0.0,14.7177
