,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len
en_Benchmark,37.601,15.1536,29.8817,,,,,,,,,,,,,,
en_XX,40.4357,17.2775,32.1207,32.0747,38.8104,16.7641,31.2066,31.1551,79.5024,77.7186,78.5649,99.9879,0.0121,0.0,0.0,0.0,18.1614
en_XX_supervised,39.9754,16.7671,31.7973,31.7549,38.3712,16.2696,30.8822,30.8355,79.4307,77.4976,78.4153,99.9913,0.0087,0.0,0.0,0.0,17.9151
en_XX_multiEnEsRu,39.4622,16.3532,31.3886,31.3382,37.8691,15.8544,30.5001,30.4428,79.4487,77.1848,78.2628,99.9836,0.0164,0.0,0.0,0.0,17.4166
es_Benchmark,31.5071,11.8767,24.0746,,,,,,,,,,,,,,
es_XX_supervised,34.2044,13.0046,26.0711,26.0641,32.7069,12.6284,25.2631,25.2559,75.5087,72.6378,73.9891,0.021,99.979,0.0,0.0,0.0,20.079
es_XX_multiEnEsRu,34.4385,12.9008,26.0068,26.0002,32.8982,12.4669,25.2067,25.1997,75.3801,72.7405,73.9827,0.0209,99.9581,0.0,0.0,0.021,20.325
es_XX_tuned_10,29.7631,8.4683,21.5984,21.597,28.3587,8.1191,20.8804,20.8788,72.6766,71.0132,71.7845,0.063,99.937,0.0,0.0,0.0,23.9118
es_XX_tuned_100,30.3823,9.0672,22.185,22.1867,28.9061,8.7065,21.4565,21.4579,73.0605,71.3935,72.1679,0.0,100.0,0.0,0.0,0.0,22.7311
es_XX_tuned_1000,31.9101,10.4496,23.5598,23.5551,30.4017,10.0692,22.7789,22.7732,74.0997,71.8818,72.9175,0.0,100.0,0.0,0.0,0.0,21.5166
es_XX_tuned_10000,33.4165,11.6925,24.7555,24.7496,31.8961,11.3005,23.9861,23.9798,74.6499,72.1928,73.3391,0.0004,99.9947,0.0,0.0,0.0049,21.5185
es_XX_zero,7.8523,1.1638,6.2234,6.2148,6.9312,1.1013,5.6623,5.6532,64.0311,68.2136,66.0295,99.8109,0.1891,0.0,0.0,0.0,61.6773
es_translated,23.0719,4.5159,16.84,16.8363,21.951,4.28,16.2692,16.2654,68.444,67.7473,68.0544,0.0,100.0,0.0,0.0,0.0,27.2048
es_translated_nllb,29.2257,8.5611,21.5024,21.5011,27.4854,8.102,20.5856,20.5831,73.4149,70.9741,72.1252,0.0152,99.9825,0.0018,0.0001,0.0004,21.63
gu_Benchmark,21.9619,7.7417,19.86,,,,,,,,,,,,,,
gu_IN_supervised,22.2911,8.0401,19.9971,19.9907,22.2911,8.0401,19.9971,19.9907,75.1071,73.4182,74.2057,0.0,0.0,0.0,100.0,0.0,16.4991
gu_IN_multiEnEsRu,17.8393,5.1664,15.9817,15.9522,17.8393,5.1664,15.9817,15.9522,73.1987,70.4794,71.7621,0.088,0.0,0.3521,99.5599,0.0,14.3724
