,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len
en_Benchmark,37.601,15.1536,29.8817,,,,,,,,,,,,,,
en_XX,40.06,16.8389,32.117,32.0759,38.4572,16.3291,31.188,31.1417,79.7917,77.3718,78.526,99.9918,0.0082,0.0,0.0,0.0,17.2982
en_XX_baseline,39.9754,16.7671,31.7973,31.7549,38.3712,16.2696,30.8822,30.8355,79.4307,77.4976,78.4153,99.9913,0.0087,0.0,0.0,0.0,17.9151
en_XX_multiEnEsRu,38.6685,15.621,30.7684,30.7303,37.1046,15.1457,29.8768,29.8327,79.372,76.8176,78.0348,99.9779,0.0221,0.0,0.0,0.0,17.091
es_Benchmark,31.5071,11.8767,24.0746,,,,,,,,,,,,,,
es_XX_baseline,34.2044,13.0046,26.0711,26.0641,32.7069,12.6284,25.2631,25.2559,75.5087,72.6378,73.9891,0.021,99.979,0.0,0.0,0.0,20.079
es_XX_multiEnEsRu,34.1631,12.8977,26.041,26.0364,32.648,12.5212,25.2565,25.2516,75.9689,72.3252,74.0459,0.0236,99.9677,0.0,0.0,0.0088,18.5763
es_XX_tuned_10,29.4657,8.6779,21.8369,21.8327,27.9292,8.2961,21.0515,21.0472,73.4,70.8107,72.03,0.084,99.916,0.0,0.0,0.0,20.5254
es_XX_tuned_100,30.4372,9.4124,22.6114,22.6102,28.8846,9.0138,21.8139,21.8125,73.7507,71.1979,72.3971,0.0,100.0,0.0,0.0,0.0,20.1742
es_XX_tuned_1000,31.8093,10.7417,23.6646,23.6591,30.3083,10.3517,22.8782,22.8742,74.2116,71.7893,72.9199,0.0,100.0,0.0,0.0,0.0,21.0374
es_XX_tuned_10000,32.9825,11.5532,24.5055,24.4994,31.5116,11.182,23.7346,23.7281,74.5229,72.0257,73.1875,0.0,100.0,0.0,0.0,0.0,21.2006
es_XX_zero,26.1787,7.3141,19.427,19.4268,24.7685,6.9979,18.6731,18.6725,71.8362,69.8952,70.7854,14.8105,85.1895,0.0,0.0,0.0,23.5937
es_translated,23.0719,4.5159,16.84,16.8363,21.951,4.28,16.2692,16.2654,68.444,67.7473,68.0544,0.0,100.0,0.0,0.0,0.0,27.2048
gu_Benchmark,21.9619,7.7417,19.86,,,,,,,,,,,,,,
gu_IN_baseline,22.2911,8.0401,19.9971,19.9907,22.2911,8.0401,19.9971,19.9907,75.1071,73.4182,74.2057,0.0,0.0,0.0,100.0,0.0,16.4991
gu_IN_multiEnEsRu,18.2088,5.4119,16.6,16.5564,18.2088,5.4119,16.6,16.5564,73.9783,70.5967,72.1855,0.0,0.0,0.0,100.0,0.0,12.7086
gu_IN_tuned_10,18.6153,5.47,16.8414,16.8003,18.6153,5.47,16.8414,16.8003,74.1089,71.2578,72.6092,0.0,0.0,0.0,100.0,0.0,14.838
gu_IN_tuned_100,19.0788,5.9087,17.181,17.1764,19.0788,5.9087,17.181,17.1764,74.0237,71.8323,72.8624,0.0,0.0,0.0,100.0,0.0,15.7359
gu_IN_tuned_1000,20.2919,6.5273,18.1137,18.0874,20.2919,6.5273,18.1137,18.0874,74.4253,72.5621,73.4334,0.0,0.0,0.0,100.0,0.0,16.3275
gu_IN_zero,17.2332,5.2479,15.814,15.7631,17.2332,5.2479,15.814,15.7631,73.6519,70.0255,71.7311,0.0,0.0,0.0,100.0,0.0,12.3151
gu_translated,2.5829,0.3144,2.4259,2.4288,2.5829,0.3144,2.4259,2.4288,64.5358,64.2817,64.3653,2.6405,0.0004,2.4583,94.6294,0.2714,17.0062
ru_Benchmark,32.2164,13.6386,26.1689,,,,,,,,,,,,,,
ru_RU_baseline,35.3035,15.2787,28.4235,28.4145,27.7749,12.1467,23.5169,23.5039,76.7688,73.5346,75.0569,0.0,0.0,100.0,0.0,0.0,17.8771
ru_RU_multiEnEsRu,34.6725,14.9153,28.0428,28.032,27.254,11.8115,23.1578,23.1451,76.9166,72.9736,74.8278,0.0,0.0,100.0,0.0,0.0,16.5878
ru_RU_tuned_10,29.4676,10.5351,23.354,23.3507,22.2928,7.9728,18.671,18.6647,74.6963,71.3954,72.9464,0.0,0.0,100.0,0.0,0.0,17.639
ru_RU_tuned_100,30.6039,11.2463,23.9798,23.9764,23.3066,8.5133,19.2857,19.2794,74.3909,72.182,73.2149,0.0,0.0,100.0,0.0,0.0,19.6128
ru_RU_tuned_1000,30.9649,11.7689,24.445,24.4403,23.7635,9.0839,19.8207,19.8123,74.5056,72.3408,73.3479,0.0,0.0,100.0,0.0,0.0,19.3016
ru_RU_tuned_10000,31.2091,12.011,24.2545,24.2441,24.3152,9.3878,19.9284,19.9153,73.596,72.8995,73.1893,0.0,0.0,100.0,0.0,0.0,22.6089
ru_RU_zero,30.1101,11.1275,24.1177,24.1102,22.8103,8.4313,19.2351,19.2251,75.7252,70.9649,73.208,0.0076,0.0039,99.9882,0.0,0.0003,14.5251
ru_translated,26.4879,8.3912,21.2928,21.2903,19.4755,6.2021,16.6391,16.6343,74.68,70.4021,72.4267,0.1543,0.0,99.8457,0.0,0.0,15.1599
