,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len
en_Benchmark,37.601,15.1536,29.8817,,,,,,,,,,,,,,
en_XX,37.1014,14.326,29.3243,29.2963,35.5118,13.8713,28.4175,28.3846,79.0234,76.1916,77.5435,99.9999,0.0001,0.0,0.0,0.0,16.3799
en_XX_supervised,39.9754,16.7671,31.7973,31.7549,38.3712,16.2696,30.8822,30.8355,79.4307,77.4976,78.4153,99.9913,0.0087,0.0,0.0,0.0,17.9151
en_XX_multiEnEsRu,36.3613,13.7224,28.5912,28.5664,34.7856,13.2695,27.7073,27.6783,78.7221,75.9211,77.2566,99.9998,0.0002,0.0,0.0,0.0,16.4648
es_Benchmark,31.5071,11.8767,24.0746,,,,,,,,,,,,,,
es_XX_supervised,34.2044,13.0046,26.0711,26.0641,32.7069,12.6284,25.2631,25.2559,75.5087,72.6378,73.9891,0.021,99.979,0.0,0.0,0.0,20.079
es_XX_multiEnEsRu,32.6252,11.5658,24.5615,24.5555,31.1855,11.1932,23.8112,23.8049,74.875,71.7389,73.2109,0.1045,99.8955,0.0,0.0,0.0,19.4899
es_XX_zero,29.9285,9.3046,22.4046,22.4042,28.3884,8.9546,21.5959,21.5952,73.9617,70.8017,72.2939,0.105,99.895,0.0,0.0,0.0,19.1059
es_translated,23.0719,4.5159,16.84,16.8363,21.951,4.28,16.2692,16.2654,68.444,67.7473,68.0544,0.0,100.0,0.0,0.0,0.0,27.2048
gu_Benchmark,21.9619,7.7417,19.86,,,,,,,,,,,,,,
gu_IN_supervised,22.2911,8.0401,19.9971,19.9907,22.2911,8.0401,19.9971,19.9907,75.1071,73.4182,74.2057,0.0,0.0,0.0,100.0,0.0,16.4991
gu_IN_multiEnEsRu,18.8533,6.255,17.2248,17.2129,18.8533,6.255,17.2248,17.2129,74.5447,71.3699,72.8573,0.0,0.0,0.0,100.0,0.0,14.1153
gu_IN_zero,18.9806,6.0117,17.3801,17.3465,18.9806,6.0117,17.3801,17.3465,74.833,71.2853,72.9569,0.0,0.0,0.0,100.0,0.0,12.6144
gu_translated,2.5829,0.3144,2.4259,2.4288,2.5829,0.3144,2.4259,2.4288,64.5358,64.2817,64.3653,2.6405,0.0004,2.4583,94.6294,0.2714,17.0062
ru_Benchmark,32.2164,13.6386,26.1689,,,,,,,,,,,,,,
ru_RU_supervised,35.3035,15.2787,28.4235,28.4145,27.7749,12.1467,23.5169,23.5039,76.7688,73.5346,75.0569,0.0,0.0,100.0,0.0,0.0,17.8771
ru_RU_multiEnEsRu,32.4539,13.3153,26.1047,26.0994,25.2428,10.4197,21.3393,21.3311,75.8972,72.304,73.9929,0.0,0.0,100.0,0.0,0.0,16.8785
ru_RU_zero,30.3411,11.7525,24.4242,24.4229,23.0958,8.9841,19.621,19.6172,76.102,70.8799,73.3374,0.0,0.0,100.0,0.0,0.0,13.9662
ru_translated,26.4879,8.3912,21.2928,21.2903,19.4755,6.2021,16.6391,16.6343,74.68,70.4021,72.4267,0.1543,0.0,99.8457,0.0,0.0,15.1599
