,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len
en_Benchmark,37.601,15.1536,29.8817,,,,,,,,,,,,,,
en_XX,40.4589,17.3847,32.3024,32.2532,38.8567,16.906,31.4257,31.3708,79.6739,77.6494,78.6125,99.9879,0.0121,0.0,0.0,0.0,17.8443
en_XX_supervised,39.9754,16.7671,31.7973,31.7549,38.3712,16.2696,30.8822,30.8355,79.4307,77.4976,78.4153,99.9913,0.0087,0.0,0.0,0.0,17.9151
en_XX_multiEnEsRu,39.2027,16.2107,31.2132,31.1655,37.6159,15.7175,30.3146,30.2602,79.465,77.0367,78.1943,99.9919,0.0081,0.0,0.0,0.0,17.1748
es_Benchmark,31.5071,11.8767,24.0746,,,,,,,,,,,,,,
es_XX_supervised,34.2044,13.0046,26.0711,26.0641,32.7069,12.6284,25.2631,25.2559,75.5087,72.6378,73.9891,0.021,99.979,0.0,0.0,0.0,20.079
es_XX_multiEnEsRu,34.0013,12.959,25.8832,25.8767,32.4679,12.5568,25.0606,25.0536,75.6822,72.4364,73.9657,0.0,100.0,0.0,0.0,0.0,19.0849
es_XX_tuned_10,29.1816,8.1814,21.2253,21.228,27.7669,7.8541,20.5041,20.5065,72.572,70.7676,71.6106,0.063,99.937,0.0,0.0,0.0,22.6643
es_XX_tuned_100,30.5738,9.18,22.368,22.3686,29.0852,8.8113,21.5964,21.5968,73.1446,71.4224,72.2217,0.0,100.0,0.0,0.0,0.0,22.4193
es_XX_tuned_1000,31.9745,10.4651,23.5075,23.5033,30.4454,10.0769,22.6931,22.6887,73.843,71.8969,72.8002,0.0,100.0,0.0,0.0,0.0,22.1989
es_XX_tuned_10000,33.4172,11.7417,24.7092,24.7051,31.8914,11.3509,23.9178,23.9134,74.5567,72.2267,73.3104,0.0,100.0,0.0,0.0,0.0,21.7492
