,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len
en_Benchmark,37.601,15.1536,29.8817,,,,,,,,,,,,,,
en_XX,41.2535,18.08,33.0165,32.9607,39.613,17.5555,32.0821,32.0218,79.9709,77.9468,78.9116,99.9884,0.0116,0.0,0.0,0.0,17.8986
en_XX_baseline,39.9754,16.7671,31.7973,31.7549,38.3712,16.2696,30.8822,30.8355,79.4307,77.4976,78.4153,99.9913,0.0087,0.0,0.0,0.0,17.9151
en_XX_multiEnEsRu,39.2501,16.1883,31.2963,31.2443,37.6657,15.6935,30.3824,30.3226,79.6114,77.024,78.2572,99.9748,0.0252,0.0,0.0,0.0,16.8655
es_Benchmark,31.5071,11.8767,24.0746,,,,,,,,,,,,,,
es_XX_baseline,34.2044,13.0046,26.0711,26.0641,32.7069,12.6284,25.2631,25.2559,75.5087,72.6378,73.9891,0.021,99.979,0.0,0.0,0.0,20.079
es_XX_multiEnEsRu,34.3024,13.1686,26.1898,26.1839,32.8223,12.7742,25.4329,25.4267,75.8368,72.5449,74.0977,0.021,99.979,0.0,0.0,0.0,18.8565
es_XX_tuned_10,25.992,6.8732,19.2245,19.2311,24.6531,6.5758,18.5034,18.5092,70.9261,69.7442,70.2335,3.2613,96.7179,0.016,0.0007,0.0041,22.3796
es_XX_tuned_100,30.4096,9.0446,22.1377,22.1448,28.986,8.6844,21.4132,21.4197,72.8806,71.2838,72.0222,0.042,99.958,0.0,0.0,0.0,22.6987
es_XX_tuned_1000,31.5536,10.3121,23.2934,23.2854,30.1022,9.9356,22.5066,22.4984,73.8566,71.776,72.7447,0.0844,99.9156,0.0,0.0,0.0,21.7842
es_XX_tuned_10000,33.6092,11.8532,24.932,24.929,32.1009,11.4283,24.1189,24.1155,74.6562,72.2145,73.3532,0.0447,99.9553,0.0,0.0,0.0,21.4912
es_XX_zero,8.4051,1.2857,6.6732,6.6654,7.4848,1.2209,6.0846,6.0754,64.8136,68.4005,66.5318,99.9789,0.0211,0.0,0.0,0.0,53.7242
es_translated,23.0719,4.5159,16.84,16.8363,21.951,4.28,16.2692,16.2654,68.444,67.7473,68.0544,0.0,100.0,0.0,0.0,0.0,27.2048
gu_Benchmark,21.9619,7.7417,19.86,,,,,,,,,,,,,,
gu_IN_baseline,22.2911,8.0401,19.9971,19.9907,22.2911,8.0401,19.9971,19.9907,75.1071,73.4182,74.2057,0.0,0.0,0.0,100.0,0.0,16.4991
gu_IN_multiEnEsRu,15.8488,4.1735,12.7032,12.6908,15.8488,4.1735,12.7032,12.6908,67.2672,71.7177,69.3884,0.0,0.0,0.1761,99.8239,0.0,36.4824
gu_IN_multiEnEsRu_10,18.4341,5.5077,16.4659,16.4425,18.4341,5.5077,16.4659,16.4425,73.9644,71.58,72.7055,0.0,0.0,0.0,100.0,0.0,15.4164
gu_IN_multiEnEsRu_100,19.3792,6.0728,17.1902,17.1927,19.3792,6.0728,17.1902,17.1927,73.8861,72.4533,73.115,0.0,0.0,0.0,100.0,0.0,17.4639
gu_IN_multiEnEsRu_1000,20.6585,6.7461,18.3939,18.3611,20.6585,6.7461,18.3939,18.3611,74.2313,72.8887,73.503,0.0,0.0,0.0,100.0,0.0,17.5167
gu_IN_tuned_10,16.1009,4.2878,14.4219,14.3865,16.1009,4.2878,14.4219,14.3865,73.0133,70.5339,71.7061,0.492,0.0266,0.0074,99.4722,0.0017,15.0889
gu_IN_tuned_100,18.5903,5.6338,16.6542,16.6505,18.5903,5.6338,16.6542,16.6505,73.7707,71.9874,72.8213,0.0,0.0,0.0,100.0,0.0,16.2597
gu_IN_tuned_1000,19.5571,6.0664,17.3222,17.3109,19.5571,6.0664,17.3222,17.3109,73.9894,72.3735,73.1263,0.0,0.0,0.0,100.0,0.0,16.1303
gu_IN_zero,4.1292,0.9827,3.6767,3.6335,4.1292,0.9827,3.6767,3.6335,59.4321,63.3399,61.2997,70.1403,0.0,0.0,29.8597,0.0,62.272
gu_translated,2.5829,0.3144,2.4259,2.4288,2.5829,0.3144,2.4259,2.4288,64.5358,64.2817,64.3653,2.6405,0.0004,2.4583,94.6294,0.2714,17.0062
ru_Benchmark,32.2164,13.6386,26.1689,,,,,,,,,,,,,,
ru_RU_baseline,35.3035,15.2787,28.4235,28.4145,27.7749,12.1467,23.5169,23.5039,76.7688,73.5346,75.0569,0.0,0.0,100.0,0.0,0.0,17.8771
ru_RU_multiEnEsRu,34.9867,15.1525,28.2719,28.2587,27.5186,12.0529,23.3924,23.3753,76.9094,73.2974,75.0,0.0,0.0,100.0,0.0,0.0,16.9895
ru_RU_tuned_10,23.6755,7.9987,19.0813,19.0698,17.0581,5.7379,14.5466,14.5295,73.7555,69.563,71.5438,2.4627,0.0003,97.537,0.0,0.0,16.2248
ru_RU_tuned_100,29.3123,10.2643,22.5598,22.5543,22.1905,7.5813,18.0615,18.0536,73.6006,71.8546,72.6682,0.0,0.0,100.0,0.0,0.0,20.3598
ru_RU_tuned_1000,30.3193,11.0388,23.3529,23.3436,23.3057,8.4053,18.9875,18.9753,73.3448,72.5688,72.8999,0.0,0.0,100.0,0.0,0.0,22.8786
ru_RU_tuned_10000,31.2456,11.9407,24.1747,24.1615,24.3967,9.3044,19.8845,19.8695,73.3836,73.0701,73.1721,0.0,0.0,100.0,0.0,0.0,23.9716
ru_RU_zero,7.6452,2.1199,6.4286,6.4119,5.1236,1.3916,4.4641,4.4435,64.2914,66.548,65.3732,49.2838,0.0,50.7162,0.0,0.0,49.223
ru_translated,26.4879,8.3912,21.2928,21.2903,19.4755,6.2021,16.6391,16.6343,74.68,70.4021,72.4267,0.1543,0.0,99.8457,0.0,0.0,15.1599
