,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len
en_Benchmark,37.601,15.1536,29.8817,,,,,,,,,,,,,,
en_XX,40.6909,17.5419,32.4705,32.4224,39.0786,17.0217,31.5503,31.4956,79.7855,77.6354,78.6599,99.9961,0.0039,0.0,0.0,0.0,17.4787
en_XX_baseline,39.9754,16.7671,31.7973,31.7549,38.3712,16.2696,30.8822,30.8355,79.4307,77.4976,78.4153,99.9913,0.0087,0.0,0.0,0.0,17.9151
en_XX_multiEnEsRu,39.3059,16.386,31.3673,31.3236,37.6985,15.8675,30.433,30.3823,79.5454,77.0823,78.2557,99.9822,0.0178,0.0,0.0,0.0,17.1354
es_Benchmark,31.5071,11.8767,24.0746,,,,,,,,,,,,,,
es_XX_baseline,34.2044,13.0046,26.0711,26.0641,32.7069,12.6284,25.2631,25.2559,75.5087,72.6378,73.9891,0.021,99.979,0.0,0.0,0.0,20.079
es_XX_multiEnEsRu,33.9462,12.903,25.841,25.834,32.4343,12.5285,25.0742,25.0669,75.656,72.5211,74.0002,0.021,99.979,0.0,0.0,0.0,19.2784
es_XX_tuned_10,26.241,6.5882,19.1699,19.1705,24.84,6.2774,18.4253,18.4251,71.0834,69.743,70.356,0.7199,99.2801,0.0,0.0,0.0,21.9828
es_XX_tuned_100,29.6595,8.4341,21.4981,21.5004,28.2358,8.0916,20.797,20.7987,72.5259,71.0321,71.7202,0.0953,99.904,0.0,0.0,0.0007,23.2893
es_XX_tuned_1000,31.6452,10.1816,23.2742,23.2686,30.1173,9.8107,22.4904,22.4846,73.8908,71.8023,72.7754,0.0,100.0,0.0,0.0,0.0,21.8826
es_XX_tuned_10000,33.429,11.7957,24.8167,24.8116,31.91,11.4082,24.0388,24.0332,74.6807,72.2464,73.381,0.0,100.0,0.0,0.0,0.0,21.4973
es_XX_zero,8.1343,1.1375,6.4375,6.429,7.1491,1.061,5.8045,5.7946,63.9707,68.1074,65.9457,99.6514,0.3486,0.0,0.0,0.0,58.6748
es_translated,23.0719,4.5159,16.84,16.8363,21.951,4.28,16.2692,16.2654,68.444,67.7473,68.0544,0.0,100.0,0.0,0.0,0.0,27.2048
gu_Benchmark,21.9619,7.7417,19.86,,,,,,,,,,,,,,
gu_IN_baseline,22.2911,8.0401,19.9971,19.9907,22.2911,8.0401,19.9971,19.9907,75.1071,73.4182,74.2057,0.0,0.0,0.0,100.0,0.0,16.4991
gu_IN_multiEnEsRu,12.1071,2.7814,10.0201,10.0404,12.1071,2.7814,10.0201,10.0404,62.9947,69.7244,66.1261,0.0,0.0,0.0,100.0,0.0,59.8504
gu_IN_multiEnEsRu_10,18.9859,5.62,16.7494,16.7575,18.9859,5.62,16.7494,16.7575,73.5216,72.0354,72.7265,0.0,0.0,0.0,100.0,0.0,17.9454
gu_IN_multiEnEsRu_100,19.936,6.0695,17.5656,17.5816,19.936,6.0695,17.5656,17.5816,74.0503,72.5855,73.2639,0.0,0.0,0.0,100.0,0.0,17.8521
gu_IN_multiEnEsRu_1000,20.8471,6.5928,18.3642,18.3271,20.8471,6.5928,18.3642,18.3271,74.3711,73.0123,73.6367,0.0,0.0,0.0,100.0,0.0,17.3521
gu_IN_tuned_10,17.0066,4.481,15.0681,15.0659,17.0066,4.481,15.0681,15.0659,72.8019,70.6896,71.687,0.0,0.0,0.088,99.912,0.0,16.3662
gu_IN_tuned_100,19.2638,5.7678,17.1617,17.192,19.2638,5.7678,17.1617,17.192,73.7657,72.0954,72.8752,0.0,0.0,0.0,100.0,0.0,17.3125
gu_IN_tuned_1000,20.3662,6.0673,18.1171,18.1005,20.3662,6.0673,18.1171,18.1005,74.0578,72.7777,73.3686,0.0,0.0,0.0,100.0,0.0,17.5255
gu_IN_zero,2.9442,0.5755,2.6692,2.6201,2.9442,0.5755,2.6692,2.6201,60.5887,61.7499,61.1379,65.5516,0.0,0.088,34.3604,0.0,47.537
gu_translated,2.5829,0.3144,2.4259,2.4288,2.5829,0.3144,2.4259,2.4288,64.5358,64.2817,64.3653,2.6405,0.0004,2.4583,94.6294,0.2714,17.0062
ru_Benchmark,32.2164,13.6386,26.1689,,,,,,,,,,,,,,
ru_RU_baseline,35.3035,15.2787,28.4235,28.4145,27.7749,12.1467,23.5169,23.5039,76.7688,73.5346,75.0569,0.0,0.0,100.0,0.0,0.0,17.8771
ru_RU_multiEnEsRu,34.8652,15.1103,28.0792,28.0713,27.4662,12.0764,23.2561,23.2455,76.7345,73.3743,74.9583,0.0,0.0,100.0,0.0,0.0,17.4958
