,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len,rouge1_low_with_stemming,rouge1_mid_with_stemming,rouge1_high_with_stemming,rouge2_low_with_stemming,rouge2_mid_with_stemming,rouge2_high_with_stemming,rougeL_low_with_stemming,rougeL_mid_with_stemming,rougeL_high_with_stemming,rougeLsum_low_with_stemming,rougeLsum_mid_with_stemming,rougeLsum_high_with_stemming,rouge1_low_without_stemming,rouge1_mid_without_stemming,rouge1_high_without_stemming,rouge2_low_without_stemming,rouge2_mid_without_stemming,rouge2_high_without_stemming,rougeL_low_without_stemming,rougeL_mid_without_stemming,rougeL_high_without_stemming,rougeLsum_low_without_stemming,rougeLsum_mid_without_stemming,rougeLsum_high_without_stemming,bert_score_precision_low,bert_score_precision_mid,bert_score_precision_high,bert_score_recall_low,bert_score_recall_mid,bert_score_recall_high,bert_score_f1_low,bert_score_f1_mid,bert_score_f1_high
en_Benchmark,37.601,15.1536,29.8817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en_XX,40.4357,17.2775,32.1207,32.0747,38.8104,16.7641,31.2066,31.1551,,,,99.9879,0.0121,0.0,0.0,0.0,18.1614,39.6196,39.8661,40.1427,16.7724,17.0323,17.3093,31.4013,31.6641,31.9564,31.3371,31.6253,31.8955,38.0021,38.2691,38.5373,16.2552,16.5193,16.7963,30.4819,30.7791,31.059,30.4372,30.7221,31.003,79.3927,79.5004,79.6131,77.6107,77.7185,77.8339,78.4678,78.5639,78.6798
en_XX_multiEnEsRu,39.4622,16.3532,31.3886,31.3382,37.8691,15.8544,30.5001,30.4428,,,,99.9836,0.0164,0.0,0.0,0.0,17.4166,38.5012,38.7813,39.0622,15.8032,16.052,16.3064,30.583,30.8358,31.1195,30.5404,30.7869,31.0723,36.9288,37.2196,37.492,15.3085,15.5664,15.8332,29.6926,29.9805,30.2427,29.6569,29.9134,30.1763,79.3364,79.4478,79.5519,77.0742,77.1824,77.2913,78.1642,78.26,78.3649
en_XX_supervised,39.9754,16.7671,31.7973,31.7549,38.3712,16.2696,30.8822,30.8355,,,,99.9913,0.0087,0.0,0.0,0.0,17.9151,39.0851,39.3687,39.6381,16.2549,16.5106,16.746,31.0627,31.3116,31.5906,31.0161,31.2703,31.5317,37.5114,37.7871,38.0659,15.7308,16.0201,16.2698,30.1379,30.4182,30.689,30.1003,30.373,30.6414,79.3222,79.4301,79.5375,77.3929,77.4971,77.6084,78.3135,78.4151,78.5182
es_Benchmark,31.5071,11.8767,24.0746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es_XX_multiEnEsRu,34.4385,12.9008,26.0068,26.0002,32.8982,12.4669,25.2067,25.1997,,,,0.0209,99.9581,0.0,0.0,0.021,20.325,32.7263,33.1508,33.5903,12.0526,12.421,12.8199,24.6271,25.0394,25.4548,24.6624,25.0411,25.4733,31.2534,31.6994,32.1139,11.6285,12.014,12.4263,23.8488,24.2873,24.6728,23.8788,24.2633,24.6458,75.2023,75.3796,75.5775,72.5695,72.7407,72.9248,73.7992,73.9865,74.1487
es_XX_supervised,34.2044,13.0046,26.0711,26.0641,32.7069,12.6284,25.2631,25.2559,,,,0.021,99.979,0.0,0.0,0.0,20.079,32.4057,32.8497,33.294,12.1311,12.4919,12.887,24.6354,25.0295,25.4039,24.643,25.0267,25.434,30.985,31.4241,31.8438,11.7412,12.1318,12.529,23.8655,24.2614,24.6442,23.864,24.2436,24.6212,75.3182,75.508,75.7043,72.4705,72.6416,72.8241,73.8162,73.9875,74.1693
es_XX_tuned_10,29.7631,8.4683,21.5984,21.597,28.3587,8.1191,20.8804,20.8788,,,,0.063,99.937,0.0,0.0,0.0,23.9118,28.3595,28.7053,29.0238,7.8932,8.1536,8.4219,20.5257,20.8052,21.0784,20.5192,20.815,21.0991,27.0263,27.359,27.6641,7.5791,7.8243,8.0663,19.8579,20.1237,20.4184,19.8591,20.1181,20.4095,72.5182,72.6719,72.8553,70.8747,71.0157,71.1729,71.6373,71.7835,71.9264
es_XX_tuned_100,30.3823,9.0672,22.185,22.1867,28.9061,8.7065,21.4565,21.4579,,,,0.0,100.0,0.0,0.0,0.0,22.7311,28.9645,29.3516,29.6758,8.4925,8.7497,9.0156,21.1252,21.4085,21.7122,21.1129,21.4098,21.7297,27.546,27.9227,28.2788,8.1305,8.4033,8.6546,20.4095,20.7117,21.0106,20.4306,20.7135,21.0189,72.8838,73.0575,73.2273,71.2489,71.3988,71.5639,72.0146,72.1669,72.323
es_XX_tuned_1000,31.9101,10.4496,23.5598,23.5551,30.4017,10.0692,22.7789,22.7732,,,,0.0,100.0,0.0,0.0,0.0,21.5166,30.273,30.6679,31.0652,9.7273,10.029,10.313,22.3025,22.6168,22.9589,22.2978,22.6169,22.967,28.8497,29.2243,29.613,9.3702,9.6664,9.9551,21.5595,21.8835,22.2185,21.557,21.8707,22.2093,73.9403,74.1021,74.2821,71.7151,71.8861,72.0431,72.7562,72.9188,73.0735
