,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len,rouge1_low_with_stemming,rouge1_mid_with_stemming,rouge1_high_with_stemming,rouge2_low_with_stemming,rouge2_mid_with_stemming,rouge2_high_with_stemming,rougeL_low_with_stemming,rougeL_mid_with_stemming,rougeL_high_with_stemming,rougeLsum_low_with_stemming,rougeLsum_mid_with_stemming,rougeLsum_high_with_stemming,rouge1_low_without_stemming,rouge1_mid_without_stemming,rouge1_high_without_stemming,rouge2_low_without_stemming,rouge2_mid_without_stemming,rouge2_high_without_stemming,rougeL_low_without_stemming,rougeL_mid_without_stemming,rougeL_high_without_stemming,rougeLsum_low_without_stemming,rougeLsum_mid_without_stemming,rougeLsum_high_without_stemming,bert_score_precision_low,bert_score_precision_mid,bert_score_precision_high,bert_score_recall_low,bert_score_recall_mid,bert_score_recall_high,bert_score_f1_low,bert_score_f1_mid,bert_score_f1_high
en_Benchmark,37.601,15.1536,29.8817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en_XX,40.06,16.8389,32.117,32.0759,38.4572,16.3291,31.188,31.1417,,,,99.9918,0.0082,0.0,0.0,0.0,17.2982,39.103,39.3612,39.6096,16.2742,16.5317,16.7935,31.2769,31.5536,31.8264,31.2491,31.5129,31.7738,37.5068,37.7906,38.0579,15.7592,16.0393,16.3077,30.3622,30.6462,30.9136,30.3295,30.5985,30.8646,79.6785,79.7931,79.8975,77.2647,77.371,77.4832,78.4239,78.526,78.6316
en_XX_multiEnEsRu,38.6685,15.621,30.7684,30.7303,37.1046,15.1457,29.8768,29.8327,,,,99.9779,0.0221,0.0,0.0,0.0,17.091,37.6418,37.8959,38.153,15.0462,15.2909,15.5186,29.9,30.1512,30.411,29.8625,30.1188,30.368,36.0917,36.3652,36.6333,14.5771,14.8291,15.078,29.014,29.2876,29.5426,28.9754,29.2424,29.4868,79.2608,79.3711,79.4767,76.7166,76.8167,76.93,77.935,78.0351,78.1318
en_XX_supervised,39.9754,16.7671,31.7973,31.7549,38.3712,16.2696,30.8822,30.8355,,,,99.9913,0.0087,0.0,0.0,0.0,17.9151,39.0851,39.3687,39.6381,16.2549,16.5106,16.746,31.0627,31.3116,31.5906,31.0161,31.2703,31.5317,37.5114,37.7871,38.0659,15.7308,16.0201,16.2698,30.1379,30.4182,30.689,30.1003,30.373,30.6414,79.3222,79.4301,79.5375,77.3929,77.4971,77.6084,78.3135,78.4151,78.5182
es_Benchmark,31.5071,11.8767,24.0746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es_XX_multiEnEsRu,34.1631,12.8977,26.041,26.0364,32.648,12.5212,25.2565,25.2516,,,,0.0236,99.9677,0.0,0.0,0.0088,18.5763,32.1049,32.5459,32.9613,11.9214,12.275,12.6681,24.4053,24.7849,25.1817,24.401,24.7963,25.1982,30.6593,31.11,31.5436,11.5446,11.9286,12.3024,23.6415,24.0473,24.4473,23.6628,24.0423,24.4345,75.786,75.9703,76.1426,72.1555,72.3277,72.51,73.8744,74.0475,74.2081
es_XX_supervised,34.2044,13.0046,26.0711,26.0641,32.7069,12.6284,25.2631,25.2559,,,,0.021,99.979,0.0,0.0,0.0,20.079,32.4057,32.8497,33.294,12.1311,12.4919,12.887,24.6354,25.0295,25.4039,24.643,25.0267,25.434,30.985,31.4241,31.8438,11.7412,12.1318,12.529,23.8655,24.2614,24.6442,23.864,24.2436,24.6212,75.3182,75.508,75.7043,72.4705,72.6416,72.8241,73.8162,73.9875,74.1693
es_XX_zero,26.1787,7.3141,19.427,19.4268,24.7685,6.9979,18.6731,18.6725,,,,14.8105,85.1895,0.0,0.0,0.0,23.5937,24.3846,24.7678,25.136,6.6456,6.8894,7.1119,18.0817,18.3529,18.638,18.0651,18.3544,18.6598,23.0981,23.4345,23.7798,6.3458,6.5925,6.8304,17.3567,17.6512,17.9377,17.3511,17.644,17.9579,71.6605,71.8315,72.0127,69.7544,69.9022,70.0476,70.6408,70.7839,70.9257
es_translated_nllb,29.2257,8.5611,21.5024,21.5011,27.4854,8.102,20.5856,20.5831,,,,0.0152,99.9825,0.0018,0.0001,0.0004,21.63,27.7648,28.1068,28.4535,7.9632,8.2127,8.468,20.375,20.6745,20.9686,20.3796,20.6645,20.9654,26.1034,26.4339,26.796,7.537,7.7695,8.0136,19.5161,19.8093,20.1187,19.4919,19.7961,20.0755,73.2258,73.4142,73.5877,70.8293,70.9772,71.1264,71.9819,72.1279,72.278
gu_Benchmark,21.9619,7.7417,19.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
