,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len,rouge1_low_with_stemming,rouge1_mid_with_stemming,rouge1_high_with_stemming,rouge2_low_with_stemming,rouge2_mid_with_stemming,rouge2_high_with_stemming,rougeL_low_with_stemming,rougeL_mid_with_stemming,rougeL_high_with_stemming,rougeLsum_low_with_stemming,rougeLsum_mid_with_stemming,rougeLsum_high_with_stemming,rouge1_low_without_stemming,rouge1_mid_without_stemming,rouge1_high_without_stemming,rouge2_low_without_stemming,rouge2_mid_without_stemming,rouge2_high_without_stemming,rougeL_low_without_stemming,rougeL_mid_without_stemming,rougeL_high_without_stemming,rougeLsum_low_without_stemming,rougeLsum_mid_without_stemming,rougeLsum_high_without_stemming,bert_score_precision_low,bert_score_precision_mid,bert_score_precision_high,bert_score_recall_low,bert_score_recall_mid,bert_score_recall_high,bert_score_f1_low,bert_score_f1_mid,bert_score_f1_high
en_Benchmark,37.601,15.1536,29.8817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en_XX,39.4734,16.321,31.4565,31.4118,37.8518,15.8342,30.5407,30.4888,,,,99.9823,0.0177,0.0,0.0,0.0,17.3271,38.4883,38.7613,39.0347,15.7795,16.0091,16.2694,30.6319,30.8946,31.1661,30.5804,30.848,31.1143,36.9165,37.1857,37.4472,15.2824,15.5318,15.7929,29.7262,29.9998,30.268,29.6732,29.9455,30.2093,79.3738,79.4816,79.592,77.0984,77.204,77.3097,78.1943,78.2905,78.3948
en_XX_multiEnEsRu,38.5744,15.5574,30.6507,30.6095,36.9327,15.0771,29.6992,29.6523,,,,99.9951,0.0049,0.0,0.0,0.0,16.8694,37.569,37.8067,38.0832,14.9838,15.2326,15.4786,29.7888,30.0373,30.3117,29.7438,30.0055,30.2638,35.9198,36.2024,36.4632,14.5009,14.7638,15.0112,28.8535,29.1113,29.3473,28.81,29.0599,29.3158,79.3597,79.4641,79.5671,76.7375,76.8419,76.9452,77.9944,78.0942,78.196
en_XX_supervised,39.9754,16.7671,31.7973,31.7549,38.3712,16.2696,30.8822,30.8355,,,,99.9913,0.0087,0.0,0.0,0.0,17.9151,39.0851,39.3687,39.6381,16.2549,16.5106,16.746,31.0627,31.3116,31.5906,31.0161,31.2703,31.5317,37.5114,37.7871,38.0659,15.7308,16.0201,16.2698,30.1379,30.4182,30.689,30.1003,30.373,30.6414,79.3222,79.4301,79.5375,77.3929,77.4971,77.6084,78.3135,78.4151,78.5182
es_Benchmark,31.5071,11.8767,24.0746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es_XX_multiEnEsRu,34.2441,13.0272,26.0307,26.0263,32.6936,12.6018,25.2039,25.1991,,,,0.021,99.9627,0.0,0.0,0.0163,19.8912,32.3373,32.801,33.219,12.0762,12.4732,12.8589,24.5286,24.9243,25.2949,24.5496,24.9204,25.3253,30.8925,31.3282,31.7721,11.6847,12.0617,12.4338,23.7537,24.1338,24.5262,23.7623,24.1344,24.5207,75.3741,75.5654,75.7593,72.3882,72.5634,72.7563,73.7916,73.971,74.136
es_XX_supervised,34.2044,13.0046,26.0711,26.0641,32.7069,12.6284,25.2631,25.2559,,,,0.021,99.979,0.0,0.0,0.0,20.079,32.4057,32.8497,33.294,12.1311,12.4919,12.887,24.6354,25.0295,25.4039,24.643,25.0267,25.434,30.985,31.4241,31.8438,11.7412,12.1318,12.529,23.8655,24.2614,24.6442,23.864,24.2436,24.6212,75.3182,75.508,75.7043,72.4705,72.6416,72.8241,73.8162,73.9875,74.1693
es_XX_zero,29.7353,8.6183,21.8137,21.8114,28.2939,8.2771,21.0831,21.0806,,,,0.5363,99.4637,0.0,0.0,0.0,20.3933,28.0942,28.438,28.7824,7.9566,8.217,8.4665,20.5815,20.8549,21.1425,20.5616,20.8558,21.1515,26.7073,27.0782,27.4095,7.6587,7.8878,8.1486,19.8796,20.1661,20.4688,19.8925,20.1632,20.4541,73.1995,73.366,73.5387,70.5355,70.6763,70.8287,71.7956,71.946,72.0849
es_translated_nllb,29.2257,8.5611,21.5024,21.5011,27.4854,8.102,20.5856,20.5831,,,,0.0152,99.9825,0.0018,0.0001,0.0004,21.63,27.7648,28.1068,28.4535,7.9632,8.2127,8.468,20.375,20.6745,20.9686,20.3796,20.6645,20.9654,26.1034,26.4339,26.796,7.537,7.7695,8.0136,19.5161,19.8093,20.1187,19.4919,19.7961,20.0755,73.2258,73.4142,73.5877,70.8293,70.9772,71.1264,71.9819,72.1279,72.278
gu_Benchmark,21.9619,7.7417,19.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gu_IN_multiEnEsRu,19.1001,6.0797,17.2196,17.1695,19.1001,6.0797,17.2196,17.1695,,,,0.0,0.0,0.0,100.0,0.0,13.309,17.0587,17.8064,18.5379,5.0512,5.5935,6.094,15.3361,16.0315,16.8401,15.3208,16.0003,16.6806,17.0076,17.7797,18.5611,5.0673,5.5891,6.1655,15.3832,16.0258,16.6561,15.2936,15.9905,16.7431,73.9177,74.2515,74.6263,70.7661,71.0455,71.3237,72.2568,72.5586,72.8474
gu_IN_supervised,22.2911,8.0401,19.9971,19.9907,22.2911,8.0401,19.9971,19.9907,,,,0.0,0.0,0.0,100.0,0.0,16.4991,20.7806,21.5108,22.3922,7.0981,7.7374,8.4231,18.4884,19.3011,20.1215,18.4733,19.2878,20.1686,20.7345,21.525,22.3386,7.0934,7.7324,8.4143,18.5827,19.3293,20.0907,18.4922,19.3171,20.0762,74.7434,75.1019,75.4325,73.12,73.4156,73.7274,73.8748,74.2053,74.4841
gu_IN_zero,12.4279,3.3916,11.1138,11.0504,12.4279,3.3916,11.1138,11.0504,,,,0.1181,0.058,0.0,99.8239,0.0,17.0431,11.1705,11.7442,12.3782,2.8262,3.1676,3.5665,9.9382,10.494,11.0589,9.9124,10.433,10.9647,11.1152,11.7513,12.3846,2.8279,3.1864,3.5632,9.9535,10.4929,11.0637,9.9028,10.4541,11.024,68.721,69.0852,69.4253,67.9627,68.2456,68.5201,68.3137,68.5901,68.8835
gu_translated_nllb,15.7477,3.3023,14.0973,14.0607,15.7477,3.3023,14.0973,14.0607,,,,0.0,0.0,0.0,100.0,0.0,16.3125,14.5654,15.1631,15.7494,2.8052,3.1764,3.538,13.0296,13.5647,14.0921,12.9657,13.5461,14.0755,14.5602,15.1695,15.8257,2.8234,3.1853,3.5252,12.9995,13.5666,14.1337,13.014,13.5348,14.1109,72.9214,73.2082,73.4933,70.9303,71.1911,71.4572,71.872,72.1339,72.3771
ru_Benchmark,32.2164,13.6386,26.1689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ru_RU_multiEnEsRu,34.255,14.5319,27.6136,27.6058,26.8608,11.4705,22.7413,22.7295,,,,0.0,0.0,100.0,0.0,0.0,17.9381,32.7546,33.0872,33.4194,13.735,13.9939,14.2846,26.3645,26.678,26.9892,26.3637,26.6704,26.9785,25.6476,25.965,26.2866,10.8121,11.0583,11.3226,21.7147,21.979,22.2528,21.6465,21.9667,22.2735,76.1896,76.3307,76.4837,73.0853,73.2104,73.3365,74.5513,74.6826,74.8121
ru_RU_supervised,35.3035,15.2787,28.4235,28.4145,27.7749,12.1467,23.5169,23.5039,,,,0.0,0.0,100.0,0.0,0.0,17.8771,33.7954,34.128,34.4766,14.4562,14.7317,15.0367,27.1623,27.4831,27.8034,27.1558,27.4674,27.7713,26.5285,26.8689,27.1923,11.4539,11.727,11.9859,22.4518,22.7473,23.045,22.4208,22.7311,23.0449,76.6264,76.7718,76.9068,73.41,73.535,73.6678,74.924,75.0606,75.1924
ru_RU_zero,28.8161,10.1953,22.7975,22.7933,21.7804,7.6937,18.2125,18.2065,,,,0.0386,0.0,99.9614,0.0,0.0,15.0535,26.9488,27.2662,27.583,9.3792,9.5872,9.8375,21.2963,21.5767,21.8243,21.2908,21.5564,21.8246,20.3155,20.6148,20.8965,7.0392,7.2387,7.447,16.979,17.2279,17.5006,16.9871,17.2269,17.492,74.6412,74.7789,74.9081,70.646,70.7575,70.874,72.5423,72.6634,72.7812
ru_translated_nllb,26.6982,8.5188,21.3088,21.3058,19.5671,6.2482,16.6283,16.623,,,,0.0,0.0,100.0,0.0,0.0,15.3014,25.0487,25.3395,25.6457,7.8529,8.0576,8.2617,19.9623,20.2247,20.4864,19.9584,20.2162,20.478,18.3125,18.5793,18.8303,5.7267,5.9192,6.0932,15.549,15.7962,16.0496,15.5354,15.7789,16.0299,74.4469,74.5822,74.7041,70.3985,70.5162,70.6333,72.3194,72.4381,72.5477
