,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len,rouge1_low_with_stemming,rouge1_mid_with_stemming,rouge1_high_with_stemming,rouge2_low_with_stemming,rouge2_mid_with_stemming,rouge2_high_with_stemming,rougeL_low_with_stemming,rougeL_mid_with_stemming,rougeL_high_with_stemming,rougeLsum_low_with_stemming,rougeLsum_mid_with_stemming,rougeLsum_high_with_stemming,rouge1_low_without_stemming,rouge1_mid_without_stemming,rouge1_high_without_stemming,rouge2_low_without_stemming,rouge2_mid_without_stemming,rouge2_high_without_stemming,rougeL_low_without_stemming,rougeL_mid_without_stemming,rougeL_high_without_stemming,rougeLsum_low_without_stemming,rougeLsum_mid_without_stemming,rougeLsum_high_without_stemming,bert_score_precision_low,bert_score_precision_mid,bert_score_precision_high,bert_score_recall_low,bert_score_recall_mid,bert_score_recall_high,bert_score_f1_low,bert_score_f1_mid,bert_score_f1_high
en_Benchmark,37.601,15.1536,29.8817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en_XX,38.1406,15.153,30.1841,30.1611,36.5289,14.6811,29.2835,29.2542,,,,99.9998,0.0002,0.0,0.0,0.0,17.1372,37.1509,37.4183,37.6906,14.6066,14.8485,15.0972,29.3547,29.61,29.8555,29.3476,29.5855,29.8396,35.5653,35.8383,36.0919,14.1421,14.384,14.6089,28.4662,28.7251,28.9921,28.4479,28.7029,28.9868,79.0216,79.123,79.2302,76.5956,76.6915,76.7968,77.7582,77.8536,77.9511
en_XX_multiEnEsRu,36.9505,14.1408,29.1575,29.1322,35.3723,13.6857,28.2684,28.2362,,,,100.0,0.0,0.0,0.0,0.0,16.4847,35.8701,36.11,36.3735,13.5573,13.8056,14.0301,28.2367,28.4998,28.741,28.2132,28.4716,28.723,34.3125,34.5757,34.8106,13.1042,13.3552,13.5942,27.3618,27.6227,27.871,27.3352,27.5957,27.834,78.7873,78.9008,79.0101,76.0864,76.1804,76.2776,77.3851,77.4804,77.5763
en_XX_supervised,39.9754,16.7671,31.7973,31.7549,38.3712,16.2696,30.8822,30.8355,,,,99.9913,0.0087,0.0,0.0,0.0,17.9151,39.0851,39.3687,39.6381,16.2549,16.5106,16.746,31.0627,31.3116,31.5906,31.0161,31.2703,31.5317,37.5114,37.7871,38.0659,15.7308,16.0201,16.2698,30.1379,30.4182,30.689,30.1003,30.373,30.6414,79.3222,79.4301,79.5375,77.3929,77.4971,77.6084,78.3135,78.4151,78.5182
es_Benchmark,31.5071,11.8767,24.0746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es_XX_multiEnEsRu,33.0354,11.8605,24.9273,24.9213,31.5727,11.4659,24.1558,24.1495,,,,0.063,99.937,0.0,0.0,0.0,19.1735,31.0371,31.454,31.8672,10.9357,11.2577,11.5993,23.3389,23.7134,24.0567,23.3458,23.7089,24.0969,29.667,30.0746,30.4574,10.5624,10.8969,11.2307,22.6358,22.9901,23.3589,22.6465,22.979,23.3298,74.9247,75.1068,75.3019,71.6616,71.8279,72.0029,73.2062,73.3701,73.5182
es_XX_supervised,34.2044,13.0046,26.0711,26.0641,32.7069,12.6284,25.2631,25.2559,,,,0.021,99.979,0.0,0.0,0.0,20.079,32.4057,32.8497,33.294,12.1311,12.4919,12.887,24.6354,25.0295,25.4039,24.643,25.0267,25.434,30.985,31.4241,31.8438,11.7412,12.1318,12.529,23.8655,24.2614,24.6442,23.864,24.2436,24.6212,75.3182,75.508,75.7043,72.4705,72.6416,72.8241,73.8162,73.9875,74.1693
es_XX_zero,29.9962,9.3115,22.3917,22.3862,28.461,8.95,21.6008,21.5941,,,,0.1051,99.8949,0.0,0.0,0.0,19.4666,28.2555,28.6181,28.9509,8.5622,8.8456,9.1162,21.0682,21.3438,21.6681,21.0187,21.3471,21.6753,26.7879,27.1676,27.5202,8.2379,8.506,8.7769,20.3117,20.6086,20.9173,20.2811,20.5946,20.8964,73.7028,73.8805,74.0643,70.7269,70.881,71.0357,72.1315,72.2956,72.4495
es_translated_nllb,29.2257,8.5611,21.5024,21.5011,27.4854,8.102,20.5856,20.5831,,,,0.0152,99.9825,0.0018,0.0001,0.0004,21.63,27.7648,28.1068,28.4535,7.9632,8.2127,8.468,20.375,20.6745,20.9686,20.3796,20.6645,20.9654,26.1034,26.4339,26.796,7.537,7.7695,8.0136,19.5161,19.8093,20.1187,19.4919,19.7961,20.0755,73.2258,73.4142,73.5877,70.8293,70.9772,71.1264,71.9819,72.1279,72.278
gu_Benchmark,21.9619,7.7417,19.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gu_IN_multiEnEsRu,19.4263,6.6917,17.6632,17.6521,19.4263,6.6917,17.6632,17.6521,,,,0.0,0.0,0.0,100.0,0.0,14.1585,17.3838,18.1512,18.9798,5.6328,6.2018,6.7794,15.7294,16.4865,17.2533,15.7033,16.4725,17.2261,17.2952,18.1356,18.9642,5.6409,6.2,6.8247,15.6967,16.4815,17.2418,15.7696,16.458,17.2126,74.4699,74.8175,75.1899,71.3931,71.6615,71.9601,72.8447,73.1459,73.4344
