,rouge1_with_stemming,rouge2_with_stemming,rougeL_with_stemming,rougeLsum_with_stemming,rouge1_without_stemming,rouge2_without_stemming,rougeL_without_stemming,rougeLsum_without_stemming,bert_score_precision,bert_score_recall,bert_score_f1,en_prob,es_prob,ru_prob,gu_prob,tr_prob,gen_len,rouge1_low_with_stemming,rouge1_mid_with_stemming,rouge1_high_with_stemming,rouge2_low_with_stemming,rouge2_mid_with_stemming,rouge2_high_with_stemming,rougeL_low_with_stemming,rougeL_mid_with_stemming,rougeL_high_with_stemming,rougeLsum_low_with_stemming,rougeLsum_mid_with_stemming,rougeLsum_high_with_stemming,rouge1_low_without_stemming,rouge1_mid_without_stemming,rouge1_high_without_stemming,rouge2_low_without_stemming,rouge2_mid_without_stemming,rouge2_high_without_stemming,rougeL_low_without_stemming,rougeL_mid_without_stemming,rougeL_high_without_stemming,rougeLsum_low_without_stemming,rougeLsum_mid_without_stemming,rougeLsum_high_without_stemming,bert_score_precision_low,bert_score_precision_mid,bert_score_precision_high,bert_score_recall_low,bert_score_recall_mid,bert_score_recall_high,bert_score_f1_low,bert_score_f1_mid,bert_score_f1_high
en_Benchmark,37.601,15.1536,29.8817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en_XX,40.2564,17.1014,31.9023,31.8556,38.645,16.6019,30.999,30.947,,,,99.9826,0.0174,0.0,0.0,0.0,19.133,39.5177,39.7903,40.0753,16.6299,16.8988,17.1713,31.2686,31.5276,31.8125,31.2092,31.4795,31.7643,37.9233,38.1973,38.4694,16.134,16.4155,16.6439,30.356,30.637,30.9081,30.3136,30.5871,30.8589,78.9396,79.0567,79.1702,77.7892,77.8984,78.0045,78.3408,78.438,78.5442
en_XX_multiEnEsRu,38.7586,15.8298,30.81,30.7733,37.2223,15.3652,29.9494,29.9068,,,,99.9958,0.0042,0.0,0.0,0.0,17.4441,37.7938,38.0529,38.3083,15.2752,15.525,15.762,30.0057,30.2463,30.5069,29.953,30.2134,30.4731,36.2728,36.5442,36.8152,14.8161,15.0692,15.3226,29.1334,29.4091,29.6423,29.1166,29.3713,29.6155,79.0809,79.1812,79.2911,76.7939,76.8927,77.0072,77.8869,77.9837,78.0873
en_XX_supervised,39.9754,16.7671,31.7973,31.7549,38.3712,16.2696,30.8822,30.8355,,,,99.9913,0.0087,0.0,0.0,0.0,17.9151,39.0851,39.3687,39.6381,16.2549,16.5106,16.746,31.0627,31.3116,31.5906,31.0161,31.2703,31.5317,37.5114,37.7871,38.0659,15.7308,16.0201,16.2698,30.1379,30.4182,30.689,30.1003,30.373,30.6414,79.3222,79.4301,79.5375,77.3929,77.4971,77.6084,78.3135,78.4151,78.5182
es_Benchmark,31.5071,11.8767,24.0746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es_XX_multiEnEsRu,33.9087,12.6812,25.7732,25.7681,32.3973,12.2876,24.9951,24.9895,,,,0.0,100.0,0.0,0.0,0.0,19.8874,32.1016,32.5498,32.9597,11.8037,12.1805,12.5556,24.3283,24.7347,25.1312,24.3599,24.7428,25.1022,30.6828,31.0957,31.5478,11.4486,11.7935,12.1732,23.596,23.991,24.3792,23.6134,23.9716,24.348,75.2246,75.4181,75.6136,72.2699,72.453,72.6309,73.6784,73.8504,74.025
es_XX_supervised,34.2044,13.0046,26.0711,26.0641,32.7069,12.6284,25.2631,25.2559,,,,0.021,99.979,0.0,0.0,0.0,20.079,32.4057,32.8497,33.294,12.1311,12.4919,12.887,24.6354,25.0295,25.4039,24.643,25.0267,25.434,30.985,31.4241,31.8438,11.7412,12.1318,12.529,23.8655,24.2614,24.6442,23.864,24.2436,24.6212,75.3182,75.508,75.7043,72.4705,72.6416,72.8241,73.8162,73.9875,74.1693
es_XX_zero,7.7971,1.1457,6.1826,6.1754,6.8419,1.0647,5.5823,5.5736,,,,99.7204,0.2796,0.0,0.0,0.0,62.3382,6.5719,6.6954,6.8179,0.925,0.9747,1.0318,5.184,5.2849,5.3815,5.1947,5.2806,5.3736,5.7485,5.8697,5.9768,0.8556,0.9073,0.9501,4.6866,4.7754,4.8598,4.6758,4.7669,4.8547,63.4889,63.5834,63.6903,68.0022,68.1039,68.2145,65.6395,65.7397,65.8355
es_translated_nllb,29.2257,8.5611,21.5024,21.5011,27.4854,8.102,20.5856,20.5831,,,,0.0152,99.9825,0.0018,0.0001,0.0004,21.63,27.7648,28.1068,28.4535,7.9632,8.2127,8.468,20.375,20.6745,20.9686,20.3796,20.6645,20.9654,26.1034,26.4339,26.796,7.537,7.7695,8.0136,19.5161,19.8093,20.1187,19.4919,19.7961,20.0755,73.2258,73.4142,73.5877,70.8293,70.9772,71.1264,71.9819,72.1279,72.278
gu_Benchmark,21.9619,7.7417,19.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
